subject,session,task,unit,electrode,location,area,region,hemisphere,n_spikes,fr_hz,isolation_distance,mean_proj_dist,mean_snr,peak_snr,cluster_id_orig
10,1,screening,67,34,amygdala_right,amygdala,MTL,R,1093,1.2417519650574314,326.5314453119106,0.0,0.8080784509703944,3.1375870654768327,578
10,1,screening,68,35,amygdala_right,amygdala,MTL,R,989,1.1235980726823418,114.97054345903109,0.0,0.8444451877790196,3.148303831025796,540
10,1,screening,69,36,amygdala_right,amygdala,MTL,R,851,0.96681694626155,5895.237637490763,15.485633058776754,2.4259926366708697,10.742008250917037,510
10,1,screening,70,36,amygdala_right,amygdala,MTL,R,502,0.5703197497336053,447.415356372333,15.485633058776754,0.9496694193405506,3.338105016565999,462
10,1,screening,71,37,amygdala_right,amygdala,MTL,R,7763,8.81950640872904,,0.0,1.1700107714782366,5.589590523527577,1084
10,1,screening,72,38,amygdala_right,amygdala,MTL,R,289,0.32833148938846995,39.33474423278942,5.7467247595872415,1.0174182713168525,5.27565004682815,287
10,1,screening,73,38,amygdala_right,amygdala,MTL,R,449,0.5101067084270693,119.57494834402966,5.7467247595872415,0.7675490197354007,3.3893285783871923,272
10,2,sternberg,0,0,amygdala_right,amygdala,MTL,R,240,0.20163893216272752,25.171598030216064,0.0,1.925525388695863,8.31391669664862,684
10,2,sternberg,1,1,amygdala_right,amygdala,MTL,R,602,0.5057776548415082,29.01971846371518,0.0,1.7155348957957817,6.539422922295403,749
10,2,sternberg,2,2,amygdala_right,amygdala,MTL,R,4797,4.030258156602516,,10.168254267160336,1.454430241036206,6.185337380814072,1289
10,2,sternberg,3,2,amygdala_right,amygdala,MTL,R,2091,1.7567791964677635,557.9672697571061,10.168254267160336,1.1179728966988636,4.224214302337186,1247
10,2,sternberg,4,3,hippocampus_left,hippocampus,MTL,L,6475,5.440050357306919,,0.0,0.6923171983600804,4.171806736563946,1397
10,2,sternberg,5,4,hippocampus_left,hippocampus,MTL,L,921,0.7737894021744668,614.2473388625799,10.040745980383102,0.7414689018024603,3.925415440306049,914
10,2,sternberg,6,4,hippocampus_left,hippocampus,MTL,L,435,0.3654705645449436,30.75840887052008,11.378635433929423,0.9815690780516586,5.262535726494457,883
10,2,sternberg,7,4,hippocampus_left,hippocampus,MTL,L,847,0.7116173980909591,19.287375031438792,11.630523684414129,0.9198859393506681,4.13979577561316,898
10,2,sternberg,8,4,hippocampus_left,hippocampus,MTL,L,2438,2.0483154858863735,940.5723936657357,9.47032266618893,0.7557466906642615,3.7310466834945006,916
10,2,sternberg,9,5,hippocampus_left,hippocampus,MTL,L,14856,12.481449900872832,,0.0,0.9428435621399325,4.781219231561391,2262
10,2,sternberg,10,6,hippocampus_left,hippocampus,MTL,L,682,0.572990632229084,4.151483254364344,5.683613909809444,0.906989233063754,5.358997559775252,2049
10,2,sternberg,11,6,hippocampus_left,hippocampus,MTL,L,25590,21.49975114185082,,5.683613909809444,1.3334000761955849,6.28643593413805,2067
10,2,sternberg,12,7,pre_supplementary_motor_area_left,preSMA,MFC,L,3805,3.1968172369965755,22.83387346219573,11.433541318651544,0.6931810714664336,4.260705948229814,2481
10,2,sternberg,13,7,pre_supplementary_motor_area_left,preSMA,MFC,L,5441,4.571322624572502,50.299686098239334,8.592475897715383,1.194926562566958,4.618416248748557,2425
10,2,sternberg,14,7,pre_supplementary_motor_area_left,preSMA,MFC,L,427,0.358749266806186,27.604622620700162,14.105594943253136,2.9343132947177026,10.92426755408954,2260
10,2,sternberg,15,7,pre_supplementary_motor_area_left,preSMA,MFC,L,1677,1.4089520384870584,10.964133786130573,7.917141027055398,1.5453254075665666,6.371274173443767,2445
10,2,sternberg,16,8,pre_supplementary_motor_area_left,preSMA,MFC,L,4937,4.147880867030774,,0.0,1.2217357637295254,4.591551414477775,1337
10,2,sternberg,17,9,pre_supplementary_motor_area_left,preSMA,MFC,L,9265,7.784102943698627,,0.0,1.5851082970557706,5.898077009714714,2653
10,2,sternberg,18,10,pre_supplementary_motor_area_left,preSMA,MFC,L,1626,1.3661037654024788,18.092254272030406,6.963493280838619,2.1660055234083404,8.188202776395826,1657
10,2,sternberg,19,10,pre_supplementary_motor_area_left,preSMA,MFC,L,298,0.25036834076872,5.434563937229146,5.4892589611089,1.5564830373362204,5.740010719733903,1560
10,2,sternberg,20,10,pre_supplementary_motor_area_left,preSMA,MFC,L,4595,3.860545388698887,,6.163716130553304,1.243618961257719,4.7893556547842975,1410
10,2,sternberg,21,11,pre_supplementary_motor_area_left,preSMA,MFC,L,2190,1.8399552559848884,10.793661574467436,7.039606644681739,1.181731430323632,4.4947280673081575,2274
10,2,sternberg,22,11,pre_supplementary_motor_area_left,preSMA,MFC,L,7401,6.218040570568109,,7.039606644681739,1.9958838890808563,7.555622110342162,2144
10,2,sternberg,23,12,pre_supplementary_motor_area_left,preSMA,MFC,L,11366,9.549283762339837,,0.0,1.31054074892063,4.677000366381316,2167
10,2,sternberg,24,13,pre_supplementary_motor_area_left,preSMA,MFC,L,9236,7.75973823939563,,6.451840882553949,1.263578944283323,4.6644796518614955,2682
10,2,sternberg,25,13,pre_supplementary_motor_area_left,preSMA,MFC,L,3628,3.048108524526564,18.00494836314563,6.451840882553949,2.1375404104961073,7.521654861997345,2720
10,2,sternberg,26,14,pre_supplementary_motor_area_left,preSMA,MFC,L,228,0.19155698555459114,11.519505144770045,6.751418584719394,2.8926612599633157,10.982220059962936,1606
10,2,sternberg,27,14,pre_supplementary_motor_area_left,preSMA,MFC,L,1108,0.9308997368179254,10.803841743555251,6.751418584719394,2.1198758291853723,7.9180017215663705,1520
11,1,screening,0,0,hippocampus_left,hippocampus,MTL,L,2353,2.9843574201903023,250.39886067943553,18.097031728868064,0.8362344690973348,3.492713187780589,4073
11,1,screening,1,0,hippocampus_left,hippocampus,MTL,L,1264,1.60315672720805,132.85647988289506,18.097031728868064,0.8012222978178738,3.380824343123381,4075
11,1,screening,2,1,hippocampus_left,hippocampus,MTL,L,829,1.0514374421324948,105.2931994596471,20.714920415510864,0.8418606963890788,3.4705975059017424,3881
11,1,screening,3,1,hippocampus_left,hippocampus,MTL,L,2716,3.444757651184386,379.4764478980835,20.714920415510864,0.9126096984153518,3.8622412086722653,4070
11,1,screening,4,2,hippocampus_left,hippocampus,MTL,L,4320,5.479143244888273,99.71656274874947,17.013680222698664,1.0965244043522613,4.654643693516147,3392
11,1,screening,5,2,hippocampus_left,hippocampus,MTL,L,407,0.5162063195994275,14.484925629071201,20.56093257443702,2.517399387349492,11.257677374503485,3509
11,1,screening,6,2,hippocampus_left,hippocampus,MTL,L,507,0.6430383391570265,37.65097842790276,31.360599819495896,2.9480513519212344,12.866733076830194,3394
11,1,screening,7,2,hippocampus_left,hippocampus,MTL,L,428,0.5428410437065233,7.1644556149572685,19.034391143576215,1.6156265226377795,5.833896180658048,3358
11,1,screening,8,2,hippocampus_left,hippocampus,MTL,L,479,0.6075253736808988,6.709559589818636,19.566061198546333,0.9103662397080332,4.389232454918166,3209
11,1,screening,9,2,hippocampus_left,hippocampus,MTL,L,913,1.157976338560878,17.36622582766694,17.551672317829407,2.45137993428052,8.928446167421399,3355
11,1,screening,10,3,hippocampus_left,hippocampus,MTL,L,2152,2.7294250608795285,56.76917248663163,20.775088307526765,1.0932547537007427,4.548352480912307,2738
11,1,screening,11,3,hippocampus_left,hippocampus,MTL,L,523,0.6633314622862423,37.694383055948265,18.00364632127951,3.4447150408232616,13.705066344603804,2898
11,1,screening,12,3,hippocampus_left,hippocampus,MTL,L,308,0.3906426202374046,31.61248933341135,19.527189805170394,2.5061594712987976,11.490504790957669,3168
11,1,screening,13,3,hippocampus_left,hippocampus,MTL,L,292,0.37034949710818876,10.989097517230462,13.787631799058904,2.5323276846285108,10.596042337811106,2858
11,1,screening,14,3,hippocampus_left,hippocampus,MTL,L,529,0.6709413834596982,11.672791258420055,17.548966727982503,1.976646327649556,6.726352978981244,3084
11,1,screening,15,4,hippocampus_left,hippocampus,MTL,L,917,1.1630496193431819,33.832945830632895,20.2511271920945,1.0655696735437874,4.8056648447260955,3391
11,1,screening,16,4,hippocampus_left,hippocampus,MTL,L,235,0.29805524596035743,15.31567762981804,16.96941039098809,3.1142528219784045,11.400426202671975,2718
11,1,screening,17,4,hippocampus_left,hippocampus,MTL,L,585,0.7419673144119535,30.695831173624317,19.896037979753412,3.287706614207173,9.966376082987928,2387
11,1,screening,18,4,hippocampus_left,hippocampus,MTL,L,106,0.13444194073105484,33.21906514036551,22.02819381428405,2.181246704679838,9.881022175521267,2171
11,1,screening,19,4,hippocampus_left,hippocampus,MTL,L,718,0.9106539004235601,14.914931009157328,14.311823030743541,2.298292594433317,7.613863776688365,3239
11,1,screening,20,5,hippocampus_left,hippocampus,MTL,L,1722,2.184047376781853,69.72484615764817,0.0,0.7316766945749543,3.089604049162833,3094
11,1,screening,21,6,amygdala_left,amygdala,MTL,L,2514,3.1885569716780364,25.139211548488415,0.0,1.7617422828769593,7.050660141183311,2334
11,1,screening,22,7,amygdala_left,amygdala,MTL,L,1405,1.7819898747842646,51.9097700565115,0.0,0.6844894540077312,3.3243968894182605,579
11,1,screening,23,8,amygdala_left,amygdala,MTL,L,3011,3.818912108879303,,11.167685428391485,0.8952577618988377,4.159958952865763,801
11,1,screening,24,8,amygdala_left,amygdala,MTL,L,1055,1.3380778063326684,559.3902925910256,11.167685428391485,0.6980639416256367,3.5311837919387496,817
11,1,screening,25,9,amygdala_left,amygdala,MTL,L,5820,7.381623538252256,,9.545359670183581,1.409805210230037,5.47730601998712,1164
11,1,screening,26,9,amygdala_left,amygdala,MTL,L,777,0.9854847919625435,11.934725969866365,9.545359670183581,0.7739258589281817,3.7511427106046864,1110
11,1,screening,27,10,amygdala_left,amygdala,MTL,L,3367,4.270434098504355,,5.918112316264068,1.143897722321232,4.625783853859206,952
11,1,screening,28,10,amygdala_left,amygdala,MTL,L,570,0.7229425114783137,9.496340943280584,7.000025310143705,1.7366087378527357,6.294372744177286,926
11,1,screening,29,10,amygdala_left,amygdala,MTL,L,631,0.800310043408449,10.73268648931519,8.009900167595909,0.9690512690293818,4.2670702582237645,928
11,1,screening,30,11,amygdala_left,amygdala,MTL,L,7099,9.003805068393946,,16.589077682902065,1.1643631539072505,5.150701477773001,1401
11,1,screening,31,11,amygdala_left,amygdala,MTL,L,683,0.8662626935784005,582.6695590783542,16.589077682902065,0.9917619342032498,4.163757312688448,1420
11,1,screening,32,12,amygdala_left,amygdala,MTL,L,2516,3.191093612069188,,6.094237292291741,0.8428722960090632,3.7835007265935876,656
11,1,screening,33,12,amygdala_left,amygdala,MTL,L,1031,1.3076381216388446,24.92582629720351,6.094237292291741,0.7113498831407757,3.449760209060109,644
11,1,screening,34,13,amygdala_left,amygdala,MTL,L,2202,2.7928410706583278,20.50765312873427,7.9349214381208855,0.8384468524807949,3.740794918017545,1608
11,1,screening,35,13,amygdala_left,amygdala,MTL,L,6485,8.225056468310289,,7.9349214381208855,1.0656446893632259,4.654205131725878,1623
11,1,screening,36,14,pre_supplementary_motor_area_left,preSMA,MFC,L,794,1.0070462352873353,55.68000814922354,20.99638898246568,3.4798184266458727,12.176308916258135,1313
11,1,screening,37,14,pre_supplementary_motor_area_left,preSMA,MFC,L,5706,7.237035035956593,,13.661051605141036,1.501694021353514,5.383948257066273,1360
11,1,screening,38,14,pre_supplementary_motor_area_left,preSMA,MFC,L,420,0.5326944821419154,32.848638556460934,18.83187256471522,0.8216884637760045,2.9908038014249265,1354
11,1,screening,39,15,pre_supplementary_motor_area_left,preSMA,MFC,L,5331,6.761414962615597,,13.00805119875253,1.0832465829842228,4.015728369951555,1296
