subject,session,trial,loads,loadsEnc1_PicIDs,loadsEnc2_PicIDs,loadsEnc3_PicIDs,loadsProbe_PicIDs,probe_in_out,response_accuracy,start_time,stop_time,timestamps_Encoding1,timestamps_Encoding1_end,timestamps_Encoding2,timestamps_Encoding2_end,timestamps_Encoding3,timestamps_Encoding3_end,timestamps_FixationCross,timestamps_Maintenance,timestamps_Probe,timestamps_Response
5,2,63,1,1,0,0,1,1,1,542.17492275,547.65854575,543.29179775,544.30829675,0.0,0.0,0.0,0.0,542.17492275,544.30829675,546.97785875,547.65854575
5,2,64,1,4,0,0,5,0,1,547.69151475,554.4168247499999,548.80829575,549.82485775,0.0,0.0,0.0,0.0,547.69151475,549.82485775,552.59538775,554.4168247499999
5,2,65,3,4,1,5,3,0,1,554.44141775,562.37357075,555.60822975,556.62479175,556.72479175,557.74144775,557.7581037499999,558.7747597499999,554.44141775,558.7747597499999,561.54435275,562.37357075
5,2,66,1,2,0,0,2,1,1,562.39132075,568.18944375,563.45810175,564.47469475,0.0,0.0,0.0,0.0,562.39132075,564.47469475,567.21097575,568.18944375
5,2,67,3,1,5,3,2,0,1,568.20800575,575.84231575,569.14134975,570.1579117499999,570.25791175,571.2745357499999,571.32453575,572.34128575,568.20800575,572.34128575,575.06372175,575.84231575
5,2,68,2,4,1,0,4,1,0,678.28958675,685.7910217499999,679.83971175,680.85617975,681.05621075,682.07283575,0.0,0.0,678.28958675,682.07283575,684.7590847499999,685.7910217499999
5,2,69,1,3,0,0,2,0,1,685.82270875,721.3220387499999,686.78945875,687.8060517499999,0.0,0.0,0.0,0.0,685.82270875,687.8060517499999,690.49273875,721.3220387499999
5,2,70,1,5,0,0,5,1,1,721.3556317499999,727.71262975,722.40553775,723.42219375,0.0,0.0,0.0,0.0,721.3556317499999,723.42219375,726.1257557499999,727.71262975
5,2,71,2,3,5,0,3,1,1,727.73872375,735.10997075,728.83875375,729.8554097499999,730.02206675,731.0387217499999,0.0,0.0,727.73872375,731.0387217499999,733.80828375,735.10997075
5,2,72,1,1,0,0,2,0,1,735.1385957499999,742.17159275,736.2386887499999,737.2553137499999,0.0,0.0,0.0,0.0,735.1385957499999,737.2553137499999,739.9248437499999,742.17159275
5,2,73,3,1,3,2,4,0,1,742.18849875,750.44774575,743.18856075,744.20521675,744.37196675,745.3884977499999,745.58868475,746.6051847499999,742.18849875,746.6051847499999,749.1912777499999,750.44774575
5,2,74,2,1,2,0,4,0,1,750.4717147499999,757.62096175,751.6717767499999,752.6884007499999,752.70502575,753.72177575,0.0,0.0,750.4717147499999,753.72177575,756.44152475,757.62096175
5,2,75,3,1,2,3,5,0,1,757.6382737499999,766.1686767499999,758.73846075,759.7549917499999,759.9383977499999,760.95499175,761.1383667499999,762.1548967499999,757.6382737499999,762.1548967499999,764.8251457499999,766.1686767499999
5,2,76,1,5,0,0,5,1,1,766.18814575,772.0481747499999,767.12173875,768.1381447499999,0.0,0.0,0.0,0.0,766.18814575,768.1381447499999,770.7577377499999,772.0481747499999
5,2,77,1,2,0,0,1,0,1,772.07139275,778.5028277499999,773.10476775,774.1213927499999,0.0,0.0,0.0,0.0,772.07139275,774.1213927499999,776.9575787499999,778.5028277499999
5,2,78,2,2,3,0,1,0,1,778.52126575,785.93201275,779.68798375,780.70463975,780.7879517499999,781.80460775,0.0,0.0,778.52126575,781.80460775,784.50745075,785.93201275
5,2,79,3,2,3,4,4,1,1,785.95448175,794.35219675,787.03788675,788.05451175,788.15451175,789.17116775,789.3045737499999,790.3211357499999,785.95448175,790.3211357499999,793.07485375,794.35219675
5,2,80,2,2,1,0,5,0,1,794.37100875,801.4462247499999,795.45441475,796.4710397499999,796.50435175,797.52103875,0.0,0.0,794.37100875,797.52103875,800.2904757499999,801.4462247499999
5,2,81,2,1,5,0,2,0,1,801.4709127499999,808.73206575,802.55428675,803.57103675,803.75438075,804.77091075,0.0,0.0,801.4709127499999,804.77091075,807.44062875,808.73206575
5,2,82,2,2,4,0,1,0,1,808.75415975,816.01771875,809.73759675,810.75415875,810.9043147499999,811.92081475,0.0,0.0,808.75415975,811.92081475,814.67500075,816.01771875
5,2,83,2,1,4,0,1,1,1,816.03734375,823.3831847499999,817.22071875,818.23746875,818.40406175,819.42071775,0.0,0.0,816.03734375,819.42071775,821.99277975,823.3831847499999
5,2,84,2,3,2,0,2,1,1,823.4039037499999,830.79671375,824.43737175,825.4539337499999,825.52059075,826.53724575,0.0,0.0,823.4039037499999,826.53724575,829.25690175,830.79671375
5,2,85,3,4,1,2,2,1,1,830.82043175,838.78508475,831.78724375,832.80383775,832.97161875,833.9871187499999,834.1538997499999,835.17046175,830.82043175,835.17046175,837.90730375,838.78508475
5,2,86,1,3,0,0,3,1,1,838.8037097499999,844.16927075,839.8204287499999,840.83705275,0.0,0.0,0.0,0.0,838.8037097499999,840.83705275,843.50677075,844.16927075
5,2,87,2,2,3,0,5,0,1,844.18692675,851.19886175,845.22039475,846.23708175,846.4037697499999,847.42036275,0.0,0.0,844.18692675,847.42036275,850.0401117499999,851.19886175
5,2,88,1,5,0,0,3,0,1,851.22029875,857.55732775,852.25351675,853.2702977499999,0.0,0.0,0.0,0.0,851.22029875,853.2702977499999,856.07342175,857.55732775
5,2,89,2,4,1,0,4,1,0,857.5867647499999,864.63523075,858.5534517499999,859.57013875,859.68679575,860.70345175,0.0,0.0,857.5867647499999,860.70345175,863.42338775,864.63523075
5,2,90,3,5,4,3,3,1,1,864.65329375,872.76725875,865.7869177499999,866.80329275,866.83666775,867.85326075,867.9366357499999,868.9532607499999,864.65329375,868.9532607499999,871.77307175,872.76725875
5,2,91,2,3,2,0,3,1,1,872.78663375,879.6211307499999,873.8366337499999,874.85322675,875.05328975,876.07000775,0.0,0.0,872.78663375,876.07000775,878.70619375,879.6211307499999
5,2,92,1,3,0,0,3,1,1,879.65316275,885.22872275,880.73656775,881.75316175,0.0,0.0,0.0,0.0,879.65316275,881.75316175,884.52312875,885.22872275
5,2,93,2,1,4,0,3,0,0,885.2531917499999,892.4025947499999,886.41978475,887.4363777499999,887.55306575,888.56972175,0.0,0.0,885.2531917499999,888.56972175,891.23906375,892.4025947499999
5,2,94,2,4,5,0,1,0,1,892.4196257499999,899.52762275,893.48628175,894.50284375,894.60331275,895.61953075,0.0,0.0,892.4196257499999,895.61953075,898.38968575,899.52762275
5,2,95,3,2,1,3,5,0,1,899.5528107499999,907.69165075,900.7029037499999,901.71940375,901.9196217499999,902.9360597499999,902.95265275,903.96940275,899.5528107499999,903.96940275,906.64105775,907.69165075
5,2,96,1,1,0,0,1,1,1,907.7192447499999,913.5871797499999,908.80265075,909.81927575,0.0,0.0,0.0,0.0,907.7192447499999,909.81927575,912.5393057499999,913.5871797499999
5,2,97,1,4,0,0,5,0,1,913.6191487499999,919.72227175,914.60255475,915.61921075,0.0,0.0,0.0,0.0,913.6191487499999,915.61921075,918.27220975,919.72227175
5,2,98,1,2,0,0,4,0,1,919.75245875,925.80945675,920.8031767499999,921.8191137499999,0.0,0.0,0.0,0.0,919.75245875,921.8191137499999,924.5227377499999,925.80945675
5,2,99,2,4,5,0,1,0,1,925.8356437499999,932.91910975,926.88573675,927.90236175,927.9856747499999,929.00232975,0.0,0.0,925.8356437499999,929.00232975,931.75561075,932.91910975
5,2,100,3,2,4,5,2,1,0,932.95223475,942.10579375,934.01892175,935.03554675,935.1355777499999,936.1522017499999,936.3522647499999,937.36885775,932.95223475,937.36885775,940.00682575,942.10579375
5,2,101,2,5,4,0,4,1,1,942.1354497499999,949.11969675,943.23541775,944.25216775,944.4021047499999,945.41879275,0.0,0.0,942.1354497499999,945.41879275,948.0886977499999,949.11969675
5,2,102,2,1,2,0,4,0,1,949.15194675,956.75659975,950.08535275,951.10197775,951.30197775,952.31863275,0.0,0.0,949.15194675,952.31863275,955.02150675,956.75659975
5,2,103,3,1,3,5,1,1,1,956.78513175,964.61722175,957.7685997499999,958.78528675,958.85188075,959.8685047499999,959.95184875,960.9684737499999,956.78513175,960.9684737499999,963.5735347499999,964.61722175
5,2,104,3,3,1,5,1,1,1,964.6350347499999,972.5740317499999,965.6517527499999,966.6684087499999,966.8684707499999,967.88506475,967.96837675,968.98503275,964.6350347499999,968.98503275,971.57143775,972.5740317499999
5,2,105,2,4,5,0,2,0,1,972.60159375,979.6839037499999,973.70162475,974.71828075,974.8682807499999,975.88493675,0.0,0.0,972.60159375,975.88493675,978.6045597499999,979.6839037499999
5,2,106,2,3,4,0,5,0,1,979.7014977499999,986.58624475,980.66824675,981.6848397499999,981.8348397499999,982.8514957499999,0.0,0.0,979.7014977499999,982.8514957499999,985.62105775,986.58624475
5,2,107,3,2,5,3,5,1,0,986.61808775,995.8372097499999,987.73483775,988.7513997499999,988.9180877499999,989.9347117499999,990.00149275,991.01802375,986.61808775,991.01802375,993.7579607499999,995.8372097499999
5,2,108,1,3,0,0,3,1,1,995.86799075,1001.7807067499999,996.9512717499999,997.96792775,0.0,0.0,0.0,0.0,995.86799075,997.96792775,1000.67086375,1001.7807067499999
5,2,109,3,5,3,2,1,0,1,1001.8011447499999,1010.26470375,1002.90117575,1003.9178627499999,1004.05126875,1005.06779975,1005.1345807499999,1006.15117375,1001.8011447499999,1006.15117375,1008.77101675,1010.26470375
5,2,110,1,4,0,0,3,0,1,1010.28432875,1016.22407675,1011.4344847499999,1012.4511407499999,0.0,0.0,0.0,0.0,1010.28432875,1012.4511407499999,1015.13857675,1016.22407675
5,2,111,2,2,5,0,2,1,0,1016.2509517499999,1023.6533237499999,1017.2843567499999,1018.30095075,1018.5009507499999,1019.51757475,0.0,0.0,1016.2509517499999,1019.51757475,1022.28747975,1023.6533237499999
5,2,112,1,1,0,0,4,0,1,1023.68422975,1030.09210175,1024.81763575,1025.83416575,0.0,0.0,0.0,0.0,1023.68422975,1025.83416575,1028.63741475,1030.09210175
5,2,113,1,5,0,0,5,1,1,1030.11738375,1035.62034975,1031.21800775,1032.23406975,0.0,0.0,0.0,0.0,1030.11738375,1032.23406975,1034.82038175,1035.62034975
5,2,114,3,5,3,4,4,1,1,1035.65075575,1043.8008157499999,1036.7006617499999,1037.71734875,1037.91731775,1038.93394175,1039.1016917499999,1040.11744175,1035.65075575,1040.11744175,1042.8701597499999,1043.8008157499999
5,2,115,3,4,5,2,1,0,1,1043.83387775,1052.04534275,1045.01728375,1046.03384575,1046.18384575,1047.20050175,1047.2505637499999,1048.26715675,1043.83387775,1048.26715675,1050.95343775,1052.04534275
5,2,116,3,3,4,5,5,1,1,1052.06703075,1060.05005875,1053.2337177499999,1054.25040475,1054.41712375,1055.43371675,1055.53406075,1056.55043475,1052.06703075,1056.55043475,1059.28687175,1060.05005875
