subject,session,task,ttl,time
1,1,screening,1,470.33531024999996
1,1,screening,3,471.53612225
1,1,screening,1,471.84296624999996
1,1,screening,3,473.04352824999995
1,1,screening,1,473.32812125
1,1,screening,3,474.52871424999995
1,1,screening,1,474.78912125
1,1,screening,3,475.98974525
1,1,screening,1,476.26405825
1,1,screening,3,477.46465125
1,1,screening,1,477.70240125
1,1,screening,3,478.90321324999996
1,1,screening,1,479.16108825
1,1,screening,3,480.36177525
1,1,screening,1,480.66927525
1,1,screening,3,481.86989925
1,1,screening,1,482.13618025
1,1,screening,3,483.33680525
1,1,screening,1,483.60383625
1,1,screening,3,484.80449224999995
1,1,screening,1,485.03883525
1,1,screening,3,486.23942925
1,1,screening,1,486.50052224999996
1,1,screening,3,487.70114724999996
1,1,screening,1,487.97977225
1,1,screening,3,489.18039625
1,1,screening,1,489.46327125
1,1,screening,3,490.66389525
1,1,screening,1,490.92170825
1,1,screening,3,492.12242625
1,1,screening,1,492.37633224999996
1,1,screening,3,493.57692625
1,1,screening,4,497.96058024999996
1,1,screening,1,498.27092424999995
1,1,screening,3,499.47154824999996
1,1,screening,1,499.68711125
1,1,screening,3,500.88776624999997
1,1,screening,1,501.19145425
1,1,screening,3,502.39223525
1,1,screening,1,502.69792225
1,1,screening,3,503.89854625
1,1,screening,1,504.19679625
1,1,screening,3,505.39735824999997
1,1,screening,1,505.61813924999996
1,1,screening,3,506.81882724999997
1,1,screening,1,507.06426424999995
1,1,screening,3,508.26488824999996
1,1,screening,1,508.51363825
1,1,screening,3,509.71420025
1,1,screening,1,509.99266924999995
1,1,screening,3,511.19341925
1,1,screening,1,511.41823124999996
1,1,screening,3,512.61882425
1,1,screening,1,512.9067622499999
1,1,screening,3,514.10766725
1,1,screening,4,517.17163525
1,1,screening,1,517.48338525
1,1,screening,3,518.6842282499999
1,1,screening,1,518.96791525
1,1,screening,3,520.1686022499999
1,1,screening,1,520.4308522499999
1,1,screening,3,521.63144625
1,1,screening,1,521.92028925
1,1,screening,3,523.12088225
1,1,screening,1,523.40607025
1,1,screening,3,524.60675725
1,1,screening,1,524.9117572499999
1,1,screening,3,526.11238125
1,1,screening,1,526.41485025
1,1,screening,3,527.61541225
1,1,screening,1,527.85963125
1,1,screening,3,529.06025525
1,1,screening,4,531.6053792499999
1,1,screening,1,531.91700425
1,1,screening,3,533.11759725
1,1,screening,1,533.3528162499999
1,1,screening,3,534.55375325
1,1,screening,1,534.77056525
1,1,screening,3,535.97122125
1,1,screening,1,536.25744025
1,1,screening,3,537.45803325
1,1,screening,1,537.72165825
1,1,screening,3,538.92228225
1,1,screening,1,539.18140725
1,1,screening,3,540.38200125
1,1,screening,4,544.1513122499999
1,1,screening,1,544.4601242499999
1,1,screening,3,545.66078025
1,1,screening,1,545.93621725
1,1,screening,3,547.1369982499999
1,1,screening,1,547.41321625
1,1,screening,3,548.61377825
1,1,screening,1,548.91374725
1,1,screening,3,550.1143402499999
1,1,screening,1,550.40924725
1,1,screening,3,551.60999625
1,1,screening,1,551.8808712499999
1,1,screening,3,553.08152725
1,1,screening,1,553.3141832499999
1,1,screening,3,554.51490125
1,1,screening,4,556.57058825
1,1,screening,1,556.87952525
1,1,screening,3,558.0801182499999
1,1,screening,1,558.38224325
1,1,screening,3,559.58283725
1,1,screening,1,559.80183625
1,1,screening,3,561.00246125
1,1,screening,1,561.26696125
1,1,screening,3,562.46783525
1,1,screening,1,562.69871025
1,1,screening,3,563.8993352499999
1,1,screening,1,564.21146025
1,1,screening,3,565.41205325
1,1,screening,1,565.69830325
1,1,screening,3,566.89889625
1,1,screening,1,567.16308425
1,1,screening,3,568.36386425
1,1,screening,1,568.62230225
1,1,screening,3,569.82286425
1,1,screening,1,570.03967625
1,1,screening,3,571.24023825
1,1,screening,1,571.51992625
1,1,screening,3,572.7205192499999
1,1,screening,1,572.93586225
1,1,screening,3,574.13654925
1,1,screening,1,574.35639325
1,1,screening,3,575.55695525
1,1,screening,1,575.82176825
1,1,screening,3,577.0223922499999
1,1,screening,1,577.24336125
1,1,screening,3,578.4439542499999
1,1,screening,1,578.73651625
1,1,screening,3,579.9371102499999
1,1,screening,1,580.23001625
1,1,screening,3,581.43060925
1,1,screening,1,581.71864025
1,1,screening,3,582.9192332499999
1,1,screening,1,583.14760825
1,1,screening,3,584.34823325
1,1,screening,1,584.6276702499999
1,1,screening,3,585.82829525
1,1,screening,1,586.09438825
1,1,screening,3,587.29529425
1,1,screening,1,587.6056072499999
1,1,screening,3,588.80620025
1,1,screening,1,589.08207525
1,1,screening,3,590.28269925
1,1,screening,1,590.57438725
1,1,screening,3,591.77494925
1,1,screening,1,592.03138625
1,1,screening,3,593.23197925
1,1,screening,1,593.48766725
1,1,screening,3,594.68826025
1,1,screening,4,595.95182225
1,1,screening,1,596.26422825
1,1,screening,3,597.4650712499999
1,1,screening,1,597.68572825
1,1,screening,3,598.88625825
1,1,screening,1,599.11041425
1,1,screening,3,600.31113325
1,1,screening,1,600.54310125
1,1,screening,3,601.7436632499999
1,1,screening,1,601.99663225
1,1,screening,3,603.19722525
1,1,screening,1,603.49481925
1,1,screening,3,604.69556825
1,1,screening,1,604.98822525
1,1,screening,3,606.18878725
1,1,screening,1,606.40916225
1,1,screening,3,607.60981725
1,1,screening,1,607.86238025
1,1,screening,3,609.06303525
1,1,screening,1,609.33194225
1,1,screening,3,610.53256625
1,1,screening,1,610.78494125
1,1,screening,3,611.9855662499999
1,1,screening,1,612.27309725
1,1,screening,3,613.4737212499999
1,1,screening,1,613.75175225
1,1,screening,3,614.95256425
1,1,screening,1,615.19759625
1,1,screening,3,616.3982512499999
1,1,screening,1,616.6550952499999
1,1,screening,3,617.8556572499999
1,1,screening,1,618.06809425
1,1,screening,3,619.2687502499999
1,1,screening,1,619.58037525
1,1,screening,3,620.7810002499999
1,1,screening,1,621.01206225
1,1,screening,3,622.21290525
1,1,screening,1,622.4365302499999
1,1,screening,3,623.63718625
1,1,screening,1,623.88718625
1,1,screening,3,625.0877792499999
1,1,screening,4,627.51818425
1,1,screening,1,627.82671525
1,1,screening,3,629.0273092499999
1,1,screening,1,629.28818425
1,1,screening,3,630.48877725
1,1,screening,1,630.73715225
1,1,screening,3,631.93793325
1,1,screening,1,632.25165125
1,1,screening,3,633.4522442499999
1,1,screening,1,633.7573072499999
1,1,screening,3,634.9579632499999
1,1,screening,1,635.17955625
1,1,screening,3,636.3801492499999
1,1,screening,1,636.66471225
1,1,screening,3,637.8654302499999
1,1,screening,1,638.10558625
1,1,screening,3,639.30627325
1,1,screening,1,639.56246125
1,1,screening,3,640.76305425
1,1,screening,1,641.02936625
1,1,screening,3,642.22996025
1,1,screening,1,642.53967825
1,1,screening,3,643.74045925
1,1,screening,1,643.99936525
1,1,screening,3,645.19995825
1,1,screening,1,645.51683325
1,1,screening,3,646.71742725
1,1,screening,1,646.9596762499999
1,1,screening,3,648.1603642499999
1,1,screening,1,648.44227025
1,1,screening,3,649.6428942499999
1,1,screening,1,649.9237382499999
1,1,screening,3,651.12436225
1,1,screening,1,651.39214325
1,1,screening,3,652.59283025
1,1,screening,1,652.87786225
1,1,screening,3,654.07851725
1,1,screening,1,654.3562362499999
1,1,screening,3,655.55682925
1,1,screening,4,657.55011025
1,1,screening,1,657.86057825
1,1,screening,3,659.06117225
1,1,screening,1,659.28642225
1,1,screening,3,660.48698425
1,1,screening,1,660.79710825
1,1,screening,3,661.99782725
1,1,screening,1,662.23329525
1,1,screening,3,663.43410725
1,1,screening,1,663.65057625
1,1,screening,3,664.8512012499999
1,1,screening,1,665.12035725
1,1,screening,3,666.32104425
1,1,screening,1,666.62113725
1,1,screening,3,667.8216992499999
1,1,screening,1,668.10398025
1,1,screening,3,669.30469925
1,1,screening,1,669.53894925
1,1,screening,3,670.73991725
1,1,screening,1,670.99410425
1,1,screening,3,672.19507325
1,1,screening,1,672.45651025
1,1,screening,3,673.6570722499999
1,1,screening,1,673.9696662499999
1,1,screening,3,675.17025925
1,1,screening,1,675.39825925
1,1,screening,3,676.59882125
1,1,screening,1,676.89513325
1,1,screening,3,678.09572625
1,1,screening,1,678.37166425
1,1,screening,3,679.57241325
1,1,screening,1,679.82175725
1,1,screening,3,681.0223502499999
1,1,screening,1,681.25666325
1,1,screening,3,682.45735025
1,1,screening,1,682.71506825
1,1,screening,3,683.91569325
1,1,screening,1,684.17569325
1,1,screening,3,685.37634925
1,1,screening,1,685.60028625
1,1,screening,3,686.80091125
1,1,screening,1,687.07322325
1,1,screening,3,688.27409725
1,1,screening,4,692.80912725
1,1,screening,60,719.99755325
1,2,sternberg,61,22.8697405
1,2,sternberg,11,23.0490525
1,2,sternberg,1,24.0343025
1,2,sternberg,5,25.0381145
1,2,sternberg,2,25.165770499999997
1,2,sternberg,5,26.1683645
1,2,sternberg,3,26.2464265
1,2,sternberg,6,27.2494575
1,2,sternberg,7,29.877643499999998
1,2,sternberg,8,30.947643499999998
1,2,sternberg,11,30.9775185
1,2,sternberg,1,31.9413305
1,2,sternberg,5,32.9440175
1,2,sternberg,2,32.9777365
1,2,sternberg,5,33.980861499999996
1,2,sternberg,3,34.0227365
1,2,sternberg,6,35.0259855
1,2,sternberg,7,37.625297499999995
1,2,sternberg,8,38.9379215
1,2,sternberg,11,38.9607345
1,2,sternberg,1,40.061671499999996
1,2,sternberg,5,41.0643585
1,2,sternberg,2,41.168139499999995
1,2,sternberg,5,42.1713895
1,2,sternberg,3,42.283545499999995
1,2,sternberg,6,43.2865135
1,2,sternberg,7,45.9137005
1,2,sternberg,8,47.6489495
1,2,sternberg,11,47.6772935
1,2,sternberg,1,48.8439805
1,2,sternberg,5,49.8470425
1,2,sternberg,2,49.9056985
1,2,sternberg,6,50.9081985
1,2,sternberg,7,53.532540499999996
1,2,sternberg,8,55.3051025
1,2,sternberg,11,55.3271965
1,2,sternberg,1,56.3165705
1,2,sternberg,5,57.3196325
1,2,sternberg,2,57.5135395
1,2,sternberg,6,58.5167885
1,2,sternberg,7,61.075850499999994
1,2,sternberg,8,61.874256499999994
1,2,sternberg,11,61.893818499999995
1,2,sternberg,1,62.942474499999996
1,2,sternberg,5,63.9451305
1,2,sternberg,2,64.06463049999999
1,2,sternberg,6,65.0670985
1,2,sternberg,7,67.7047225
1,2,sternberg,8,68.5074095
1,2,sternberg,11,68.5272845
1,2,sternberg,1,69.52037849999999
1,2,sternberg,5,70.5236275
1,2,sternberg,2,70.7014715
1,2,sternberg,6,71.7046895
1,2,sternberg,7,74.5148765
1,2,sternberg,8,75.4123445
1,2,sternberg,11,75.44346949999999
1,2,sternberg,1,76.5324375
1,2,sternberg,5,77.5350315
1,2,sternberg,2,77.57499949999999
1,2,sternberg,5,78.5781245
1,2,sternberg,3,78.6619685
1,2,sternberg,6,79.6652805
1,2,sternberg,7,82.21999749999999
1,2,sternberg,8,83.0363105
1,2,sternberg,11,83.0600915
1,2,sternberg,1,84.05690349999999
1,2,sternberg,5,85.0605595
1,2,sternberg,2,85.1326845
1,2,sternberg,5,86.1358405
1,2,sternberg,3,86.23337149999999
1,2,sternberg,6,87.2358395
1,2,sternberg,7,89.8940265
1,2,sternberg,8,91.0760255
1,2,sternberg,11,91.1099315
1,2,sternberg,1,92.2437125
1,2,sternberg,5,93.2462745
1,2,sternberg,2,93.3214625
1,2,sternberg,6,94.32436849999999
1,2,sternberg,7,96.9445545
1,2,sternberg,8,98.9874595
1,2,sternberg,11,99.0098345
1,2,sternberg,1,100.0502405
1,2,sternberg,6,101.05283449999999
1,2,sternberg,7,103.7693335
1,2,sternberg,8,106.6115815
1,2,sternberg,11,106.6430505
1,2,sternberg,1,107.74664349999999
1,2,sternberg,6,108.74936249999999
1,2,sternberg,7,111.5023295
1,2,sternberg,8,112.2697985
1,2,sternberg,11,112.2929545
1,2,sternberg,1,113.3994855
1,2,sternberg,6,114.40286049999999
1,2,sternberg,7,117.10179649999999
1,2,sternberg,8,117.87988949999999
1,2,sternberg,11,117.9097335
1,2,sternberg,1,118.8649835
1,2,sternberg,5,119.86823249999999
1,2,sternberg,2,119.97692049999999
1,2,sternberg,5,120.9793885
1,2,sternberg,3,121.0511695
