image_uid,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,aspect
img_0050,0.3425217866897583,0.28171631693840027,0.9543988200814272,57.6451301574707,0.5023806095123291,3.2930665016174316,5.588719771685068,0.1249,-2.31012202995832,0.10667145997285843,0.5173206245077091,0.5686712723566801,1.3333333333333333
img_0051,0.2463756501674652,0.23234477639198303,0.9911880179650775,22.44452667236328,0.33065667748451233,2.276211738586426,5.291354723916886,0.03270833333333333,-2.6656454894971437,0.02645544335246086,0.5498707689895356,0.5186903061346868,1.3333333333333333
img_0052,0.5653033256530762,0.2564721703529358,0.8183049595798352,61.37069320678711,0.4372102916240692,2.9708988666534424,5.568798759385096,0.0199,-3.0785013205164558,0.018347153440117836,0.5265363398862594,0.5334582573821023,1.3333333333333333
img_0053,0.4039144515991211,0.30391380190849304,0.8889943117823125,45.80438232421875,0.5177842974662781,1.9125896692276,5.239815318011635,0.010108333333333334,-3.704077902474957,0.004803058225661516,0.5365770075213032,0.5557599074756258,1.3333333333333333
img_0054,0.1986391693353653,0.17364346981048584,0.9686057964217317,22.241086959838867,0.27051377296447754,2.8042898178100586,4.650610776183685,0.012258333333333333,-2.914297780330268,0.021778812631964684,0.40890760858270186,0.47571239572443524,1.3333333333333333
img_0055,0.3133685886859894,0.16660399734973907,0.9806929001672383,33.30561065673828,0.3283793330192566,2.2597577571868896,5.152332175880562,0.009075,-2.9526285691004697,0.02062179706990719,0.49519967658607167,0.5431466401413081,1.3333333333333333
img_0056,0.5065575242042542,0.27978116273880005,0.8919169164330695,30.285554885864258,0.23538470268249512,3.2829535007476807,5.790730651803985,0.042175,-2.913644535075064,0.024960821494460106,0.47413926431267145,0.5470882654191501,1.3333333333333333
img_0057,0.7031142115592957,0.22677980363368988,0.7174373600042893,56.4308967590332,0.25687375664711,2.124157428741455,4.826237247375232,0.027558333333333334,-2.531001337128607,0.04355258122086525,0.43072565170797256,0.5507123696325709,1.3333333333333333
img_0058,0.7028317451477051,0.26907113194465637,0.8682202262920241,32.16314697265625,0.1598566621541977,1.9181748628616333,4.956822164700008,0.025308333333333332,-2.962131005936936,0.015643835067749023,0.488534321310647,0.5234145864782149,1.3333333333333333
img_0059,0.5090633630752563,0.24368348717689514,0.8118171647732613,75.7066650390625,0.3758043944835663,1.7035270929336548,5.7616625026987665,0.026116666666666667,-3.1405126665380036,0.02347647398710251,0.4942433436241538,0.5181606158847104,1.3333333333333333
img_0060,0.4251401424407959,0.18040403723716736,0.9475068786561279,57.131385803222656,0.35364824533462524,2.9221582412719727,5.540006380711501,0.036375,-2.6972603959596415,0.07591725140810013,0.480670706329936,0.578805354387486,1.3333333333333333
img_0061,0.33402377367019653,0.30659687519073486,0.9920929762927939,60.91255187988281,0.42310529947280884,3.0364274978637695,5.576933372664291,0.057216666666666666,-2.872533004850507,0.03960108384490013,0.4735789816747005,0.5393963668683605,1.3333333333333333
img_0062,0.4884806275367737,0.28137484192848206,0.9990741388949748,49.20338821411133,0.36065176129341125,2.479809284210205,5.671671531911322,0.020883333333333334,-3.0535907546686425,0.02459700219333172,0.47390423295318607,0.48735149887178086,1.3333333333333333
img_0064,0.4047551155090332,0.23355473577976227,0.7881760862234192,30.671371459960938,0.23856738209724426,2.8615825176239014,5.47217935681385,0.028558333333333335,-2.7518374773142327,0.029260694980621338,0.47463970710861014,0.5599073269599212,1.3333333333333333
img_0065,0.36912065744400024,0.23082557320594788,0.8946386846503048,40.13484191894531,0.28874853253364563,2.800671339035034,5.52094048734792,0.023441666666666666,-2.76661695066946,0.03144115209579468,0.4943674425440767,0.5205018176952716,1.3333333333333333
img_0066,0.5492913126945496,0.23231148719787598,0.7765435179136023,72.1349868774414,0.3671020567417145,3.177767753601074,5.523438824166357,0.018625,-3.2775149471434206,0.01339123584330082,0.450657668963359,0.4662674038941676,1.3333333333333333
img_0067,0.3932858109474182,0.25983551144599915,0.9918599478222367,85.25799560546875,0.6736928224563599,3.1355526447296143,5.801142026491004,0.102,-1.9737715436885817,0.08139662444591522,0.48598699516241955,0.4908940346256182,1.3333333333333333
img_0068,0.435117244720459,0.14148657023906708,0.6616400877481701,3.739119052886963,0.029967062175273895,2.8745100498199463,5.030774763692702,0.006941666666666666,-3.0768413144670914,0.029620956629514694,0.48759443336576846,0.5434083572986166,1.3333333333333333
img_0069,0.6240055561065674,0.3591897487640381,0.89695445001011,27.319604873657227,0.16006039083003998,3.2889561653137207,5.007865618925885,0.027508333333333333,-2.725023756429902,0.026512783020734787,0.502010553915561,0.5043993614682548,1.3333333333333333
img_0070,0.3397909700870514,0.25025516748428345,0.832682338412898,41.343475341796875,0.4109231233596802,2.630432605743408,4.91288389546836,0.024925,-3.3024131208930685,0.04115413501858711,0.5873188914573165,0.5296119621279561,1.3333333333333333
img_0071,0.6824946403503418,0.33870190382003784,0.8534872692943154,14.33595085144043,0.07214993983507156,3.9584059715270996,4.945812475420496,0.04331666666666667,-2.7758259090292725,0.027101930230855942,0.506963539683326,0.474920316830397,1.3333333333333333
img_0072,0.5678859353065491,0.28229019045829773,0.9360191832731266,51.143062591552734,0.1996077597141266,3.111090660095215,5.71654097222889,0.08599166666666666,-2.2622451283150236,0.0551762655377388,0.536132972894645,0.4802361086268251,1.3333333333333333
img_0073,0.42665570974349976,0.29091876745224,0.9895683099012484,110.41239929199219,0.7056736946105957,4.105702877044678,5.906401550469214,0.10740833333333333,-2.836360294577704,0.06207044795155525,0.4896432862253926,0.47481331961910067,1.3333333333333333
img_0074,0.7260338664054871,0.16993394494056702,0.6348690973289738,56.82929229736328,0.26734888553619385,1.3645693063735962,5.058752292956859,0.017833333333333333,-2.3632177053210066,0.05606599897146225,0.4899975687145798,0.45993878902908875,1.3333333333333333
img_0075,0.29593804478645325,0.1872982382774353,0.9946083623189257,81.10502624511719,0.7174924612045288,2.6533894538879395,5.18357482314452,0.022008333333333335,-2.3689560058779966,0.07799535244703293,0.46573045505401217,0.4775121939489418,1.3333333333333333
img_0076,0.5023908019065857,0.26195085048675537,0.8463008753117461,39.62773895263672,0.2151143103837967,2.712867021560669,5.607625565187653,0.10095,-2.5369799423460577,0.09866375476121902,0.49533639718943,0.4270638297892196,1.3333333333333333
img_0077,0.3820529282093048,0.12668541073799133,0.8624425562834966,11.961326599121094,0.06512846797704697,3.8393173217773438,4.2392247865722945,0.0212,-2.4167051951955867,0.0616917610168457,0.4489002608504405,0.5519577397660015,1.3333333333333333
img_0078,0.3317522406578064,0.23201027512550354,0.9547647827491385,125.66185760498047,0.636428952217102,2.5490057468414307,4.967655161669093,0.021725,-2.6525505794624737,0.04489821568131447,0.4471305660008847,0.5727908045636572,1.3333333333333333
