model,layer,view,metric,count,mean,sem,p
resnet50,layer3,rp,correlation,19,0.04327277965705294,0.016713671509389856,0.01852003709067124
resnet50,layer3,rp,euclidean,19,0.044390136175334355,0.015699761730035185,0.0111600459393644
resnet50,layer4,gap,correlation,19,0.05371047669186539,0.019757457195655154,0.014086951288133089
resnet50,layer4,gap,euclidean,19,0.03482449287182588,0.01126361149890056,0.00629154707714781
resnet50,layer4,rp,correlation,19,0.046940603022655,0.016090222437240575,0.009194367585238741
resnet50,layer4,rp,euclidean,19,0.028393283041704204,0.008334904464877106,0.0031455305670690056
resnet50,logits,gap,correlation,19,0.04149930137256434,0.01700100315995426,0.025208000997731943
resnet50,logits,gap,euclidean,19,0.03690251537702939,0.013401462967792575,0.013071023990535936
resnet50,logits,rp,correlation,19,0.04149930137256434,0.01700100315995426,0.025208000997731943
resnet50,logits,rp,euclidean,19,0.03690251537702939,0.013401462967792575,0.013071023990535936
resnet50,stem,gap,correlation,19,0.007148693490496728,0.0052657552870151525,0.19137413128275677
resnet50,stem,gap,euclidean,19,0.00863567278761238,0.005594893280524378,0.14010994890310424
resnet50,stem,rp,correlation,19,0.009171743808456048,0.006740363863509365,0.19039816182925523
resnet50,stem,rp,euclidean,19,0.008337118287904016,0.006031123281549459,0.18377790181580145
vgg16,conv1_2,gap,correlation,19,0.012683837550119119,0.008743197219910537,0.16406480853041008
vgg16,conv1_2,gap,euclidean,19,0.012588989466805138,0.0069147836554252756,0.08533681908228832
vgg16,conv1_2,rp,correlation,19,0.015979119499034272,0.012143338763067432,0.2047294416589479
vgg16,conv1_2,rp,euclidean,19,0.011996431944615941,0.007248234966103731,0.11523835433292282
vgg16,conv2_2,gap,correlation,19,0.028819918189906854,0.014237526056062561,0.05804735296592005
vgg16,conv2_2,gap,euclidean,19,0.01868480056917818,0.008430152261648647,0.039783107122974386
vgg16,conv2_2,rp,correlation,19,0.025246040061527076,0.011848026590020815,0.04714753170838668
vgg16,conv2_2,rp,euclidean,19,0.012168226904418572,0.0050830863082247995,0.027774218816172216
vgg16,conv3_3,gap,correlation,19,0.037803007119099424,0.01720974724652248,0.0413876161508909
vgg16,conv3_3,gap,euclidean,19,0.025666731638485252,0.01097095072218683,0.03103618017843951
vgg16,conv3_3,rp,correlation,19,0.02717437786616474,0.01391136393951826,0.0664960417313396
vgg16,conv3_3,rp,euclidean,19,0.01661193972786488,0.006699898641151662,0.023281232023220366
vgg16,conv4_3,gap,correlation,19,0.04614918907674561,0.01910351711226185,0.0265539030595242
vgg16,conv4_3,gap,euclidean,19,0.03877196966968681,0.015164006719437628,0.019814172714202244
vgg16,conv4_3,rp,correlation,19,0.03780617719218647,0.017237145783149912,0.04166108761711352
vgg16,conv4_3,rp,euclidean,19,0.019702092495841154,0.007594416874426516,0.01831802487978026
