group,model,layer,view,n,rho_mean,rho_sem,rho_null_mean,p_vs_zero,p_vs_null_anchor,frac_pos
MTL concept,alexnet,fc7,gap,134.0,0.14739901219947038,0.021548303975569005,-0.006889721277930984,9.486261978733885e-09,1.3285576848396059e-09,0.7014925373134329
MTL concept,alexnet,logits,gap,134.0,0.14711783246704682,0.021354014059540266,0.009678678925917672,6.646171634777169e-09,7.891538842069593e-09,0.746268656716418
MTL concept,clip_vitb32,block11,cls,134.0,0.1543146707329765,0.019576296177230047,0.00566273181739726,4.661889624988608e-11,3.4029076260622155e-11,0.7164179104477612
MTL concept,clip_vitb32,block2,cls,134.0,0.10850717773726982,0.01604941674483297,0.009304887108935534,5.0948171422439574e-09,6.345986928301486e-08,0.6865671641791045
MTL concept,clip_vitb32,block5,cls,134.0,0.11816048536882236,0.019670164749643435,0.006931093167794212,5.284472519901174e-07,5.99877404605127e-07,0.6492537313432836
MTL concept,clip_vitb32,block8,cls,134.0,0.15359198139319644,0.021208346854742224,-0.0025008875185263267,2.299875972328406e-09,6.903566730761242e-10,0.7014925373134329
MTL concept,clip_vitb32,embed,gap,134.0,0.1572222799409588,0.019927441954235556,0.007692507963957559,4.013992307555738e-11,1.914758200605905e-11,0.7089552238805971
MTL concept,clip_vitb32,ln_post,cls,134.0,0.1703559367549165,0.020338262036582764,0.009270629977215204,2.3461949489710077e-12,3.2712040702443706e-12,0.7089552238805971
MTL concept,convnext_tiny,avgpool,gap,134.0,0.13697061013389225,0.017264888616089658,0.00837904672227142,1.3066531417519525e-11,9.358008389613995e-11,0.7611940298507462
MTL concept,convnext_tiny,logits,gap,134.0,0.15113002675862125,0.018691708444122403,-0.011414933407468655,3.769513573064196e-12,2.421871251578385e-12,0.746268656716418
MTL concept,convnext_tiny,stage1,gap,134.0,0.08431187479962066,0.014761657171653907,0.015516212088765222,2.6509060833462194e-07,2.833074857240287e-06,0.664179104477612
MTL concept,convnext_tiny,stage2,gap,134.0,0.05806941733364212,0.014963485063685054,0.013078949579155666,0.0008078747277458253,0.0014438274827819504,0.5970149253731343
