region,concept_cell,model,layer,view,n_units,r_mean,r_median,r_sem,r_norm_mean,frac_pos
MFC,True,alexnet,conv1,gap,27,-0.06677815126512811,-0.13878946840821804,0.05273773549914887,-0.13059058896291662,0.2962962962962963
MFC,True,alexnet,conv2,gap,27,-0.09657611767460833,-0.2025970843441223,0.05215795342898579,-0.18672162302133477,0.2962962962962963
MFC,True,alexnet,conv3,gap,27,-0.07213444436007167,-0.12854711163015917,0.05068635861629663,-0.14726161604695026,0.2962962962962963
MFC,True,alexnet,conv4,gap,27,-0.05432367690630396,-0.18977449288421772,0.056124713681180195,-0.12954404319733442,0.4074074074074074
MFC,True,alexnet,conv5,gap,27,-0.05121270067658076,-0.13085423692172415,0.052628289237149746,-0.12063755108809708,0.4074074074074074
MFC,True,alexnet,fc6,gap,27,-0.00023309913206784842,-0.012414901479645565,0.04701225938538022,-0.027522702926782678,0.48148148148148145
MFC,True,alexnet,fc7,gap,27,0.026555085970146754,-0.008570354755640493,0.03561584381290037,0.03370857106501278,0.48148148148148145
MFC,True,alexnet,logits,gap,27,-0.006784926753857654,-0.016444789915938993,0.04262164963519403,-0.030371536058082894,0.48148148148148145
MFC,True,baseline,category,-,27,-0.09356120397466192,-0.16117812376951893,0.04905157990770933,-0.17507093397260812,0.3333333333333333
MFC,True,baseline,lowlevel,-,27,-0.11631327546622182,-0.1759205344682404,0.03587993113763649,-0.20289803800383302,0.37037037037037035
MFC,True,clip_vitb32,block11,cls,27,0.030965244833279806,0.01741186256662228,0.05251950687655821,0.020945860130646848,0.5185185185185185
MFC,True,clip_vitb32,block11,gap,27,-0.027631224316787974,-0.10225452106695604,0.04967461571004527,-0.06617417930083119,0.4074074074074074
MFC,True,clip_vitb32,block2,cls,27,-0.1021318856621203,-0.18872174743978024,0.05467114260333776,-0.19768141707211329,0.3333333333333333
MFC,True,clip_vitb32,block2,gap,27,-0.06291933184889248,-0.14629528109512716,0.04677110698359365,-0.12598398928826904,0.3333333333333333
MFC,True,clip_vitb32,block5,cls,27,-0.0808278235696346,-0.20616455401948952,0.05074826398300021,-0.158747899907402,0.3333333333333333
MFC,True,clip_vitb32,block5,gap,27,-0.023433109824378434,-0.0794624541969109,0.05023329162605702,-0.06833907533019383,0.3333333333333333
MFC,True,clip_vitb32,block8,cls,27,-0.04322799799286345,-0.11300057224766173,0.05182915408569992,-0.09897341163343756,0.4444444444444444
MFC,True,clip_vitb32,block8,gap,27,-0.021914433716062068,-0.052985753688180835,0.05134724090347714,-0.06599134185657596,0.4444444444444444
MFC,True,clip_vitb32,embed,gap,27,-0.0071599893179479296,-0.08399083840086577,0.05421276524761954,-0.04785668227507305,0.4444444444444444
MFC,True,clip_vitb32,ln_post,cls,27,0.02935166683269069,-0.0014079762422711112,0.053625352656579604,0.016904619597460258,0.48148148148148145
MFC,True,clip_vitb32,ln_post,gap,27,-0.01824572659063931,-0.10265510411594109,0.05166152562036943,-0.0520566998913291,0.4074074074074074
MFC,True,convnext_tiny,avgpool,gap,27,-0.019784797880924004,-0.06542658907458176,0.04968241105191162,-0.05532543548017816,0.48148148148148145
MFC,True,convnext_tiny,logits,gap,27,0.006869015090938883,0.005699864686100287,0.0384434985021045,-0.006342983852686686,0.5185185185185185
MFC,True,convnext_tiny,stage1,gap,27,-0.0875409961237797,-0.15638235358406563,0.05533402367116982,-0.16148817919891392,0.4074074074074074
MFC,True,convnext_tiny,stage2,gap,27,-0.07426017694646572,-0.08622082820159464,0.05060689825693134,-0.14593382342571767,0.3333333333333333
MFC,True,convnext_tiny,stage3,gap,27,-0.03337115923036883,-0.09871840646630026,0.051976691168960046,-0.07187329532500983,0.37037037037037035
MFC,True,convnext_tiny,stage4,gap,27,-0.019784797880924004,-0.06542658907458176,0.04968241105191162,-0.05532543548017816,0.48148148148148145
MFC,True,dinov2_small,block11,cls,27,-0.0523309804279035,-0.036245547482931705,0.040907379689432304,-0.10066165521622858,0.37037037037037035
MFC,True,dinov2_small,block11,gap,27,-0.019336355635033105,-0.06364290184460844,0.04803865632122404,-0.05657069088251047,0.4444444444444444
MFC,True,dinov2_small,block2,cls,27,-0.0956529261510397,-0.09681618673073478,0.050857530321444036,-0.18990272868561833,0.2962962962962963
MFC,True,dinov2_small,block2,gap,27,-0.10852429267536327,-0.21569516280118384,0.05091636851153764,-0.20461019919905163,0.37037037037037035
MFC,True,dinov2_small,block5,cls,27,-0.03026816643472334,-0.1137997247111667,0.0482201307645215,-0.07642267387965457,0.3333333333333333
MFC,True,dinov2_small,block5,gap,27,-0.06568590730938793,-0.15870004379045283,0.051861743403945344,-0.13465162116569493,0.37037037037037035
MFC,True,dinov2_small,block8,cls,27,-0.018737840064817077,-0.0651609259274567,0.0534342897993448,-0.0535587699247125,0.4444444444444444
MFC,True,dinov2_small,block8,gap,27,-0.059647818826685295,-0.1489667605574325,0.05222299390628289,-0.13134346531949384,0.2962962962962963
MFC,True,dinov2_small,norm,cls,27,-0.02261405212584029,-0.01772976955220499,0.04491349242579254,-0.05240079513381644,0.48148148148148145
MFC,True,dinov2_small,norm,gap,27,-0.024464005676544838,-0.06608572724075618,0.04762257842847165,-0.06507044039011821,0.4444444444444444
MFC,True,resnet18,avgpool,gap,27,-0.00931008114300434,-0.08053467389503999,0.0398652788386573,-0.02555162641591875,0.4444444444444444
MFC,True,resnet18,layer1,gap,27,-0.10288649250879141,-0.1919274984934173,0.04795345929383971,-0.18821055778335202,0.2962962962962963
MFC,True,resnet18,layer2,gap,27,-0.1058037472857512,-0.2100128116014718,0.05349275722679215,-0.2058469957660494,0.3333333333333333
MFC,True,resnet18,layer3,gap,27,-0.05538428072581074,-0.10757364555381066,0.04876037634049283,-0.12001133976554763,0.4074074074074074
MFC,True,resnet18,layer4,gap,27,-0.00931008114300434,-0.08053467389503999,0.0398652788386573,-0.02555162641591875,0.4444444444444444
MFC,True,resnet18,logits,gap,27,0.009627318331359309,-0.0014735472798454424,0.037930320786468616,0.004149637173056452,0.48148148148148145
MFC,True,resnet18,stem,gap,27,-0.11431184999482058,-0.15192065366849353,0.044468463069540644,-0.20837041850013435,0.2962962962962963
MFC,True,resnet50,avgpool,gap,27,0.0037427817146059132,0.01738128865103576,0.04338708520502969,0.007312356164343474,0.5185185185185185
