group,subject,unit,area,model,layer,view,rho,rho_null
MTL non-concept,4,24,amygdala,alexnet,conv1,gap,0.08750533641917617,0.07613172980757646
MTL non-concept,4,27,amygdala,alexnet,conv1,gap,0.010521023504830267,-0.1642113890316942
MTL non-concept,4,28,amygdala,alexnet,conv1,gap,0.1431303101230884,0.0626312669652112
MTL non-concept,4,29,amygdala,alexnet,conv1,gap,0.028680362848494918,0.0133498159438331
MTL non-concept,4,31,amygdala,alexnet,conv1,gap,0.11729560124273883,-0.05445723117347083
MTL non-concept,4,32,amygdala,alexnet,conv1,gap,0.03742758422057869,0.08812594498759706
MTL non-concept,4,42,amygdala,alexnet,conv1,gap,0.22795528744341076,0.11009809322350274
MTL non-concept,4,47,amygdala,alexnet,conv1,gap,0.26483946550373993,0.012975906424428902
MTL non-concept,4,48,amygdala,alexnet,conv1,gap,0.10441206502177579,0.12610494729131924
MTL non-concept,5,21,amygdala,alexnet,conv1,gap,0.005726193443447646,0.0072703689707917995
MTL non-concept,5,22,amygdala,alexnet,conv1,gap,-0.12227333232121222,0.0023935583167198943
MTL non-concept,5,23,amygdala,alexnet,conv1,gap,0.0905562830547564,-0.03176509356352434
MTL non-concept,5,24,amygdala,alexnet,conv1,gap,-0.08353867741591305,-0.09039023585735464
MTL non-concept,5,25,hippocampus,alexnet,conv1,gap,0.051542670943218356,-0.01974457502374754
MTL non-concept,5,27,hippocampus,alexnet,conv1,gap,0.05880015365073717,-0.033718574991290946
MTL non-concept,5,28,hippocampus,alexnet,conv1,gap,-0.09430045087317744,-0.07866676279846206
MTL non-concept,5,30,hippocampus,alexnet,conv1,gap,-0.10393557398196084,-0.3596757209878102
MTL non-concept,5,31,hippocampus,alexnet,conv1,gap,0.1859198116466053,0.2570898400458418
MTL non-concept,5,32,hippocampus,alexnet,conv1,gap,-0.02068451861927364,-0.05675999483871865
MTL non-concept,7,13,hippocampus,alexnet,conv1,gap,-0.026412408275218176,0.1459484643996121
MTL non-concept,7,14,hippocampus,alexnet,conv1,gap,0.053494723094956585,-0.1412601669355426
MTL non-concept,7,15,hippocampus,alexnet,conv1,gap,-0.012781968186135386,0.126997714302885
MTL non-concept,7,16,hippocampus,alexnet,conv1,gap,0.29115160523877914,-0.26775500989154793
MTL non-concept,7,18,amygdala,alexnet,conv1,gap,0.01642263289924425,-0.11043489441587274
MTL non-concept,7,19,amygdala,alexnet,conv1,gap,0.06490998886670368,0.06193582988532318
MTL non-concept,7,22,amygdala,alexnet,conv1,gap,0.08766290723091075,-0.02836272588152783
MTL non-concept,7,27,amygdala,alexnet,conv1,gap,0.024933357219767596,-0.200815797589594
MTL non-concept,7,28,amygdala,alexnet,conv1,gap,0.15850863700367487,0.13595441455968824
MTL non-concept,7,29,amygdala,alexnet,conv1,gap,0.10578688503996776,-0.05943554234300801
MTL non-concept,7,31,amygdala,alexnet,conv1,gap,-0.06449946765846044,-0.0772344743667749
MTL non-concept,7,32,amygdala,alexnet,conv1,gap,-0.2456051061479109,-0.2017928005211757
MTL non-concept,7,33,amygdala,alexnet,conv1,gap,-0.10343014596452481,0.2085497671257919
MTL non-concept,8,32,hippocampus,alexnet,conv1,gap,0.07396853743492833,-0.0858059343515364
MTL non-concept,8,33,hippocampus,alexnet,conv1,gap,0.11375146349648174,0.1746372858102242
MTL non-concept,8,35,hippocampus,alexnet,conv1,gap,0.062104058063346824,-0.15540138245740653
MTL non-concept,8,36,hippocampus,alexnet,conv1,gap,0.1512351522385985,0.018625929859637996
MTL non-concept,8,39,hippocampus,alexnet,conv1,gap,0.047548006531774246,0.13961162121957185
MTL non-concept,8,40,hippocampus,alexnet,conv1,gap,0.06340332849774527,-0.029225605965670032
MTL non-concept,8,41,hippocampus,alexnet,conv1,gap,0.20827726421311832,-0.13678893063974987
MTL non-concept,8,43,hippocampus,alexnet,conv1,gap,-0.014009075716047235,0.036550113499467456
MTL non-concept,8,44,hippocampus,alexnet,conv1,gap,0.3291000950370857,-0.035578760491241326
MTL non-concept,8,46,hippocampus,alexnet,conv1,gap,-0.015635935314373357,-0.20821200410457816
MTL non-concept,8,48,hippocampus,alexnet,conv1,gap,-0.034481999017154465,-0.060441478441465045
MTL non-concept,8,49,hippocampus,alexnet,conv1,gap,-0.10843369634954275,0.11465275173517069
MTL non-concept,8,50,hippocampus,alexnet,conv1,gap,0.192222511567701,-0.13571815350562835
MTL non-concept,8,52,amygdala,alexnet,conv1,gap,-0.20036039399247263,0.06717343861261867
MTL non-concept,8,53,amygdala,alexnet,conv1,gap,-0.043231281627124085,-0.056167548112531614
MTL non-concept,8,54,amygdala,alexnet,conv1,gap,-0.2753570191447767,0.29170699319444193
MTL non-concept,8,55,amygdala,alexnet,conv1,gap,0.022538726927111983,-0.24690229525839022
MTL non-concept,8,56,amygdala,alexnet,conv1,gap,0.15067009944572834,0.09650279388823227
MTL non-concept,8,57,amygdala,alexnet,conv1,gap,0.012394708768532877,0.008290636372443988
MTL non-concept,9,18,amygdala,alexnet,conv1,gap,-0.07267064236783886,0.19519422954712118
MTL non-concept,9,19,amygdala,alexnet,conv1,gap,-0.11939248491177537,-0.16851711120594082
MTL non-concept,9,20,amygdala,alexnet,conv1,gap,-0.0854151109997721,0.11562609030791275
MTL non-concept,9,21,amygdala,alexnet,conv1,gap,-0.1606895113083288,0.25125113215596906
MTL non-concept,9,22,amygdala,alexnet,conv1,gap,-0.1391932264177002,0.154844129843795
MTL non-concept,9,23,amygdala,alexnet,conv1,gap,0.077855357917076,-0.09356061840966104
