subject,unit,area,region,concept_cell,mean_rate,reliability,model,layer,view,r,r_norm
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,conv2,gap,-0.2025970843441223,-0.40007147555779304
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,conv2,gap,-0.14408756634874975,-0.5324413027538917
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,conv2,gap,-0.18198755099358366,-0.5484227346066556
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,conv2,gap,0.027712742292423036,0.11979341279246168
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,conv3,gap,-0.08237004659026133,-0.3683700469712982
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,conv3,gap,-0.3155073795808842,-1.4109918962913723
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,conv3,gap,0.08473626117302901,0.3789520802841379
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,conv3,gap,-0.24318508806370434,-1.0875567760494314
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,conv3,gap,-0.25163498018215685,-0.49690733778001767
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,conv3,gap,-0.10897207074486252,-0.4026803476626788
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,conv3,gap,-0.0553791125593972,-0.1668859445830182
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,conv3,gap,0.0361277618800084,0.15616887879561792
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,conv4,gap,-0.3496215966325569,-1.5635553129448174
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,conv4,gap,-0.2726953303925592,-1.2195305918090538
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,conv4,gap,-0.0036331195757885112,-0.01624780468369662
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,conv4,gap,-0.2655903072355089,-1.1877559622873044
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,conv4,gap,-0.1891494313178363,-0.37351619512800566
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,conv4,gap,-0.1556087567368322,-0.5750151193222042
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,conv4,gap,-0.0009264512646433298,-0.0027918774293160466
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,conv4,gap,-0.16049465176647126,-0.6937675769207414
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,conv5,gap,-0.2670733613227595,-1.1943883817941068
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,conv5,gap,-0.34985991725223275,-1.5646211151568878
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,conv5,gap,0.12221395486727565,0.5465574217646393
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,conv5,gap,-0.27052105811263527,-1.2098069505700468
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,conv5,gap,-0.2560145758038313,-0.5055557903892054
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,conv5,gap,-0.2177074184070499,-0.8044859415230317
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,conv5,gap,-0.10993113203179355,-0.33127942937924987
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,conv5,gap,0.11740956411811115,0.5075243810869406
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,fc6,gap,-0.1474495497043889,-0.6594144327814951
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,fc6,gap,-0.5007289578490415,-2.2393279761061673
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,fc6,gap,0.2812324409115977,1.2577097107130508
