subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
18,amygdala,19,63,clip_vitb32,block2,gap,-0.0008694631661554115,0.1126826303746734,-0.00259013678759627
18,amygdala,19,63,clip_vitb32,block5,cls,0.009467735891302894,0.1126826303746734,0.02820445072531789
18,amygdala,19,63,clip_vitb32,block5,gap,0.07522739233387016,0.1126826303746734,0.22410292224393846
18,amygdala,19,63,clip_vitb32,block8,cls,0.06727506889786383,0.1126826303746734,0.2004128957077456
18,amygdala,19,63,clip_vitb32,block8,gap,0.05931274485537744,0.1126826303746734,0.1766930772956567
18,amygdala,19,63,clip_vitb32,block11,cls,0.06973019362488658,0.1126826303746734,0.20772672925599991
18,amygdala,19,63,clip_vitb32,block11,gap,0.04919225191672063,0.1126826303746734,0.14654405880999288
18,amygdala,19,63,clip_vitb32,ln_post,cls,0.08568888050092317,0.1126826303746734,0.25526776787426353
18,amygdala,19,63,clip_vitb32,ln_post,gap,0.055778965796559776,0.1126826303746734,0.16616592503001956
18,amygdala,19,63,clip_vitb32,embed,gap,0.06804857908006638,0.1126826303746734,0.20271718789226925
18,amygdala,19,63,baseline,category,-,0.06552461821466125,0.1126826303746734,0.19519829101151215
18,amygdala,19,63,baseline,lowlevel,-,-0.007078062942837746,0.1126826303746734,-0.021085598478232735
18,hippocampus,8,63,alexnet,conv1,gap,-0.014905190319918113,0.029204840135899413,-0.08721880040012667
18,hippocampus,8,63,alexnet,conv2,gap,-0.012025376500281062,0.029204840135899413,-0.0703673613152596
18,hippocampus,8,63,alexnet,conv3,gap,-0.005110417843123322,0.029204840135899413,-0.029903980040093012
18,hippocampus,8,63,alexnet,conv4,gap,-0.0017209903219130792,0.029204840135899413,-0.010070499480768203
18,hippocampus,8,63,alexnet,conv5,gap,0.010673142433096524,0.029204840135899413,0.06245466575964407
18,hippocampus,8,63,alexnet,fc6,gap,-0.0012128087303851186,0.029204840135899413,-0.007096838101935208
18,hippocampus,8,63,alexnet,fc7,gap,0.0005131496763192883,0.029204840135899413,0.0030027324867145672
18,hippocampus,8,63,alexnet,logits,gap,-0.0035126711421442653,0.029204840135899413,-0.020554649530945997
18,hippocampus,8,63,vgg16,conv1_2,gap,-0.0205458803339285,0.029204840135899413,-0.1202257064436895
18,hippocampus,8,63,vgg16,conv2_2,gap,-0.00705037118617013,0.029204840135899413,-0.041255757493524926
18,hippocampus,8,63,vgg16,conv3_3,gap,-0.0018158511004546232,0.029204840135899413,-0.010625584195007597
18,hippocampus,8,63,vgg16,conv4_3,gap,0.003422847718058779,0.029204840135899413,0.020029041261046963
18,hippocampus,8,63,vgg16,conv5_3,gap,-0.005215865603911496,0.029204840135899413,-0.030521015247522328
18,hippocampus,8,63,vgg16,fc6,gap,-0.005930718878389713,0.029204840135899413,-0.03470403094365704
18,hippocampus,8,63,vgg16,fc7,gap,-0.008740180493420131,0.029204840135899413,-0.0511437990092621
18,hippocampus,8,63,vgg16,logits,gap,-0.0036223830146194184,0.029204840135899413,-0.021196636496664062
18,hippocampus,8,63,resnet18,stem,gap,-0.010570276980972583,0.029204840135899413,-0.06185274111834126
18,hippocampus,8,63,resnet18,layer1,gap,-0.00941096537375063,0.029204840135899413,-0.05506894530617232
18,hippocampus,8,63,resnet18,layer2,gap,-0.012733858576526563,0.029204840135899413,-0.07451309548361494
18,hippocampus,8,63,resnet18,layer3,gap,-0.003637606231635646,0.029204840135899413,-0.021285716253305068
18,hippocampus,8,63,resnet18,layer4,gap,0.0005820762145704352,0.029204840135899413,0.003406061116068929
18,hippocampus,8,63,resnet18,avgpool,gap,0.0005820762145704352,0.029204840135899413,0.003406061116068929
18,hippocampus,8,63,resnet18,logits,gap,-0.004058651417700667,0.029204840135899413,-0.023749492646268366
18,hippocampus,8,63,resnet50,stem,gap,-0.007050454954136782,0.029204840135899413,-0.04125624766784719
18,hippocampus,8,63,resnet50,layer1,gap,-0.01711650999092806,0.029204840135899413,-0.1001584975705114
18,hippocampus,8,63,resnet50,layer2,gap,-0.015704836107715503,0.029204840135899413,-0.09189798562753715
18,hippocampus,8,63,resnet50,layer3,gap,-0.006644028889174646,0.029204840135899413,-0.03887801612054709
18,hippocampus,8,63,resnet50,layer4,gap,-0.0011193977820355963,0.029204840135899413,-0.006550237174042575
18,hippocampus,8,63,resnet50,avgpool,gap,-0.0011193977820355963,0.029204840135899413,-0.006550237174042575
18,hippocampus,8,63,resnet50,logits,gap,-0.004219767825095167,0.029204840135899413,-0.024692276970125528
18,hippocampus,8,63,convnext_tiny,stage1,gap,0.012780891067955748,0.029204840135899413,0.07478830951270392
18,hippocampus,8,63,convnext_tiny,stage2,gap,0.006096015629504542,0.029204840135899413,0.0356712768514807
18,hippocampus,8,63,convnext_tiny,stage3,gap,-5.909346770436878e-05,0.029204840135899413,-0.00034578970506476487
18,hippocampus,8,63,convnext_tiny,stage4,gap,0.001918022245008828,0.029204840135899413,0.011223446045293226
18,hippocampus,8,63,convnext_tiny,avgpool,gap,0.001918022245008828,0.029204840135899413,0.011223446045293226
18,hippocampus,8,63,convnext_tiny,logits,gap,-0.005477740376884197,0.029204840135899413,-0.03205339444319166
18,hippocampus,8,63,vit_b_16,block2,cls,-0.018792389651877604,0.029204840135899413,-0.10996502875231473
18,hippocampus,8,63,vit_b_16,block2,gap,-0.016144274806149973,0.029204840135899413,-0.09446939298995305
18,hippocampus,8,63,vit_b_16,block5,cls,-0.0009160172136212281,0.029204840135899413,-0.005360141051748007
18,hippocampus,8,63,vit_b_16,block5,gap,-0.00882637612018069,0.029204840135899413,-0.051648178960435664
18,hippocampus,8,63,vit_b_16,block8,cls,0.006394959338642367,0.029204840135899413,0.03742056761117821
18,hippocampus,8,63,vit_b_16,block8,gap,0.002786781438059891,0.029204840135899413,0.016307053367853874
18,hippocampus,8,63,vit_b_16,block11,cls,0.01841213302188146,0.029204840135899413,0.10773992954857368
18,hippocampus,8,63,vit_b_16,block11,gap,0.008625970925504838,0.029204840135899413,0.05047549345301051
18,hippocampus,8,63,vit_b_16,ln,cls,0.021068492568634387,0.029204840135899413,0.12328380977596064
18,hippocampus,8,63,vit_b_16,ln,gap,0.012802245455761791,0.029204840135899413,0.07491326625916245
18,hippocampus,8,63,vit_b_16,logits,gap,0.0034348426465141053,0.029204840135899413,0.020099230453422514
18,hippocampus,8,63,dinov2_small,block2,cls,-0.009454639091901631,0.029204840135899413,-0.055324505230224634
18,hippocampus,8,63,dinov2_small,block2,gap,-0.001277917382463942,0.029204840135899413,-0.0074778260939097636
18,hippocampus,8,63,dinov2_small,block5,cls,-0.010581944892173487,0.029204840135899413,-0.06192101674557415
18,hippocampus,8,63,dinov2_small,block5,gap,0.006373256991590238,0.029204840135899413,0.03729357475599644
18,hippocampus,8,63,dinov2_small,block8,cls,-0.006265895454948596,0.029204840135899413,-0.03666534095058941
18,hippocampus,8,63,dinov2_small,block8,gap,0.0024252485595324894,0.029204840135899413,0.014191517551566628
18,hippocampus,8,63,dinov2_small,block11,cls,-0.012630216659788675,0.029204840135899413,-0.07390662730340199
18,hippocampus,8,63,dinov2_small,block11,gap,-0.004074227426730286,0.029204840135899413,-0.02384063679092041
18,hippocampus,8,63,dinov2_small,norm,cls,-0.005729775635620377,0.029204840135899413,-0.0335281970088543
18,hippocampus,8,63,dinov2_small,norm,gap,0.003749844030489788,0.029204840135899413,0.02194248386012505
18,hippocampus,8,63,clip_vitb32,block2,cls,-0.0044417529367180445,0.029204840135899413,-0.025991238924107606
18,hippocampus,8,63,clip_vitb32,block2,gap,-0.004629641264069443,0.029204840135899413,-0.02709068107607238
18,hippocampus,8,63,clip_vitb32,block5,cls,0.013460355598369151,0.029204840135899413,0.07876424541054343
18,hippocampus,8,63,clip_vitb32,block5,gap,-0.00409495516570889,0.029204840135899413,-0.023961926656391293
18,hippocampus,8,63,clip_vitb32,block8,cls,0.012138108852322927,0.029204840135899413,0.07102702283586676
18,hippocampus,8,63,clip_vitb32,block8,gap,-0.011042459288832646,0.029204840135899413,-0.06461575008218415
18,hippocampus,8,63,clip_vitb32,block11,cls,0.0012166185619452644,0.029204840135899413,0.007119131607168645
18,hippocampus,8,63,clip_vitb32,block11,gap,-0.008149038007382254,0.029204840135899413,-0.04768468594923808
18,hippocampus,8,63,clip_vitb32,ln_post,cls,0.002862910410520515,0.029204840135899413,0.016752527562493097
18,hippocampus,8,63,clip_vitb32,ln_post,gap,-0.007050553220405351,0.029204840135899413,-0.04125682268003291
18,hippocampus,8,63,clip_vitb32,embed,gap,0.002111708282205877,0.029204840135899413,0.012356813916215771
18,hippocampus,8,63,baseline,category,-,-0.0015316004723895638,0.029204840135899413,-0.008962271063092268
18,hippocampus,8,63,baseline,lowlevel,-,-0.0007601475805994112,0.029204840135899413,-0.004448058608036847
