region,ref,t,mean,sem,count,p
MFC,alexnet conv4,1.025,0.0028159029882066575,0.006145538224485796,19,0.6522902018535313
MFC,alexnet conv4,1.05,0.010684385431663918,0.005680900323084491,19,0.07628499980696761
MFC,alexnet conv4,1.075,0.013020763751197805,0.005317537583740053,19,0.02481279886467871
MFC,alexnet conv4,1.1,0.00890996271359372,0.00440349670313873,19,0.058141481179046835
MFC,alexnet conv4,1.125,0.009064531683938884,0.003540528902871436,19,0.01967460587882725
MFC,alexnet conv4,1.15,0.00790854663910171,0.005057826587711622,19,0.13531586758967107
MFC,alexnet conv4,1.175,0.0012627815496319974,0.0056194029080904985,19,0.8247298374748264
MFC,alexnet conv4,1.2,0.0029047513100384863,0.005241368612784543,19,0.5862640917708324
MFC,category,-0.2,0.003937822043031907,0.004869582730397638,19,0.42927179955838857
MFC,category,-0.175,-0.0008453060941418259,0.0042018152449510415,19,0.842816487601338
MFC,category,-0.15,-0.0007003731762818652,0.004573020100830313,19,0.879981218684184
MFC,category,-0.125,-0.0013015488143878144,0.003620248602451144,19,0.7233899475885801
MFC,category,-0.1,0.0010855054648629316,0.004495214518992,19,0.8119124311812765
MFC,category,-0.075,0.004246661304725335,0.004639348229859065,19,0.3721045982210859
MFC,category,-0.05,0.00641473649970843,0.004987554160302216,19,0.21468971556259403
MFC,category,-0.025,0.007154856598136113,0.005871372751111737,19,0.2387270216700059
MFC,category,-0.0,0.006640051209090027,0.005989772841494321,19,0.28221085950908903
MFC,category,0.025,0.004032448040773919,0.0059727559927693005,19,0.5081672499227371
MFC,category,0.05,0.0016325650430947419,0.006015958886082629,19,0.7891924290386383
MFC,category,0.075,0.00043669336088007836,0.006979332811257513,19,0.9507988841787631
MFC,category,0.1,-0.004376339484714627,0.00665412493168497,19,0.5190614700712816
MFC,category,0.125,-0.0038688026859478365,0.006161713650840085,19,0.5379691874199247
MFC,category,0.15,-0.001596715920492429,0.005308381039264929,19,0.7670201943705577
MFC,category,0.175,-0.003900919046435468,0.005028944819519803,19,0.4480023950459925
MFC,category,0.2,-0.008832554388809314,0.0030396256933049016,19,0.00942647638126788
MFC,category,0.225,-0.0003586861728149828,0.003579622081908619,19,0.9212913829840027
MFC,category,0.25,0.002912508145782011,0.0036603883599686904,19,0.43658441360157096
MFC,category,0.275,0.00449424659907979,0.004130207095355091,19,0.29088870645485543
MFC,category,0.3,0.009425090624987647,0.004878209944869686,19,0.06924543911926638
MFC,category,0.325,0.007132472705038665,0.00482037227961502,19,0.1562556179218054
MFC,category,0.35,0.006373105490345849,0.006625012777706726,19,0.3488073731425747
MFC,category,0.375,0.0091120458960796,0.0065873505460505325,19,0.1835019778789864
MFC,category,0.4,0.0114369701307302,0.00611449220376491,19,0.07776977765556228
MFC,category,0.425,0.009520755448309572,0.006037624144037636,19,0.13222980968787845
MFC,category,0.45,0.008238820511482496,0.006149449798608418,19,0.19699189135046952
MFC,category,0.475,0.006044404040714969,0.0050232633970799185,19,0.24445491392007587
MFC,category,0.5,0.00842079413086484,0.004736600479252389,19,0.09233300939918158
MFC,category,0.525,0.0054302232274686954,0.004359680694722695,19,0.2288980494618401
MFC,category,0.55,0.0064968892174454024,0.004778585427757887,19,0.19075081160921092
MFC,category,0.575,0.008445969603330961,0.005229737400979528,19,0.1237052294103293
MFC,category,0.6,0.007655534247830264,0.005013805327953639,19,0.14416874159001836
MFC,category,0.625,0.007000833174798927,0.0053668990280992465,19,0.20851483422944672
MFC,category,0.65,0.009590774700771484,0.005924454950446202,19,0.1228686766662654
MFC,category,0.675,0.009792518477542464,0.0065863306162237695,19,0.15437622297266893
MFC,category,0.7,0.01598098254157148,0.007634674846101779,19,0.05076068805691738
MFC,category,0.725,0.01004875301601733,0.007599761304570589,19,0.20264303963180808
MFC,category,0.75,0.010569473723605475,0.008269936196271609,19,0.21746461588300675
MFC,category,0.775,0.015478784054733907,0.008675869487379391,19,0.09127133670338972
MFC,category,0.8,0.013938128655354192,0.007494943045288429,19,0.07935585316083318
MFC,category,0.825,0.015414909450540975,0.008210605085722125,19,0.07676099454987895
MFC,category,0.85,0.010432208124422736,0.007955938552543815,19,0.2062555235937315
MFC,category,0.875,0.008708775699996387,0.00638746912291601,19,0.18956263777176643
