subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
9,3,dACC,MFC,resnet50,layer1,-0.14715492749618006,-0.27153326477194345,0.1338865892703472,0.12437833727576339,0.12195121951219512
9,3,dACC,MFC,resnet50,layer2,-0.06250310004115754,-0.21038675727416906,0.14366123274076834,0.1478836572330115,0.12195121951219512
9,3,dACC,MFC,resnet50,layer3,0.21826890345702346,-0.17631223773124494,0.15594866327429824,0.39458114118826837,0.024390243902439025
9,3,dACC,MFC,resnet50,layer4,-0.0012447763031025252,-0.16419753060807488,0.15456211354924126,0.16295275430497236,0.17073170731707318
9,3,dACC,MFC,clip_vitb32,block2,-0.0013805679313503537,-0.1768011021241303,0.17073031989249168,0.17542053419277995,0.17073170731707318
9,3,dACC,MFC,clip_vitb32,block5,-0.011428752735550489,-0.19562049272740153,0.16376143493272277,0.18419173999185104,0.14634146341463414
9,3,dACC,MFC,clip_vitb32,block8,0.04099524808940189,-0.20407494065782741,0.16138653746580456,0.2450701887472293,0.0975609756097561
9,3,dACC,MFC,clip_vitb32,block11,0.5075064286984401,-0.1936460644612676,0.16502303393134998,0.7011524931597077,0.024390243902439025
9,3,dACC,MFC,baseline,lowlevel,-0.21458693963203385,-0.23388393519263637,0.16097490940762976,0.01929699556060252,0.3902439024390244
9,16,dACC,MFC,alexnet,conv1,-0.123670002519561,-0.17689728177379666,0.2084707353911237,0.05322727925423565,0.2926829268292683
9,16,dACC,MFC,alexnet,conv3,-0.2912319257793601,-0.17297888221646188,0.2250405324534316,-0.1182530435628982,0.6829268292682927
9,16,dACC,MFC,alexnet,conv5,-0.20744001876667856,-0.1767685934926918,0.1556385784809683,-0.030671425273986752,0.5121951219512195
9,16,dACC,MFC,resnet50,layer1,-0.1660788523549326,-0.16542972866498423,0.21416574750868136,-0.0006491236899483777,0.4146341463414634
9,16,dACC,MFC,resnet50,layer2,-0.2351597755548709,-0.16728467450101056,0.21188029199617625,-0.06787510105386033,0.6585365853658537
9,16,dACC,MFC,resnet50,layer3,-0.1532221063885708,-0.15514596265831798,0.17484092030042153,0.0019238562697471706,0.4878048780487805
9,16,dACC,MFC,resnet50,layer4,-0.34507661717797533,-0.12315414162557188,0.20238438482862642,-0.22192247555240346,0.926829268292683
9,16,dACC,MFC,clip_vitb32,block2,-0.46561633300895855,-0.20066797606467723,0.19057682302127818,-0.2649483569442813,0.926829268292683
9,16,dACC,MFC,clip_vitb32,block5,-0.145912223920782,-0.09871669698835601,0.20256528758608291,-0.047195526932426,0.6097560975609756
9,16,dACC,MFC,clip_vitb32,block8,-0.18255295875545466,-0.22712991052574888,0.18062222489050772,0.04457695177029422,0.36585365853658536
9,16,dACC,MFC,clip_vitb32,block11,0.03528618155641208,-0.18543236074167765,0.17143112233589095,0.22071854229808974,0.17073170731707318
9,16,dACC,MFC,baseline,lowlevel,-0.220352529765062,-0.2147547947879808,0.2053295019907506,-0.005597734977081215,0.4146341463414634
9,51,preSMA,MFC,alexnet,conv1,-0.41866720061978585,-0.21404159543632773,0.16369672936108215,-0.20462560518345813,0.9512195121951219
9,51,preSMA,MFC,alexnet,conv3,-0.48018795633190026,-0.24926889044402847,0.13411935378419887,-0.23091906588787178,1.0
9,51,preSMA,MFC,alexnet,conv5,-0.47318374105413397,-0.17244443077285468,0.18265298076922212,-0.3007393102812793,0.9512195121951219
9,51,preSMA,MFC,resnet50,layer1,-0.23587176437329344,-0.17417051976677206,0.1892706951063242,-0.06170124460652138,0.5853658536585366
9,51,preSMA,MFC,resnet50,layer2,-0.39366547033252197,-0.2135547283084381,0.15890320331783098,-0.18011074202408386,0.926829268292683
9,51,preSMA,MFC,resnet50,layer3,-0.4883040882502491,-0.19159940156916486,0.16511654178211654,-0.2967046866810843,0.975609756097561
9,51,preSMA,MFC,resnet50,layer4,-0.3400661343362156,-0.11939397180106645,0.1628674871538079,-0.22067216253514912,0.9024390243902439
9,51,preSMA,MFC,clip_vitb32,block2,-0.45693959249769334,-0.15643929634726256,0.2232981015744849,-0.3005002961504308,0.9024390243902439
9,51,preSMA,MFC,clip_vitb32,block5,-0.3142273465255485,-0.21462073961701994,0.17424694540807295,-0.09960660690852857,0.7073170731707317
9,51,preSMA,MFC,clip_vitb32,block8,-0.37733083785702304,-0.20144243763001715,0.17342803884927588,-0.1758884002270059,0.8292682926829268
9,51,preSMA,MFC,clip_vitb32,block11,-0.5229548471411014,-0.19798952551346494,0.16774691643880496,-0.32496532162763647,0.975609756097561
9,51,preSMA,MFC,baseline,lowlevel,-0.4574474187870813,-0.2153224585331915,0.1858418616696957,-0.24212496025388977,0.926829268292683
10,64,amygdala,MTL,alexnet,conv1,-0.31622212024315055,-0.17921224897595237,0.16226753489877915,-0.13700987126719819,0.7804878048780488
10,64,amygdala,MTL,alexnet,conv3,-0.2251411672406165,-0.15353594788341937,0.21689857811107885,-0.07160521935719713,0.6097560975609756
10,64,amygdala,MTL,alexnet,conv5,-0.3437750281573114,-0.22723396918069297,0.14216990743903873,-0.11654105897661846,0.8048780487804879
10,64,amygdala,MTL,resnet50,layer1,-0.36732982666162667,-0.20099870099332717,0.1571289834102106,-0.1663311256682995,0.8048780487804879
