region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MTL,resnet18,layer3,gap,18.0,0.04870930511299497,0.020337647231131618,2.3256901535114145,0.03266503203917884,0.19166664728676755,0.8333333333333334
MTL,resnet18,layer4,gap,18.0,0.05369228133406606,0.02065756261456328,2.533575716409793,0.02142111108944872,0.2112742016049174,0.7222222222222222
MTL,resnet18,logits,gap,18.0,0.054512592048484,0.018763468964040412,2.8458327467915385,0.01117212986776235,0.2145020490152052,0.7777777777777778
MTL,resnet18,stem,gap,18.0,0.010750117367247309,0.006624913583964306,1.6176230677018877,0.12414686258233118,0.04230072568146425,0.6111111111111112
MTL,resnet50,avgpool,gap,18.0,0.05834475417179097,0.020509011386648856,2.757270324062045,0.013461213304325453,0.2295812554282245,0.7777777777777778
MTL,resnet50,layer1,gap,18.0,0.020995597146035116,0.009471837961886468,2.2023059460028724,0.04173487005934329,0.08261574874511168,0.6666666666666666
MTL,resnet50,layer2,gap,18.0,0.028216731029929977,0.01306617839369136,2.1350506139335765,0.04760763470742338,0.11103024814977998,0.7777777777777778
MTL,resnet50,layer3,gap,18.0,0.04203349939933851,0.017271303266148858,2.382621855690327,0.029131621009837357,0.16539796420647826,0.8333333333333334
MTL,resnet50,layer4,gap,18.0,0.05834475417179097,0.020509011386648856,2.757270324062045,0.013461213304325453,0.2295812554282245,0.7777777777777778
MTL,resnet50,logits,gap,18.0,0.04785103172495395,0.01685529331891612,2.789573651884978,0.012578274030534544,0.18828942023826692,0.8888888888888888
MTL,resnet50,stem,gap,18.0,0.008859713255691988,0.00526775129638034,1.6804905078790129,0.11114226524458828,0.034862158918123894,0.6666666666666666
MTL,vgg16,conv1_2,gap,18.0,0.013436226938678195,0.009215355810883081,1.4474394289535724,0.16596390421653018,0.0528703204356235,0.7222222222222222
MTL,vgg16,conv2_2,gap,18.0,0.03251402481005683,0.014609908600387602,2.1965861485697027,0.04220708762497991,0.12793970496367849,0.6666666666666666
MTL,vgg16,conv3_3,gap,18.0,0.042430904787856646,0.01766812346167257,2.351632657161474,0.031007985858290343,0.16696171795443812,0.7777777777777778
MTL,vgg16,conv4_3,gap,18.0,0.050215357410444944,0.01989489730039412,2.4544694081953544,0.02518299932514646,0.1975928249199968,0.8888888888888888
MTL,vgg16,conv5_3,gap,18.0,0.04776331205325378,0.0177218211586779,2.6418307268269703,0.01712886597025095,0.1879442513770634,0.7777777777777778
MTL,vgg16,fc6,gap,18.0,0.04534159152536397,0.017138908854469198,2.598632437487647,0.01873296622348725,0.17841500325559206,0.7777777777777778
MTL,vgg16,fc7,gap,18.0,0.04959044084601514,0.018993707696672506,2.55094815418693,0.020669472309278014,0.19513383556549108,0.8333333333333334
MTL,vgg16,logits,gap,18.0,0.05369113894839898,0.017024516089596157,3.0947960925215523,0.006577467403265983,0.21126970642211382,0.8333333333333334
MTL,vit_b_16,block11,cls,18.0,0.03301222864908584,0.011334983224106882,2.890421568731741,0.010166806479792071,0.1299000913676843,0.7222222222222222
MTL,vit_b_16,block11,gap,18.0,0.053929942522231294,0.018971730155535754,2.75554955258615,0.013509882595511684,0.21220937657857283,0.8888888888888888
MTL,vit_b_16,block2,cls,18.0,0.024767880201005586,0.012330501436423882,1.9870704317998422,0.0632733054573215,0.09745933651721445,0.7777777777777778
MTL,vit_b_16,block2,gap,18.0,0.028628482876755207,0.013729544279621034,2.0604222662236373,0.05500283543042524,0.1126504538951104,0.7222222222222222
MTL,vit_b_16,block5,cls,18.0,0.025607510053405686,0.012766943088251501,1.9842908649592403,0.06360768389436894,0.10076320296322698,0.7222222222222222
MTL,vit_b_16,block5,gap,18.0,0.031654806213803864,0.014057517758131357,2.2200608185929873,0.04029991401939432,0.1245587586075722,0.7777777777777778
MTL,vit_b_16,block8,cls,18.0,0.038046865937242796,0.015784223781420477,2.370038654965876,0.029880326177260032,0.1497109272457052,0.7777777777777778
MTL,vit_b_16,block8,gap,18.0,0.04418653895991026,0.015649235454039217,2.7671514218042073,0.013184990289337567,0.1738699773689175,0.8333333333333334
MTL,vit_b_16,ln,cls,18.0,0.04485779179340502,0.01502654381745705,2.942596362871286,0.0091015107225277,0.1765112956915507,0.8333333333333334
MTL,vit_b_16,ln,gap,18.0,0.05795032754863284,0.020937047535033112,2.666006353644157,0.016289271563627,0.22802922284870017,0.9444444444444444
MTL,vit_b_16,logits,gap,18.0,0.04463501015781161,0.01561719884927862,2.816574010304044,0.011883338937061214,0.17563467039229425,0.7222222222222222
MTL_concept,alexnet,conv1,gap,14.0,0.030893584564687274,0.012374211716233326,2.4824334370633907,0.02748377603024589,0.09107262692636335,0.7142857142857143
MTL_concept,alexnet,conv2,gap,14.0,0.051077848114533565,0.02221863330480404,2.240352282160838,0.04316922149757541,0.1505747510715727,0.7857142857142857
MTL_concept,alexnet,conv3,gap,14.0,0.05889130011441547,0.023442218571695827,2.44989840153611,0.029218560930065748,0.1736083876346044,0.8571428571428571
MTL_concept,alexnet,conv4,gap,14.0,0.06891651337010674,0.026554897379098646,2.5186886516482043,0.02566748776841328,0.2031621775090377,0.7857142857142857
MTL_concept,alexnet,conv5,gap,14.0,0.06441398456684072,0.02323373654572896,2.706827972994905,0.017958593099883565,0.1898889645846377,0.8571428571428571
MTL_concept,alexnet,fc6,gap,14.0,0.061956905599113654,0.022388446476087072,2.70981437225339,0.017856584093480867,0.18264562784306052,0.7857142857142857
MTL_concept,alexnet,fc7,gap,14.0,0.06388559275383812,0.02316111212819896,2.6986407505541,0.018241180948208972,0.18833129391823222,0.7857142857142857
MTL_concept,alexnet,logits,gap,14.0,0.0666787287262789,0.02238110342399161,2.918598875631511,0.011972675727555384,0.19656530864838012,0.7142857142857143
MTL_concept,baseline,category,-,14.0,0.0744801939315876,0.024888504882701758,2.9364340010906016,0.011569499073916446,0.21956360878523817,0.7857142857142857
MTL_concept,baseline,lowlevel,-,14.0,0.011133988192766326,0.008846563156475595,1.2562871188992804,0.23111926692093204,0.03282239879801422,0.6428571428571429
MTL_concept,clip_vitb32,block11,cls,14.0,0.08146179340142393,0.028584249751413666,2.7626169572074075,0.016143841988315224,0.2401449887974652,0.7142857142857143
MTL_concept,clip_vitb32,block11,gap,14.0,0.03921154015600319,0.013768871126068798,2.825298770665541,0.01431897472089717,0.11559351296248466,0.7857142857142857
