subject,unit,area,region,n_match,n_lure,probe_pref_match_hz,probe_pref_lure_hz,probe_nonpref_hz,baseline_hz,p_match_vs_lure,rho_sim_nonpref_probe
7,7,amygdala,MTL,15,10,0.75,1.375,0.4166666666666667,0.5048543689320388,0.24984624605973682,-0.7999999999999999
7,8,amygdala,MTL,15,10,15.916666666666666,16.375,1.3621794871794872,2.9514563106796117,0.6955102048211701,-0.39999999999999997
7,9,amygdala,MTL,7,13,0.35714285714285715,0.38461538461538464,0.10542168674698796,0.038834951456310676,0.6088882529002849,-0.21081851067789195
7,13,amygdala,MTL,10,13,0.375,0.28846153846153844,0.359375,0.36893203883495146,1.0,-0.7999999999999999
7,15,amygdala,MTL,9,7,7.638888888888889,8.214285714285714,5.632183908045977,6.718446601941747,0.789010351692664,-0.39999999999999997
8,9,dACC,MFC,9,6,12.083333333333334,9.166666666666666,12.87037037037037,9.083333333333334,0.3436151320544525,0.0
8,37,hippocampus,MTL,11,5,1.25,3.5,1.140625,2.2708333333333335,0.024525876316171633,-0.39999999999999997
8,39,hippocampus,MTL,15,11,1.5,3.977272727272727,0.5535714285714286,0.3333333333333333,0.02514642829640633,0.7999999999999999
8,43,hippocampus,MTL,9,6,0.9722222222222222,0.20833333333333334,0.5864197530864198,0.75,0.13857318362390164,0.39999999999999997
8,49,hippocampus,MTL,11,5,0.5681818181818182,1.0,0.421875,0.7083333333333334,0.2929464378418125,-0.19999999999999998
8,52,hippocampus,MTL,7,13,5.714285714285714,7.019230769230769,4.983552631578948,6.479166666666667,0.3588685764390631,-0.19999999999999998
8,53,hippocampus,MTL,11,5,1.3636363636363635,2.5,0.875,1.7083333333333333,0.11378431922189745,0.0
8,57,hippocampus,MTL,8,11,2.65625,2.727272727272727,2.4512987012987013,2.9375,0.931887401005316,0.7999999999999999
9,0,amygdala,MTL,8,11,2.8125,2.272727272727273,0.43333333333333335,0.2553191489361702,0.5797572850725604,0.7999999999999999
9,1,amygdala,MTL,8,11,0.0,0.3409090909090909,0.25,0.0425531914893617,0.13324702034013244,-0.7999999999999999
9,2,amygdala,MTL,10,9,2.75,2.7777777777777777,0.9333333333333333,0.8936170212765957,0.9005506662831686,0.6000000000000001
9,3,amygdala,MTL,11,10,2.727272727272727,2.5,2.6883561643835616,2.148936170212766,0.5660532579804736,0.0
9,6,amygdala,MTL,8,11,8.90625,7.5,0.7,0.2127659574468085,0.8679666001949322,0.6000000000000001
9,9,amygdala,MTL,8,11,5.9375,8.977272727272727,5.566666666666666,7.468085106382978,0.42808571705718224,-0.39999999999999997
9,11,amygdala,MTL,8,11,2.1875,1.7045454545454546,0.2,0.10638297872340426,0.5788697602543699,0.0
9,12,amygdala,MTL,11,10,0.9090909090909091,0.625,0.7191780821917808,1.127659574468085,0.33049183615926225,-0.9486832980505139
9,16,amygdala,MTL,8,11,0.9375,0.5681818181818182,1.0333333333333334,1.0638297872340425,0.37731496631444317,-0.7999999999999999
9,23,amygdala,MTL,9,8,0.5555555555555556,0.46875,0.6331168831168831,0.8297872340425532,0.8216879723715934,0.39999999999999997
9,24,amygdala,MTL,11,10,0.11363636363636363,0.375,0.4280821917808219,0.5319148936170213,0.25529050519961505,0.7999999999999999
9,26,amygdala,MTL,11,10,11.704545454545455,10.875,0.5308219178082192,0.5319148936170213,0.42944486453920305,0.7999999999999999
10,15,preSMA,MFC,13,13,1.5384615384615385,1.6346153846153846,1.6888297872340425,2.3,0.7458931283265016,0.0
10,17,preSMA,MFC,13,11,11.538461538461538,12.613636363636363,14.674479166666666,9.883333333333333,0.4841374975816969,0.39999999999999997
10,26,preSMA,MFC,11,12,0.0,0.20833333333333334,0.20618556701030927,0.13333333333333333,0.384088249473852,-0.7999999999999999
11,34,hippocampus,MTL,12,14,1.25,1.5178571428571428,0.4166666666666667,0.22950819672131148,0.7011781132395509,-0.39999999999999997
11,35,hippocampus,MTL,10,12,0.25,0.3125,0.1625,0.11475409836065574,1.0,-0.10540925533894598
11,36,hippocampus,MTL,13,14,4.423076923076923,4.642857142857143,0.32894736842105265,0.26229508196721313,0.7285788527620387,0.6000000000000001
11,39,hippocampus,MTL,12,14,2.1875,2.5,1.8229166666666667,0.9180327868852459,0.8120031677134815,0.6000000000000001
11,40,hippocampus,MTL,12,14,1.6666666666666667,3.125,1.3151041666666667,0.4262295081967213,0.18327156831626057,0.6000000000000001
11,43,hippocampus,MTL,13,14,4.134615384615385,4.642857142857143,2.8289473684210527,2.19672131147541,0.4619945588348813,0.7999999999999999
11,44,hippocampus,MTL,13,14,3.4615384615384617,3.482142857142857,1.236842105263158,0.9672131147540983,0.8217031120760128,0.7999999999999999
11,45,hippocampus,MTL,12,12,0.8333333333333334,1.4583333333333333,0.7908163265306123,0.7868852459016393,0.5556183725970723,-0.7999999999999999
11,54,preSMA,MFC,13,14,4.423076923076923,2.9464285714285716,3.9210526315789473,2.0163934426229506,0.11850548204101947,-0.7999999999999999
11,55,preSMA,MFC,12,12,0.3125,1.3541666666666667,1.594387755102041,0.3442622950819672,0.40768485238187213,0.39999999999999997
11,61,preSMA,MFC,13,14,2.1153846153846154,1.7857142857142858,2.0526315789473686,1.2459016393442623,0.6505498540016295,0.632455532033676
11,63,preSMA,MFC,12,12,7.5,9.375,7.308673469387755,8.836065573770492,0.36279355204499864,-0.7999999999999999
11,64,preSMA,MFC,13,14,0.7692307692307693,1.1607142857142858,1.894736842105263,0.7868852459016393,0.4741975396021856,1.0
11,73,preSMA,MFC,12,12,1.5625,0.8333333333333334,0.5739795918367347,0.8032786885245902,0.3498888590529796,0.6000000000000001
12,1,dACC,MFC,15,13,3.1666666666666665,3.75,3.9473684210526314,3.707317073170732,0.6389221214868797,0.0
12,12,amygdala,MTL,12,12,5.9375,6.5625,1.1111111111111112,1.1869918699186992,0.7470830329707905,-0.19999999999999998
12,13,amygdala,MTL,12,14,2.8125,3.2142857142857144,0.8891752577319587,0.7967479674796748,0.46400205010883544,0.39999999999999997
12,14,amygdala,MTL,12,10,0.4166666666666667,1.25,1.2871287128712872,1.2195121951219512,0.24539610164867864,-0.7999999999999999
12,21,preSMA,MFC,11,12,1.8181818181818181,0.9375,1.525,1.8211382113821137,0.5763078730648976,-1.0
13,2,dACC,MFC,13,11,0.5769230769230769,0.6818181818181818,0.9583333333333334,0.7894736842105263,0.8069621020265406,-0.39999999999999997
