subject,region,scope,model,layer,n_images,rho
3,MFC,within face_person,alexnet,conv1,37,-0.027045428718276508
3,MFC,within animal,alexnet,conv1,9,0.0676962676962677
3,MFC,all,alexnet,conv4,63,-0.015601540539301266
3,MFC,between-category pairs,alexnet,conv4,63,-0.03687391961868559
3,MFC,within-category pairs (all cats),alexnet,conv4,63,-0.0032949729497262275
3,MFC,within face_person,alexnet,conv4,37,0.00369372314452406
3,MFC,within animal,alexnet,conv4,9,0.04066924066924067
3,MFC,all,resnet50,layer2,63,-0.023750897509325762
3,MFC,between-category pairs,resnet50,layer2,63,-0.04353187258884086
3,MFC,within-category pairs (all cats),resnet50,layer2,63,-0.00816531356724433
3,MFC,within face_person,resnet50,layer2,37,-0.003755224602695605
3,MFC,within animal,resnet50,layer2,9,0.16936936936936942
3,MFC,all,resnet50,avgpool,63,3.5776976371788735e-05
3,MFC,between-category pairs,resnet50,avgpool,63,-0.015287709020591766
3,MFC,within-category pairs (all cats),resnet50,avgpool,63,0.006452900550747727
3,MFC,within face_person,resnet50,avgpool,37,0.012663268040842413
3,MFC,within animal,resnet50,avgpool,9,0.0761904761904762
3,MFC,all,vit_b_16,ln,63,0.008091088294607146
3,MFC,between-category pairs,vit_b_16,ln,63,0.0008008504501523564
3,MFC,within-category pairs (all cats),vit_b_16,ln,63,0.004294370924416973
3,MFC,within face_person,vit_b_16,ln,37,0.010530215485632514
3,MFC,within animal,vit_b_16,ln,9,0.009266409266409266
3,MFC,all,dinov2_small,norm,63,-0.004847231779288059
3,MFC,between-category pairs,dinov2_small,norm,63,-0.018502680872906574
3,MFC,within-category pairs (all cats),dinov2_small,norm,63,0.007272328428916635
3,MFC,within face_person,dinov2_small,norm,37,0.010786864239085498
3,MFC,within animal,dinov2_small,norm,9,0.11557271557271558
3,MFC,all,clip_vitb32,ln_post,63,0.018261906450151476
3,MFC,between-category pairs,clip_vitb32,ln_post,63,-0.0015644168049187468
3,MFC,within-category pairs (all cats),clip_vitb32,ln_post,63,0.04728891640838533
3,MFC,within face_person,clip_vitb32,ln_post,37,0.05096709925874292
3,MFC,within animal,clip_vitb32,ln_post,9,0.10785070785070787
4,MTL,all,alexnet,conv1,63,0.012747578802910395
4,MTL,between-category pairs,alexnet,conv1,63,-0.019615682655942476
4,MTL,within-category pairs (all cats),alexnet,conv1,63,-0.02434494876697149
4,MTL,within face_person,alexnet,conv1,28,0.07497143017113903
4,MTL,within animal,alexnet,conv1,19,-0.005210358317133464
4,MTL,within landmark_place,alexnet,conv1,12,0.0627700657551404
4,MTL,all,alexnet,conv4,63,0.053214403053875925
4,MTL,between-category pairs,alexnet,conv4,63,0.018509231663815844
4,MTL,within-category pairs (all cats),alexnet,conv4,63,-0.0997093476159179
4,MTL,within face_person,alexnet,conv4,28,-0.008770523646331125
4,MTL,within animal,alexnet,conv4,19,0.011409508723930211
4,MTL,within landmark_place,alexnet,conv4,12,0.0108756914727064
4,MTL,all,resnet50,layer2,63,0.016700331401540924
4,MTL,between-category pairs,resnet50,layer2,63,0.008205417132176828
4,MTL,within-category pairs (all cats),resnet50,layer2,63,-0.07819132087424771
4,MTL,within face_person,resnet50,layer2,28,0.06044872544736069
4,MTL,within animal,resnet50,layer2,19,-0.05209158326733387
4,MTL,within landmark_place,resnet50,layer2,12,-0.1360818286191421
4,MTL,all,resnet50,avgpool,63,0.07035785411161662
4,MTL,between-category pairs,resnet50,avgpool,63,0.035540233760735375
4,MTL,within-category pairs (all cats),resnet50,avgpool,63,-0.10552280800950063
4,MTL,within face_person,resnet50,avgpool,28,0.0090920210108637
4,MTL,within animal,resnet50,avgpool,19,-0.020342237262101905
4,MTL,within landmark_place,resnet50,avgpool,12,-0.13637407368750654
4,MTL,all,vit_b_16,ln,63,0.0840481608330526
4,MTL,between-category pairs,vit_b_16,ln,63,0.022141481512283817
4,MTL,within-category pairs (all cats),vit_b_16,ln,63,-0.010134193287446644
4,MTL,within face_person,vit_b_16,ln,28,-0.015874571147066825
4,MTL,within animal,vit_b_16,ln,19,-0.030851753185974513
4,MTL,within landmark_place,vit_b_16,ln,12,0.07041018682809728
4,MTL,all,dinov2_small,norm,63,0.039243354435901746
4,MTL,between-category pairs,dinov2_small,norm,63,-0.041471507629513904
4,MTL,within-category pairs (all cats),dinov2_small,norm,63,-0.09344004688407645
4,MTL,within face_person,dinov2_small,norm,28,0.05776276716136601
4,MTL,within animal,dinov2_small,norm,19,-0.10627114983080135
4,MTL,within landmark_place,dinov2_small,norm,12,-0.04782381797307171
4,MTL,all,clip_vitb32,ln_post,63,0.08800310911896281
