subject,unit,area,region,t,mean_rate,r_clip ln_post,r_resnet50 avgpool,r_alexnet conv1,r_category one-hot,base_clip ln_post,base_resnet50 avgpool,base_alexnet conv1,base_category one-hot,rdeb_clip ln_post,rdeb_resnet50 avgpool,rdeb_alexnet conv1,rdeb_category one-hot
11,53,preSMA,MFC,-0.25,2.5132275132275135,-0.33553085760291296,0.028824227474569086,-0.21506672245936326,-0.21096264542287405,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.00034960829700858564,0.17568760672856631,-0.10067281548729137,-0.021417675687293913
11,53,preSMA,MFC,-0.2,2.83068783068783,-0.14425122010600672,-0.1467016637446974,-0.11789119923876706,0.039893693411386794,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.19162924579391483,0.00016171550929983125,-0.003497292266695179,0.22943866314696693
11,53,preSMA,MFC,-0.15,2.724867724867724,-0.41047182759713197,-0.33788198735076425,0.1583548606997247,-0.44796122459163273,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,-0.07459136169721042,-0.19101860809676702,0.27274876767179657,-0.2584162548560526
11,53,preSMA,MFC,-0.1,2.6719576719576716,-0.30836129542065827,-0.09942754310077292,0.10459144226123886,-0.18571752893280846,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.027519170479263277,0.0474358361532243,0.21898534923331076,0.00382744080277167
11,53,preSMA,MFC,-0.05,2.5661375661375656,-0.19085908549068445,0.09372565028939325,0.05713395371096648,-0.33341406792029893,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.1450213804092371,0.24058902954339048,0.17152786068303838,-0.1438690981847188
11,53,preSMA,MFC,-0.0,2.8042328042328037,-0.25999491856198054,0.05317355262453722,-0.1531840623882807,-0.18919792642798594,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.075885547337941,0.20003693187853444,-0.03879015541620881,0.00034704330759419144
11,53,preSMA,MFC,0.05,2.9894179894179893,-0.37231209290184625,-0.10856274366725233,-0.2282137224389883,-0.08044114482480881,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,-0.036431627001924705,0.0383006355867449,-0.11381981546691641,0.10910382491077132
11,53,preSMA,MFC,0.1,2.804232804232804,-0.41159844409651875,-0.3842879944805649,-0.31212035438739333,-0.2888266560837116,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,-0.0757179781965972,-0.23742461522656766,-0.19772644741532144,-0.09928168634813148
11,53,preSMA,MFC,0.15,2.5925925925925926,-0.1990081520172316,-0.046664119911153726,-0.20033665057389516,-0.20596792605720673,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.13687231388268994,0.1001992593428435,-0.08594274360182327,-0.016422956321626603
11,53,preSMA,MFC,0.2,2.5132275132275126,0.02742250291684868,0.038945038215624894,-0.20696946201493877,-0.16790428402784452,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,0.3633029688167702,0.18580841746962212,-0.09257555504286688,0.021640685707735613
