subject,unit,area,t,pref_minus_nonpref,rho_alexnet conv1,rho_resnet50 avgpool,rho_clip ln_post
2,0,amygdala,0.45,-0.4838709677419355,0.13910605855790237,-0.03645366729751613,-0.08643104174240679
2,0,amygdala,0.475,1.1827956989247312,0.20928729395329573,-0.023522612665039352,-0.07532921276417437
2,0,amygdala,0.5,6.182795698924732,0.28393271735797904,-0.03520794974199225,-0.14734636763124823
2,0,amygdala,0.525,7.795698924731183,0.07403249948871489,-0.11422551693501345,-0.13231928080259114
2,0,amygdala,0.55,7.903225806451614,0.003670631659458873,-0.18650964262118389,-0.13352788376295674
2,0,amygdala,0.575,6.129032258064516,-0.062069964103361686,-0.09040338720786861,-0.011794611013271488
2,0,amygdala,0.6,2.8763440860215055,-0.2293477435352754,-0.06272226847173068,0.0636904181504564
2,0,amygdala,0.625,4.596774193548387,-0.15388908627269818,0.08448366873168808,0.06561691221671917
2,0,amygdala,0.65,6.182795698924731,-0.16634994175225276,0.08410828738100701,-0.03542942653821358
2,0,amygdala,0.675,7.876344086021506,-0.17234244164914325,0.04823649210714418,-0.08445714590762717
2,0,amygdala,0.7,6.155913978494624,-0.12367231445599229,0.05186146818115416,-0.0385849323267787
2,0,amygdala,0.725,2.7688172043010755,0.04738073830818318,0.1728935019045124,0.07334775853697159
2,0,amygdala,0.75,0.913978494623656,-0.11117546292889108,0.32004141286437643,0.24780910910122145
2,0,amygdala,0.775,-0.8602150537634408,-0.09606795359144531,0.23922332766390247,0.22762425663284275
2,0,amygdala,0.8,2.4731182795698925,-0.11202445805806907,0.2780913191041516,0.18732895281710396
2,0,amygdala,0.825,4.139784946236559,-0.19057131198604113,0.27004970109940046,0.09932512149264469
2,0,amygdala,0.85,5.967741935483871,-0.09458410339668456,0.10762256624809668,0.03895753791438877
2,0,amygdala,0.875,5.940860215053764,-0.18325754393381097,0.06138584621525454,-0.05344106530974132
2,0,amygdala,0.9,2.634408602150538,-0.08087978453787485,0.044401541338695026,-0.15352555336213583
2,0,amygdala,0.925,1.0483870967741935,-0.14212943540990533,0.08413816198046833,-0.06452029624783351
2,0,amygdala,0.95,-0.6451612903225806,-0.17413112941341183,0.023312720589995964,-0.09264298873312608
2,0,amygdala,0.975,-0.456989247311828,-0.16640349998458673,0.020676181599040645,0.044831528370996784
2,0,amygdala,1.0,-0.5376344086021506,-0.20842259239917488,-0.0586487038190162,0.18702632260200933
2,0,amygdala,1.025,-0.6989247311827957,-0.05223413308061319,-0.1937814455456235,0.0031148794956328972
2,0,amygdala,1.05,-0.6182795698924731,0.04071018704273797,-0.10589801819345132,0.027408519915640833
2,0,amygdala,1.075,-0.6989247311827956,0.13967848893964263,-0.15373317456400912,-0.02859179752874563
2,0,amygdala,1.1,-0.5645161290322581,0.20640374444105122,-0.10617519249220575,-0.034746358988820183
2,0,amygdala,1.125,-0.43010752688172044,0.07757340796168267,-0.1210615306068684,-0.0821279072927663
2,0,amygdala,1.15,-0.456989247311828,0.035934493008085766,-0.08615939093605375,-0.038891128508751045
3,39,hippocampus,-0.15,0.43010752688172094,0.06326961448058235,0.12336262176110228,0.024625269038500517
3,39,hippocampus,-0.125,0.5107526881720434,0.057910517917084355,0.07209106881606944,-0.07079712655526821
3,39,hippocampus,-0.1,0.8333333333333339,-0.027517890269981703,-0.109573143620318,-0.0981882395429376
3,39,hippocampus,-0.075,0.967741935483871,0.09195028694768448,-0.13303950139580475,-0.09737617039403883
