subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
5,MFC,22,63,fine-only,raw,resnet50_avgpool,0.001966858567273124,-0.002645532537063395,0.003481087204552363,-0.003904901033741466,0.4388742585841232
5,MFC,22,63,fine-only,centred,clip_embed,0.000424345020552401,0.007405387883445613,-0.0036493855157444894,0.008244816403899766,0.4875522539317487
5,MFC,22,63,fine-only,centred,clip_ln_post,0.000424345020552401,0.01661488485371291,-0.010073646347405235,0.019424848394197114,0.5369534444139226
5,MFC,22,63,fine-only,centred,resnet50_avgpool,0.000424345020552401,-0.002645532537063395,0.002147742243264929,-0.00338105608145196,0.5286944710361762
6,MFC,28,54,identity+fine,raw,clip_embed,-0.012012774880537236,-0.004150905721475976,-0.011558080965374433,-0.0025516918770835876,0.13508837375457197
6,MFC,28,54,identity+fine,raw,clip_ln_post,-0.012012774880537236,0.013759519119485388,-0.011773384205809354,0.013551030887064575,-0.017611888496101426
6,MFC,28,54,identity+fine,raw,resnet50_avgpool,-0.012012774880537236,0.021014062592011364,-0.013840258356550346,0.022109336719112197,0.0844661942746876
6,MFC,28,54,identity+fine,centred,clip_embed,-0.008762887392008678,-0.004150905721475976,-0.007821253645307072,-0.0012700005136766974,0.3372584450589771
6,MFC,28,54,identity+fine,centred,clip_ln_post,-0.008762887392008678,0.013759519119485388,-0.012977702496646053,0.016761462354932765,0.2709522609718101
6,MFC,28,54,identity+fine,centred,resnet50_avgpool,-0.008762887392008678,0.021014062592011364,-0.015502075152991159,0.024597912632542004,0.2890528944210719
6,MFC,28,54,fine-only,raw,clip_embed,-0.012012774880537236,-0.004150905721475976,-0.011558080965374433,-0.0025516918770835876,0.13508837375457197
6,MFC,28,54,fine-only,raw,clip_ln_post,-0.012012774880537236,0.013759519119485388,-0.011773384205809354,0.013551030887064575,-0.017611888496101426
6,MFC,28,54,fine-only,raw,resnet50_avgpool,-0.012012774880537236,0.021014062592011364,-0.013840258356550346,0.022109336719112197,0.0844661942746876
6,MFC,28,54,fine-only,centred,clip_embed,-0.00887285763595039,-0.004150905721475976,-0.007881887196922632,-0.0007909110650835264,0.3855781974176213
6,MFC,28,54,fine-only,centred,clip_ln_post,-0.00887285763595039,0.013759519119485388,-0.01501262115411287,0.018329193579216804,0.3690877433280152
6,MFC,28,54,fine-only,centred,resnet50_avgpool,-0.00887285763595039,0.021014062592011364,-0.016708040560451075,0.02533671463689895,0.32855028016369875
7,MTL,21,54,identity+fine,raw,clip_embed,0.04810805261975289,0.0638327801287641,0.039931707915605526,0.05793142864677586,0.13508837375457197
7,MTL,21,54,identity+fine,raw,clip_ln_post,0.04810805261975289,0.06432396059253864,0.0493507595431453,0.06525690249703382,-0.017611888496101426
7,MTL,21,54,identity+fine,raw,resnet50_avgpool,0.04810805261975289,0.05616111164756679,0.04358865734095853,0.05234506249770101,0.0844661942746876
7,MTL,21,54,identity+fine,centred,clip_embed,0.08622164123579072,0.0638327801287641,0.06886006890961872,0.037054666202004,0.3372584450589771
7,MTL,21,54,identity+fine,centred,clip_ln_post,0.08622164123579072,0.06432396059253864,0.0716145816259043,0.04271289592409378,0.2709522609718101
7,MTL,21,54,identity+fine,centred,resnet50_avgpool,0.08622164123579072,0.05616111164756679,0.07322446839829393,0.032753404722883246,0.2890528944210719
7,MTL,21,54,fine-only,raw,clip_embed,0.04810805261975289,0.0638327801287641,0.039931707915605526,0.05793142864677586,0.13508837375457197
7,MTL,21,54,fine-only,raw,clip_ln_post,0.04810805261975289,0.06432396059253864,0.0493507595431453,0.06525690249703382,-0.017611888496101426
7,MTL,21,54,fine-only,raw,resnet50_avgpool,0.04810805261975289,0.05616111164756679,0.04358865734095853,0.05234506249770101,0.0844661942746876
7,MTL,21,54,fine-only,centred,clip_embed,0.08306104084306619,0.0638327801287641,0.06347624600357028,0.03459131003174154,0.3855781974176213
7,MTL,21,54,fine-only,centred,clip_ln_post,0.08306104084306619,0.06432396059253864,0.06395879697079353,0.03635042818648099,0.3690877433280152
7,MTL,21,54,fine-only,centred,resnet50_avgpool,0.08306104084306619,0.05616111164756679,0.06851492948831381,0.03067433584559037,0.32855028016369875
7,MTL_concept,8,54,identity+fine,raw,clip_embed,0.03829174375240712,0.06415639394979544,0.02996075211623974,0.05957298735019456,0.13508837375457197
7,MTL_concept,8,54,identity+fine,raw,clip_ln_post,0.03829174375240712,0.05790894979258002,0.03938381917071153,0.05863543057087301,-0.017611888496101426
7,MTL_concept,8,54,identity+fine,raw,resnet50_avgpool,0.03829174375240712,0.05926885676543103,0.03346373394292574,0.05627673825418574,0.0844661942746876
7,MTL_concept,8,54,identity+fine,centred,clip_embed,0.0824293559018655,0.06415639394979544,0.06470871704474955,0.0387508766218738,0.3372584450589771
7,MTL_concept,8,54,identity+fine,centred,clip_ln_post,0.0824293559018655,0.05790894979258002,0.06944886840666037,0.037083184774187664,0.2709522609718101
