subject,region,t,ref,rho
1,MTL,0.7,alexnet conv4,0.01448846884967019
1,MTL,0.7,resnet50 avgpool,0.02339990811813923
1,MTL,0.7,clip ln_post,0.00020940058555612924
1,MTL,0.7,category,0.003056787257722824
1,MTL,0.7,low-level,0.03878239381372793
1,MTL,0.725,alexnet conv1,0.06974094331029922
1,MTL,0.725,alexnet conv4,0.06097775078988683
1,MTL,0.725,resnet50 avgpool,0.0516217243148792
1,MTL,0.725,clip ln_post,0.05314791545219225
1,MTL,0.725,category,0.02919341787501474
1,MTL,0.725,low-level,0.050378999143942935
1,MTL,0.75,alexnet conv1,0.0283865104628639
1,MTL,0.75,alexnet conv4,0.04856017911343954
1,MTL,0.75,resnet50 avgpool,0.04024003375771732
1,MTL,0.75,clip ln_post,0.04780147653026485
1,MTL,0.75,category,0.019698684792123885
1,MTL,0.75,low-level,0.026846584600865104
1,MTL,0.775,alexnet conv1,0.01000840817743406
1,MTL,0.775,alexnet conv4,0.019469904966143953
1,MTL,0.775,resnet50 avgpool,0.010010723072973989
1,MTL,0.775,clip ln_post,0.016123664664509166
1,MTL,0.775,category,0.004216827026391018
1,MTL,0.775,low-level,0.01302706579087129
1,MTL,0.8,alexnet conv1,0.011752447577555414
1,MTL,0.8,alexnet conv4,0.0039721481047549105
1,MTL,0.8,resnet50 avgpool,0.012211154519241851
1,MTL,0.8,clip ln_post,-0.006064104866978145
1,MTL,0.8,category,0.018611949274240407
1,MTL,0.8,low-level,0.009014132351892372
1,MTL,0.825,alexnet conv1,0.0004230813920235936
1,MTL,0.825,alexnet conv4,-0.007508000420747166
1,MTL,0.825,resnet50 avgpool,0.004694416455204102
1,MTL,0.825,clip ln_post,-0.0009311904920419531
1,MTL,0.825,category,0.008259556457168325
1,MTL,0.825,low-level,-0.008748436470902477
1,MTL,0.85,alexnet conv1,-0.0017796246767233079
1,MTL,0.85,alexnet conv4,-0.01490308162244994
1,MTL,0.85,resnet50 avgpool,0.009538458608069712
1,MTL,0.85,clip ln_post,-0.009368337144260323
1,MTL,0.85,category,0.01840119955323434
1,MTL,0.85,low-level,0.00038290498648023684
1,MTL,0.875,alexnet conv1,0.0002169542008565623
1,MTL,0.875,alexnet conv4,-0.0053922970509010515
1,MTL,0.875,resnet50 avgpool,0.017836262080532874
1,MTL,0.875,clip ln_post,0.005486632668728596
1,MTL,0.875,category,0.030410268438041097
1,MTL,0.875,low-level,0.004874638402684576
1,MTL,0.9,alexnet conv1,0.00993200857000426
