region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MFC,0.85,category one-hot,29,-0.16434564786023703,0.030956423581192168,0.032139265260265566,0.03399245177784742,0.35250089102686766
MFC,0.9,category one-hot,29,-0.15748994775696792,0.03414602137277129,0.03899496536353457,0.0378845514688174,0.31214377672653176
MFC,0.95,category one-hot,29,-0.19109405517774905,0.03664314882091163,0.005390857942753501,0.041719734545949516,0.8981104706624016
MFC,1.0,category one-hot,29,-0.19703006162899714,0.025710008371173782,-0.0005451485084945913,0.033485921253760424,0.9871265199840333
MFC,1.05,category one-hot,29,-0.17915282069189387,0.03431301806339812,0.017332092428608708,0.03909081582646855,0.6608979194754148
MFC,1.1,category one-hot,29,-0.15782793192295602,0.0350733073261356,0.03865698119754654,0.039358239395920966,0.3344210287525756
MFC,-0.3,clip ln_post,29,-0.1599111808947582,0.03566319904242562,0.023118202755069695,0.03048189761182551,0.4545341541693403
MFC,-0.25,clip ln_post,29,-0.21342368855943045,0.03421860657419882,-0.030394304909602557,0.03275908220127747,0.36143398861441667
MFC,-0.2,clip ln_post,29,-0.17823818657612006,0.024421256018430613,0.004791197073707813,0.022278437789333562,0.8312794386512768
MFC,-0.15,clip ln_post,29,-0.17818068218023247,0.03303146586855317,0.004848701469595411,0.029279888405745705,0.8696629300685446
MFC,-0.1,clip ln_post,29,-0.18539318003859823,0.030244213124191063,-0.002363796388770368,0.023790454697656324,0.9215611776776413
MFC,-0.05,clip ln_post,29,-0.1449165789881499,0.02602706909194994,0.038112804661677976,0.027064781267161216,0.17007704078447403
MFC,-0.0,clip ln_post,29,-0.12094982258995851,0.03416992363335534,0.06207956105986937,0.03375524493028619,0.07652675109229794
MFC,0.05,clip ln_post,29,-0.16559405226479432,0.03452910472234415,0.017435331385033587,0.03212061773412485,0.5915569579360065
MFC,0.1,clip ln_post,29,-0.17757936230861004,0.027733656989822386,0.0054500213412178025,0.02794031664802691,0.8467549709090695
MFC,0.15,clip ln_post,28,-0.1565940513816956,0.035149530553627656,0.02053735635119976,0.036053370677691605,0.5736328807507822
MFC,0.2,clip ln_post,28,-0.16221779341027243,0.033101102572834724,0.014913614322622924,0.038746570991386134,0.7033257310534664
MFC,0.25,clip ln_post,29,-0.18519755988206368,0.03108717626047251,-0.002168176232235818,0.03848217154994498,0.9554692159171663
MFC,0.3,clip ln_post,29,-0.10620439164603544,0.03502088891331843,0.0768249920037924,0.03829251862673723,0.05457446689968868
MFC,0.35,clip ln_post,29,-0.12219133348486488,0.046471822819126894,0.060838050164962965,0.044781633118323665,0.18513470794991407
MFC,0.4,clip ln_post,29,-0.12755412403041816,0.04691795513475836,0.055475259619409745,0.048087885544532395,0.25840766569731366
MFC,0.45,clip ln_post,29,-0.07533894088131729,0.042970826372432894,0.10769044276851057,0.04673903323682328,0.028850724047753292
MFC,0.5,clip ln_post,29,-0.12578714682100306,0.03629653153805674,0.057242236828824844,0.036476710762605065,0.12781553034051865
MFC,0.55,clip ln_post,29,-0.1007806999511574,0.03397140925911045,0.08224868369867047,0.03770416997743595,0.037707549725269615
MFC,0.6,clip ln_post,29,-0.08914698402214367,0.041609740077370866,0.09388239962768423,0.04340046890215694,0.039216594689162616
MFC,0.65,clip ln_post,29,-0.13823908454466688,0.03766227078190232,0.04479029910516098,0.03811474312195853,0.24983397283620318
