region,model,layer,view,n_pairs,rho,p_perm,null_sd
hippocampus,convnext_tiny,avgpool,gap,6200,0.03992621278607359,0.004975124378109453,0.00990785285822929
MTL_concept,convnext_tiny,avgpool,gap,5681,0.07648679640071356,0.004975124378109453,0.0101370734627395
MTL,convnext_tiny,logits,gap,6886,0.10082903087106258,0.004975124378109453,0.012061452105752839
MFC,convnext_tiny,logits,gap,6886,0.0010878367792526164,0.47761194029850745,0.011786759181438579
amygdala,convnext_tiny,logits,gap,5987,0.08701855184996153,0.004975124378109453,0.012190377853735085
hippocampus,convnext_tiny,logits,gap,6200,0.041188130052937005,0.004975124378109453,0.011559013158885868
MTL_concept,convnext_tiny,logits,gap,5681,0.098829718067135,0.004975124378109453,0.012671662304125343
MTL,vit_b_16,block2,cls,6886,0.030514954805834396,0.01990049751243781,0.013470180338750725
MFC,vit_b_16,block2,cls,6886,0.013088364809808416,0.06467661691542288,0.00899793850592005
amygdala,vit_b_16,block2,cls,5987,0.025756349222372025,0.009950248756218905,0.010623503486043032
hippocampus,vit_b_16,block2,cls,6200,0.01038554968078685,0.17412935323383086,0.009703825398830829
MTL_concept,vit_b_16,block2,cls,5681,0.04394688518346568,0.004975124378109453,0.010636365529893303
MTL,vit_b_16,block2,gap,6886,0.05010773714151055,0.004975124378109453,0.012515536355465267
MFC,vit_b_16,block2,gap,6886,0.014593906420069686,0.05970149253731343,0.009863760545007967
amygdala,vit_b_16,block2,gap,5987,0.03307376695021961,0.009950248756218905,0.011595117061709303
hippocampus,vit_b_16,block2,gap,6200,0.01813126851469212,0.06467661691542288,0.011617308910440615
MTL_concept,vit_b_16,block2,gap,5681,0.06066809735638823,0.004975124378109453,0.01288316572336343
MTL,vit_b_16,block5,cls,6886,0.02894530163601542,0.01990049751243781,0.013566734539934197
MFC,vit_b_16,block5,cls,6886,0.013337831062548891,0.07462686567164178,0.008782657204300144
amygdala,vit_b_16,block5,cls,5987,0.0200311675891307,0.03482587064676617,0.009835406449087813
hippocampus,vit_b_16,block5,cls,6200,0.016222832335381198,0.05970149253731343,0.009712032209327552
MTL_concept,vit_b_16,block5,cls,5681,0.04370935842851932,0.004975124378109453,0.010499805020263486
MTL,vit_b_16,block5,gap,6886,0.06582828400550503,0.004975124378109453,0.01262680796177305
MFC,vit_b_16,block5,gap,6886,0.014253031674029462,0.05970149253731343,0.009080280982178153
amygdala,vit_b_16,block5,gap,5987,0.04776737243939823,0.004975124378109453,0.011512218338209947
hippocampus,vit_b_16,block5,gap,6200,0.016565459521039414,0.0945273631840796,0.011682347409444
MTL_concept,vit_b_16,block5,gap,5681,0.06962937157643519,0.004975124378109453,0.012782910253510632
