subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
4,43,amygdala,MTL,alexnet,conv4,-0.017968089518542493,-0.18531404121967274,0.1552199708788683,0.16734595170113026,0.1935483870967742
4,43,amygdala,MTL,alexnet,fc7,-0.18437107652412113,-0.030369228426713468,0.16667287949471943,-0.15400184809740766,0.8387096774193549
4,43,amygdala,MTL,alexnet,logits,-0.006596499164989118,-0.1337708603246621,0.16950863119298462,0.12717436115967298,0.2903225806451613
4,43,amygdala,MTL,vgg16,conv3_3,-0.1616599966122642,-0.1711049383514733,0.17308326836846794,0.009444941739209095,0.5161290322580645
4,43,amygdala,MTL,vgg16,conv5_3,0.13299351033889567,-0.14682186850735437,0.16761512608352325,0.2798153788462501,0.16129032258064516
4,43,amygdala,MTL,vgg16,fc6,0.11770249456261926,-0.09638981722782604,0.15546926377422962,0.2140923117904453,0.16129032258064516
4,43,amygdala,MTL,resnet18,layer2,-0.22033726752122404,-0.19979393847715335,0.20502100346304236,-0.02054332904407069,0.3548387096774194
4,43,amygdala,MTL,resnet18,layer4,-0.09393775092218551,-0.21103891769754007,0.18460418302457898,0.11710116677535456,0.22580645161290322
4,43,amygdala,MTL,resnet18,logits,-0.028457986366318078,-0.14309063126955454,0.17323519012954675,0.11463264490323646,0.25806451612903225
4,43,amygdala,MTL,convnext_tiny,stage2,-0.0758327728843207,-0.2277709165088216,0.15281153040630274,0.15193814362450092,0.25806451612903225
4,43,amygdala,MTL,convnext_tiny,stage4,0.0910669430024006,-0.17824297136831088,0.1836504716250706,0.2693099143707115,0.12903225806451613
4,43,amygdala,MTL,convnext_tiny,logits,0.18981906696600132,-0.18438444358379316,0.15957207020732042,0.3742035105497945,0.03225806451612903
4,43,amygdala,MTL,vit_b_16,block2,-0.05451489780927963,-0.055616941169490515,0.21037279352812874,0.001102043360210886,0.5161290322580645
4,43,amygdala,MTL,vit_b_16,block8,-0.06736819192615931,-0.17075398877040107,0.17081761067612317,0.10338579684424176,0.3225806451612903
4,43,amygdala,MTL,vit_b_16,ln,0.06195318580846958,-0.15540809382141732,0.1565075190861588,0.21736127962988688,0.0967741935483871
4,43,amygdala,MTL,dinov2_small,block2,0.0794850020872133,-0.1890688156530807,0.13843985410487997,0.268553817740294,0.06451612903225806
4,43,amygdala,MTL,dinov2_small,block5,0.10323823698213869,-0.251143784208761,0.13179440976890805,0.3543820211908997,0.03225806451612903
4,43,amygdala,MTL,dinov2_small,norm,0.3233299542205695,-0.21075819748657457,0.11928312133109444,0.5340881517071441,0.03225806451612903
4,43,amygdala,MTL,clip_vitb32,embed,0.22722152658886172,-0.22361223901226365,0.12390379949080511,0.45083376560112537,0.03225806451612903
4,43,amygdala,MTL,clip_rn50,layer2,-0.00363585500371651,-0.1678715759405544,0.1618100781430957,0.1642357209368379,0.12903225806451613
4,43,amygdala,MTL,clip_rn50,layer4,0.22606637783289413,-0.08640436615376078,0.14834391940842223,0.3124707439866549,0.0967741935483871
4,43,amygdala,MTL,clip_rn50,attnpool,0.3381049096120152,-0.2078109090428419,0.14155034795287702,0.5459158186548572,0.03225806451612903
4,43,amygdala,MTL,facenet_vggface2,embed,0.1328412177780654,-0.23552692942006073,0.16984754907478553,0.36836814719812616,0.03225806451612903
4,44,amygdala,MTL,alexnet,conv2,0.36223734420737264,-0.18961181847702116,0.16117734418817023,0.5518491626843938,0.03225806451612903
4,44,amygdala,MTL,alexnet,conv4,0.15146778567627747,-0.18547680088482318,0.14438324364997587,0.33694458656110066,0.06451612903225806
4,44,amygdala,MTL,alexnet,fc7,0.259977410511413,-0.05916500130260089,0.1189668991826716,0.31914241181401387,0.03225806451612903
4,44,amygdala,MTL,alexnet,logits,0.3575135142249908,-0.09840891715496909,0.1583391692802146,0.45592243137995986,0.03225806451612903
4,44,amygdala,MTL,vgg16,conv3_3,0.3942742166117663,-0.13474506935545988,0.22832161951301186,0.5290192859672262,0.06451612903225806
4,44,amygdala,MTL,vgg16,conv5_3,0.3163147273919771,-0.1146372972210136,0.16255546952464411,0.43095202461299065,0.03225806451612903
4,44,amygdala,MTL,vgg16,fc6,0.19161676603562228,-0.15067852347494584,0.16310463451184623,0.3422952895105681,0.06451612903225806
4,44,amygdala,MTL,resnet18,layer2,0.34715046009204853,-0.17941004982474829,0.12262831515075945,0.5265605099167968,0.03225806451612903
4,44,amygdala,MTL,resnet18,layer4,0.28093671367753026,-0.1971611715640032,0.14189392112455376,0.47809788524153346,0.03225806451612903
4,44,amygdala,MTL,resnet18,logits,0.35098301874614257,-0.1307942632477018,0.14929852631374024,0.4817772819938444,0.03225806451612903
4,44,amygdala,MTL,convnext_tiny,stage2,0.10329058257844306,-0.19696910463922135,0.17478592697853862,0.3002596872176644,0.0967741935483871
4,44,amygdala,MTL,convnext_tiny,stage4,0.4997896194437401,-0.20520766069480778,0.17510746576555708,0.7049972801385479,0.03225806451612903
4,44,amygdala,MTL,convnext_tiny,logits,0.4223326895563192,-0.1809630733464026,0.16874094415638874,0.6032957629027218,0.03225806451612903
4,44,amygdala,MTL,vit_b_16,block2,0.1809459976444674,-0.08946317112173827,0.20754032257971455,0.2704091687662057,0.12903225806451613
4,44,amygdala,MTL,vit_b_16,block8,0.29089376461792893,-0.14635848653821518,0.13472792900914982,0.4372522511561441,0.03225806451612903
4,44,amygdala,MTL,vit_b_16,ln,0.3896060880501423,-0.19391544414531722,0.17364866839299278,0.5835215321954595,0.03225806451612903
4,44,amygdala,MTL,dinov2_small,block2,0.4024416574776017,-0.12707161023514846,0.18933548619847262,0.5295132677127501,0.03225806451612903
4,44,amygdala,MTL,dinov2_small,block5,0.37883071512875377,-0.16399709793376838,0.18714289862028893,0.5428278130625221,0.03225806451612903
4,44,amygdala,MTL,dinov2_small,norm,0.2784070342803142,-0.18012771652598855,0.1791325510671961,0.4585347508063028,0.06451612903225806
4,44,amygdala,MTL,clip_vitb32,embed,0.46448561207890793,-0.22389702011025758,0.13114941398104213,0.6883826321891655,0.03225806451612903
4,44,amygdala,MTL,clip_rn50,layer2,0.3371327268351469,-0.23842448760399648,0.20637569233097597,0.5755572144391434,0.06451612903225806
4,44,amygdala,MTL,clip_rn50,layer4,0.6063441910943839,-0.09241081901069714,0.16622274799130443,0.698755010105081,0.03225806451612903
4,44,amygdala,MTL,clip_rn50,attnpool,0.4694327627960194,-0.21455284660068166,0.1529066830460464,0.683985609396701,0.03225806451612903
4,44,amygdala,MTL,facenet_vggface2,embed,0.313205942453163,-0.20402862303657657,0.1774408428761635,0.5172345654897396,0.03225806451612903
4,45,amygdala,MTL,alexnet,conv2,-0.3000388253526681,-0.17075964006153269,0.1495479114604175,-0.12927918529113544,0.8064516129032258
4,45,amygdala,MTL,alexnet,conv4,-0.31625229564039997,-0.16508229704257574,0.15818482183602584,-0.15116999859782423,0.8064516129032258
4,45,amygdala,MTL,alexnet,fc7,0.08769439488498368,-0.07011713137219706,0.14624697631327147,0.15781152625718076,0.1935483870967742
4,45,amygdala,MTL,alexnet,logits,-0.09411985006788798,-0.1195891833784412,0.19739408556573093,0.02546933331055322,0.4838709677419355
4,45,amygdala,MTL,vgg16,conv3_3,-0.3082839493917009,-0.19523506913052685,0.19844362271421764,-0.11304888026117405,0.6451612903225806
4,45,amygdala,MTL,vgg16,conv5_3,-0.2787601176909051,-0.15613340357792724,0.1970887675229095,-0.12262671411297785,0.7419354838709677
4,45,amygdala,MTL,vgg16,fc6,-0.11345982555291584,-0.13555999682105316,0.16783921575335103,0.02210017126813732,0.5483870967741935
4,45,amygdala,MTL,resnet18,layer2,-0.2665144726952554,-0.18206651669755308,0.1554391255852966,-0.08444795599770233,0.7419354838709677
