criterion,unit_of_inference,layer,supervised,clip
similarity tuning (MTL concept cells),13-77,layer2,0.2648329458753985,0.42578810320313265
similarity tuning (MTL concept cells),13-78,layer2,0.40958100114609286,0.4024002489808055
similarity tuning (MTL concept cells),13-80,layer2,0.3006664753270238,0.2831531537008775
similarity tuning (MTL concept cells),13-82,layer2,0.4013732643554658,0.3819274741066014
similarity tuning (MTL concept cells),13-83,layer2,0.4557814795298599,0.474328235151797
similarity tuning (MTL concept cells),13-84,layer2,0.34531909290318147,0.38856627069161337
similarity tuning (MTL concept cells),13-85,layer2,0.670480824909522,0.7209105396382829
similarity tuning (MTL concept cells),13-86,layer2,0.6050601662490481,0.6320834956090453
similarity tuning (MTL concept cells),13-88,layer2,0.37787202274743825,0.3676352965897259
similarity tuning (MTL concept cells),13-89,layer2,0.4076850881360935,0.37987556213158824
similarity tuning (MTL concept cells),13-90,layer2,0.637960706057606,0.6568296110845373
similarity tuning (MTL concept cells),13-92,layer2,0.4865762623047145,0.3435993313191116
similarity tuning (MTL concept cells),13-93,layer2,0.5224341255568161,0.46372596190657495
similarity tuning (MTL concept cells),13-94,layer2,0.566589061385482,0.6105144100906574
similarity tuning (MTL concept cells),13-95,layer2,0.03713633920044549,0.03448182831174939
similarity tuning (MTL concept cells),13-97,layer2,0.4608820802684828,0.4441323779597614
similarity tuning (MTL concept cells),13-98,layer2,0.27352241217980094,0.24377855274796315
similarity tuning (MTL concept cells),14-14,layer2,0.16905137071174672,0.22572142722198302
similarity tuning (MTL concept cells),14-15,layer2,-0.14868417990933494,-0.17028743022568188
similarity tuning (MTL concept cells),14-16,layer2,0.08811047629248635,0.03839735041894787
similarity tuning (MTL concept cells),14-17,layer2,-0.014313112030553332,-0.050057892694466165
similarity tuning (MTL concept cells),14-18,layer2,-0.0808056578849087,-0.03331749382625651
similarity tuning (MTL concept cells),14-19,layer2,-0.15978098273714536,-0.17276175024561646
similarity tuning (MTL concept cells),14-45,layer2,0.06823081047190252,0.08751010010748876
similarity tuning (MTL concept cells),14-46,layer2,0.02252811358533955,0.0471121347086728
similarity tuning (MTL concept cells),14-47,layer2,0.15107334787289042,0.13851248960433218
similarity tuning (MTL concept cells),14-48,layer2,0.21696133048558439,0.3943102089940097
similarity tuning (MTL concept cells),14-49,layer2,0.1899276553920853,0.2553547449636321
similarity tuning (MTL concept cells),14-50,layer2,0.30469056180137105,0.360068166190156
similarity tuning (MTL concept cells),14-51,layer2,0.0810679385549419,0.05227910634479914
similarity tuning (MTL concept cells),14-52,layer2,-0.10558943401099322,-0.1274364090519257
similarity tuning (MTL concept cells),14-53,layer2,0.5572057063531409,0.5467256641321939
similarity tuning (MTL concept cells),14-55,layer2,0.4383459359659917,0.4773524822004546
similarity tuning (MTL concept cells),14-56,layer2,0.3785722472915327,0.44350592692565366
similarity tuning (MTL concept cells),14-59,layer2,0.37822544626775495,0.4316163424302432
similarity tuning (MTL concept cells),14-60,layer2,0.6138479612272845,0.6432419958425596
similarity tuning (MTL concept cells),14-61,layer2,0.038199885732429426,-0.08560960692911582
similarity tuning (MTL concept cells),14-62,layer2,0.1961611449911153,0.24853832353748412
similarity tuning (MTL concept cells),14-63,layer2,-0.00020345579435496222,0.02016755561543563
similarity tuning (MTL concept cells),14-68,layer2,-0.0475464778873864,-0.026209901246472163
similarity tuning (MTL concept cells),14-69,layer2,0.2324926485783666,0.21083434848848298
similarity tuning (MTL concept cells),15-2,layer2,0.1033419828933776,0.060093135426986084
similarity tuning (MTL concept cells),15-8,layer2,-0.02339181941679276,-0.06717193845583906
similarity tuning (MTL concept cells),16-7,layer2,0.17227483815505076,0.12277533548727348
similarity tuning (MTL concept cells),16-9,layer2,0.14776704495279802,0.10046221657675888
similarity tuning (MTL concept cells),16-13,layer2,0.14089253515263658,0.09364277343984907
similarity tuning (MTL concept cells),16-20,layer2,0.042211388227111984,0.034872040226048326
similarity tuning (MTL concept cells),16-21,layer2,0.1773750652192178,0.21045868590118988
similarity tuning (MTL concept cells),16-24,layer2,0.3789515292022757,0.3824233339867006
similarity tuning (MTL concept cells),16-30,layer2,0.09792667828131578,0.02706783341220503
similarity tuning (MTL concept cells),18-5,layer2,0.18119484044094836,0.24894748951760132
similarity tuning (MTL concept cells),18-13,layer2,-0.07453173787220684,-0.07106995178039549
similarity tuning (MTL concept cells),18-14,layer2,0.1511118229870274,0.010724720703081999
similarity tuning (MTL concept cells),18-16,layer2,-0.06928968569552597,-0.10388327877576269
similarity tuning (MTL concept cells),18-17,layer2,0.15000981030317723,0.09881235641413552
similarity tuning (MTL concept cells),18-18,layer2,-0.06711315187768305,-0.03832849966550569
similarity tuning (MTL concept cells),18-19,layer2,-0.11107473720629024,-0.14443747587714514
similarity tuning (MTL concept cells),18-20,layer2,-0.07886399634294283,-0.0824860886831236
similarity tuning (MTL concept cells),18-22,layer2,-0.17134646523037117,-0.15672215384782412
