analysis,group,text_variant,text_centering,image_space,n,rho_text_mean,rho_text_sem,rho_text_frac_pos,rho_text_p_wilcoxon,rho_text_p_t,rho_img_mean,rho_img_sem,rho_img_frac_pos,rho_img_p_wilcoxon,rho_img_p_t,rho_text_given_img_mean,rho_text_given_img_sem,rho_text_given_img_frac_pos,rho_text_given_img_p_wilcoxon,rho_text_given_img_p_t,rho_img_given_text_mean,rho_img_given_text_sem,rho_img_given_text_frac_pos,rho_img_given_text_p_wilcoxon,rho_img_given_text_p_t,text_minus_img_mean,text_minus_img_p_wilcoxon,rho_text_img_mean,rho_text_null_mean,text_vs_null_p_wilcoxon,region,pref_desc_type
cell,MTL concept,identity+fine,centred,resnet50_avgpool,134,0.14555951284463697,0.020639701724626633,0.6865671641791045,4.517589727396551e-09,8.676037680717368e-11,0.17295460060701734,0.020304698674936457,0.7686567164179104,6.810335928901611e-13,3.0615762782074814e-14,0.04837657754095905,0.01440195642907821,0.5970149253731343,0.002889942122422181,0.0010207391496418164,0.1021985474767145,0.014392780303557125,0.7238805970149254,9.92935072435064e-10,6.737343951272588e-11,-0.027395087762380352,0.011901201453719736,0.6033545709333735,0.011641687058443808,0.001083437280966036,,
cell,MTL concept,identity+fine,raw,clip_embed,134,0.07024222257664264,0.0150665757457055,0.6865671641791045,1.5562396292833755e-05,7.515724749657003e-06,0.1572222799409588,0.019927441954235556,0.7089552238805971,4.013992307555738e-11,9.8386754598863e-13,0.01687043770326499,0.013227497965091798,0.582089552238806,0.15044243052521666,0.20438862099346244,0.1410842305308797,0.019106715446586348,0.7089552238805971,6.526250793457114e-10,1.5059671389098928e-11,-0.08698005736431617,5.0812809911759045e-05,0.343187366407187,-0.03815232566418828,3.1908534928242055e-06,,
cell,MTL concept,identity+fine,raw,clip_ln_post,134,0.07024222257664264,0.0150665757457055,0.6865671641791045,1.5562396292833755e-05,7.515724749657003e-06,0.1703559367549165,0.020338262036582764,0.7089552238805971,2.3461949489710077e-12,6.747268052485622e-14,0.0121419031946371,0.01346004829909586,0.5671641791044776,0.30019981646780347,0.3686505197832425,0.15678327375277754,0.019716623046949426,0.7014925373134329,4.1985004534565775e-11,7.00784909811736e-13,-0.10011371417827385,9.353032443996244e-06,0.331084629428637,-0.03815232566418828,3.1908534928242055e-06,,
cell,MTL concept,identity+fine,raw,resnet50_avgpool,134,0.07024222257664264,0.0150665757457055,0.6865671641791045,1.5562396292833755e-05,7.515724749657003e-06,0.17295460060701734,0.020304698674936457,0.7686567164179104,6.810335928901611e-13,3.0615762782074814e-14,0.01970288252559706,0.013340672994703533,0.5970149253731343,0.13242833708054355,0.14206551861180888,0.15839311886054086,0.019741332316847323,0.7164179104477612,1.6692517397456282e-11,4.733961249314872e-13,-0.10271237803037471,5.051403522446255e-06,0.313495952300902,-0.03815232566418828,3.1908534928242055e-06,,
cell,MTL non-concept,fine-only,centred,clip_embed,256,0.025602903209771686,0.008312219892204185,0.5703125,0.003423061022831581,0.0022953990004868563,0.020980692643686447,0.009384566132896677,0.5625,0.02804282900420367,0.026239922048931698,0.019223421643803747,0.00847907872340092,0.56640625,0.019412641770379505,0.024218149529274174,0.004567391481412167,0.009523892852435229,0.5390625,0.434886739530733,0.6319428736519264,0.004622210566085241,0.42210105103741435,0.5870890854316775,0.00022821508544427615,0.07800023409293383,,
cell,MTL non-concept,fine-only,centred,clip_ln_post,256,0.025602903209771686,0.008312219892204185,0.5703125,0.003423061022831581,0.0022953990004868563,0.018652131420008936,0.009312457886112374,0.55078125,0.05072150923627185,0.0462440528074554,0.021175368674115007,0.008435676869281058,0.5546875,0.007940821572229992,0.012685701144416152,0.001871023201697367,0.009420545531581335,0.546875,0.5743819498799918,0.8427253676545833,0.00695077178976275,0.21357121746176955,0.587841160006474,0.00022821508544427615,0.07800023409293383,,
cell,MTL non-concept,fine-only,centred,resnet50_avgpool,256,0.025602903209771686,0.008312219892204185,0.5703125,0.003423061022831581,0.0022953990004868563,0.024154942201435943,0.009130298139528932,0.54296875,0.020627011711542086,0.008661761936081404,0.013102182370562045,0.008200237253218667,0.52734375,0.12381758227323623,0.11133012723474438,0.012019668323645963,0.009035714605704865,0.54296875,0.17538080289054703,0.1846277001381489,0.0014479610083357446,0.8022412365255014,0.546178242740084,0.00022821508544427615,0.07800023409293383,,
cell,MTL non-concept,fine-only,raw,clip_embed,256,0.02436286793423441,0.008673696515690926,0.59765625,0.004334388941131108,0.005357258346912929,0.020980692643686447,0.009384566132896677,0.5625,0.02804282900420367,0.026239922048931698,0.015542327885638103,0.008194047670946706,0.56640625,0.05668099433317231,0.05898663431053443,0.013222880330792618,0.008893751870074837,0.5234375,0.12505769255033813,0.13831341983496234,0.003382175290547965,0.9777997253448125,0.40785028998871053,0.01153491524677464,0.2459174030713437,,
cell,MTL non-concept,fine-only,raw,clip_ln_post,256,0.02436286793423441,0.008673696515690926,0.59765625,0.004334388941131108,0.005357258346912929,0.018652131420008936,0.009312457886112374,0.55078125,0.05072150923627185,0.0462440528074554,0.014843158318159199,0.008189929302743154,0.5625,0.05745150221331583,0.07110555161207684,0.012014434954046947,0.00880937714912748,0.55078125,0.14530796171181098,0.1738258007224163,0.005710736514225474,0.745442746188167,0.406918124776086,0.01153491524677464,0.2459174030713437,,
cell,MTL non-concept,fine-only,raw,resnet50_avgpool,256,0.02436286793423441,0.008673696515690926,0.59765625,0.004334388941131108,0.005357258346912929,0.024154942201435943,0.009130298139528932,0.54296875,0.020627011711542086,0.008661761936081404,0.008934738908345615,0.008202769313602958,0.546875,0.2278719662643245,0.2770788101262722,0.02207365519324269,0.008593782196086112,0.51953125,0.024353983960758642,0.01078216421557542,0.00020792573279847064,0.5923257706381404,0.3463373715696037,0.01153491524677464,0.2459174030713437,,
cell,MTL non-concept,identity+fine,centred,clip_embed,256,0.01393896603395084,0.00871957873449942,0.53515625,0.1872174987999099,0.11115170762468309,0.020980692643686447,0.009384566132896677,0.5625,0.02804282900420367,0.026239922048931698,0.003757261342485915,0.008268498069473336,0.5234375,0.540402001072186,0.6499226524855652,0.008864387145137901,0.00900614504357844,0.53125,0.23610551693237924,0.3259207031000475,-0.007041726609735605,0.4740370946431163,0.6304785488340353,-0.00680304432393918,0.34193362834917085,,
