subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,category,attr_famous,attr_face_visible,attr_child,attr_smiling,attr_emotional,attr_single_object,attr_natural,attr_indoor,attr_text_present,attr_colorful
11,1,screening,13,378,63,0.367063492063492,1.6087370551124889,0.0069930069930069,img_0241,2.8152023256849157,0.0019980019980019,True,0.8370967741935483,0.4317250078839482,2.0833333333333335,0.3393817204301075,0.3174603174603174,hippocampus,MTL,L,landscape_nature,0.29984623,0.4737585,0.04071477,0.25861987,0.3513332,0.7802383,0.259193,0.030151272,0.42248604,0.9723531
11,1,screening,17,378,63,0.8994708994708994,3.2344390992532976,0.0009990009990009,img_0022,7.594477115854133,0.0009990009990009,True,0.8790322580645161,0.4576575239084983,6.666666666666667,0.8064516129032259,0.7671957671957672,hippocampus,MTL,L,face_person,0.7209362,0.9504919,0.053367082,0.4754407,0.38946304,0.8365762,0.18912295,0.43184063,0.7717195,0.7204697
11,1,screening,18,378,63,0.1951058201058201,2.363946869070212,0.0009990009990009,img_0113,2.5530184711856236,0.0019980019980019,True,0.880184331797235,0.2183951314386097,1.4583333333333333,0.1747311827956989,0.119047619047619,hippocampus,MTL,L,landmark_place,0.3847279,0.118494615,0.31256545,0.3631699,0.8843548,0.94740885,0.09907112,0.1067064,0.55178887,0.3839011
11,1,screening,25,378,63,6.8882275132275135,1.386984458286339,0.0299700299700299,img_0062,4.078201883321,0.0019980019980019,True,0.3304805793285056,0.9734040106886486,10.208333333333334,6.834677419354839,6.64021164021164,amygdala,MTL,L,face_person,0.90772605,0.99018174,0.076931566,0.08188151,0.22587685,0.9137907,0.5586694,0.1239228,0.49907348,0.6611251
11,1,screening,28,378,63,0.6911375661375662,1.5181435046518466,0.0149850149850149,img_0007,8.416553640329619,0.0009990009990009,True,0.7753456221198156,0.6559595140484448,2.9166666666666665,0.655241935483871,0.8333333333333334,amygdala,MTL,L,face_person,0.18674015,0.92465645,0.024490573,0.0429871,0.89371467,0.73814446,0.15959463,0.8652138,0.18438053,0.32697576
11,1,screening,31,378,63,0.7738095238095238,1.6420904111104973,0.0069930069930069,img_0235,1.9822115608424535,0.0149850149850149,True,0.7258064516129032,0.6975464343040587,2.7083333333333335,0.7426075268817203,0.7936507936507936,amygdala,MTL,L,landmark_place,0.6708657,0.33984387,0.13261895,0.27239558,0.22648074,0.98288214,0.0571099,0.085822344,0.62611794,0.9281083
11,1,screening,34,378,63,2.6554232804232805,1.466625515344112,0.0229770229770229,img_0235,1.8682366555101055,0.0319680319680319,True,0.4980645161290322,0.8933458577344415,5.208333333333333,2.614247311827957,2.7248677248677247,amygdala,MTL,L,landmark_place,0.6708657,0.33984387,0.13261895,0.27239558,0.22648074,0.98288214,0.0571099,0.085822344,0.62611794,0.9281083
11,1,screening,50,378,63,3.3366402116402116,4.617449051671542,0.0009990009990009,img_0238,5.621774152412605,0.0009990009990009,True,0.7090687766281193,0.7259339595263409,11.041666666666666,3.212365591397851,2.751322751322751,preSMA,MFC,L,landscape_nature,0.5262957,0.21203373,0.066456325,0.7795333,0.562108,0.8816471,0.251592,0.15037233,0.674076,0.95659727
11,1,screening,53,378,63,2.6554232804232805,1.548405577475725,0.0109890109890109,img_0017,2.43528667251057,0.0229770229770229,True,0.5179900744416874,0.9058379938103808,5.416666666666667,2.6108870967741935,2.6455026455026456,preSMA,MFC,L,scene_with_people,0.85887843,0.3867702,0.064352624,0.14005458,0.19866012,0.63866276,0.6244873,0.5662945,0.6195486,0.11556827
11,1,screening,65,378,63,0.9226190476190476,1.9110161149703353,0.0029970029970029,img_0048,3.586707509158302,0.0069930069930069,True,0.6070381231671553,0.7411946182192135,2.2916666666666665,0.9005376344086021,0.9391534391534392,hippocampus,MTL,R,face_person,0.44807673,0.6308106,0.21812758,0.39591807,0.47499454,0.964328,0.040359285,0.15256438,0.62689674,0.17412728
