subset,space,scope,n,rho_mean,rho_sem,rho_median,frac_pos,rho_null_mean,p_vs_zero,p_vs_null_anchor,contrast,diff_mean,p
pref face_person,clip ln_post,same,75,0.1263466644814539,0.022697423596191972,0.1317884124244117,0.7333333333333333,0.024617090477745403,1.5048749003522206e-06,4.674962559339944e-05,,,
pref face_person,clip ln_post,diff,75,0.06908831719500906,0.01902425216161489,0.07772187438067107,0.6666666666666666,-0.018493272708821982,0.0010805628140750018,8.117150744530267e-06,,,
pref face_person,clip ln_post,partial,75,0.12040364610850282,0.016258350211700325,0.11435999450040263,0.8266666666666667,-0.019882315882167746,4.040169504567202e-09,2.8822212071215773e-10,,,
pref face_person,clip ln_post,category,75,0.20710603585835682,0.03238237318870104,0.18899181697779652,0.7333333333333333,0.06695384343587657,2.8561311318583246e-07,3.194771826389804e-07,,,
pref face_person,resnet50 avgpool,all,75,0.23291696083414648,0.029638051680532487,0.20894334440612994,0.8133333333333334,0.0025014471847327802,1.6355852196091066e-09,1.1780617826953488e-09,,,
pref face_person,resnet50 avgpool,same,75,0.1317364777491466,0.020935676127127077,0.15029097358461785,0.7466666666666667,0.02876542608906485,2.27977303579355e-07,1.8477890196041558e-05,,,
pref face_person,resnet50 avgpool,diff,75,0.09902943680525866,0.021186604505083848,0.07086473365239611,0.7066666666666667,-0.053021997900955305,2.9548232077037494e-05,5.40780508853253e-07,,,
pref face_person,resnet50 avgpool,partial,75,0.1337242380002517,0.01765579783790093,0.12018591850400048,0.8133333333333334,-0.04522867940151252,4.306228512565393e-09,4.0476440072803765e-10,,,
pref face_person,resnet50 avgpool,category,75,0.20710603585835682,0.03238237318870104,0.18899181697779652,0.7333333333333333,0.06695384343587657,2.8561311318583246e-07,3.194771826389804e-07,,,
pref face_person,alexnet conv1,all,75,0.14186494910332093,0.01886754792724123,0.11689338621629076,0.84,0.03616392038259122,1.988880809888067e-09,1.3255625092863117e-07,,,
pref face_person,alexnet conv1,same,75,0.05141649353811325,0.023808365534879156,0.07337221007359043,0.6666666666666666,0.012270795181940412,0.01774147065881106,0.06848653691864796,,,
pref face_person,alexnet conv1,diff,75,0.06428638418301207,0.023494526444507734,0.03350036414767366,0.6133333333333333,0.011899953405375257,0.01604308515593222,0.02349066602227048,,,
pref face_person,alexnet conv1,partial,75,0.05442619303787583,0.01636243297349126,0.06709970717293073,0.7333333333333333,0.004182236336160583,0.0008786491445798853,0.0021933302105427155,,,
pref face_person,alexnet conv1,category,75,0.20710603585835682,0.03238237318870104,0.18899181697779652,0.7333333333333333,0.06695384343587657,2.8561311318583246e-07,3.194771826389804e-07,,,
pref other,clip ln_post,all,59,0.09948130037980343,0.025475511508102722,0.10058375037941941,0.6610169491525424,-0.01234282420469694,0.00029117376175977027,0.00010789649295624157,,,
pref other,clip ln_post,same,35,0.0826452279473123,0.051036545318120255,0.13879071170995794,0.5714285714285714,0.000411036028407989,0.134660847073784,0.13965979672502726,,,
pref other,clip ln_post,diff,59,0.04769236053420661,0.02768036631807706,0.03489564192003723,0.6101694915254238,-0.028648814803946085,0.16260143223627443,0.020083908851984085,,,
pref other,clip ln_post,partial,57,0.05668724138507229,0.026954909543176978,0.04099923342416926,0.6491228070175439,-0.018210115381161986,0.05501373255621582,0.012462588927594173,,,
pref other,clip ln_post,category,57,0.09015256328342486,0.02447875723328264,0.0940626350129448,0.631578947368421,0.0010123112713489276,0.000766003754904914,0.00191826290232615,,,
pref other,resnet50 avgpool,all,59,0.09673126133524299,0.023314099969121968,0.08782727546626316,0.711864406779661,-0.024593150165335188,0.00010460272619974708,1.3761389355681972e-05,,,
pref other,resnet50 avgpool,same,35,0.08665281960599387,0.056332282882874896,0.1666666666666667,0.6,0.0031029967070692966,0.1683733132085763,0.15352009475464,,,
pref other,resnet50 avgpool,diff,59,0.04370602119465747,0.027851542738069928,0.04195023357576391,0.6271186440677966,-0.04216770246651065,0.1078967610978453,0.017071675732773784,,,
pref other,resnet50 avgpool,partial,57,0.05340091121595288,0.02730525646998177,0.05043113648653198,0.631578947368421,-0.03151306578844899,0.053032256726539266,0.007684711447888674,,,
pref other,resnet50 avgpool,category,57,0.09015256328342486,0.02447875723328264,0.0940626350129448,0.631578947368421,0.0010123112713489276,0.000766003754904914,0.00191826290232615,,,
pref other,alexnet conv1,all,59,0.02182469454509774,0.018587997495329335,0.03809431986530435,0.5932203389830508,-0.0062425424642607915,0.10625291735271533,0.08390103960847828,,,
