subject,model,layer,view,metric,rho
3,resnet50,logits,rp,correlation,0.04286286034305122
3,resnet50,logits,rp,euclidean,0.0512373308360685
3,convnext_tiny,stage1,gap,correlation,0.014295788028072944
3,convnext_tiny,stage1,gap,euclidean,0.004860763527746928
3,convnext_tiny,stage1,rp,correlation,0.014645451630094992
3,convnext_tiny,stage1,rp,euclidean,0.011934187013970204
3,convnext_tiny,stage2,gap,correlation,-0.007657311988533738
3,convnext_tiny,stage2,gap,euclidean,-0.009346828107900461
3,convnext_tiny,stage2,rp,correlation,0.016520835980078898
3,convnext_tiny,stage2,rp,euclidean,0.013107175352670229
3,convnext_tiny,stage3,gap,correlation,0.018760557824550547
3,convnext_tiny,stage3,gap,euclidean,0.005991669739662306
3,convnext_tiny,stage3,rp,correlation,-0.000376649774662881
3,convnext_tiny,stage3,rp,euclidean,0.004145012969472093
3,convnext_tiny,stage4,gap,correlation,0.05696266354761155
3,convnext_tiny,stage4,gap,euclidean,0.05939301389849752
3,convnext_tiny,stage4,rp,correlation,0.06687346271282894
3,convnext_tiny,stage4,rp,euclidean,0.058508841399582824
3,convnext_tiny,avgpool,gap,correlation,0.05696266354761155
3,convnext_tiny,avgpool,gap,euclidean,0.05939301389849752
3,convnext_tiny,avgpool,rp,correlation,0.05696266354761155
3,convnext_tiny,avgpool,rp,euclidean,0.05939301389849752
3,convnext_tiny,logits,gap,correlation,0.04464825212209391
3,convnext_tiny,logits,gap,euclidean,0.03674464942422927
3,convnext_tiny,logits,rp,correlation,0.04464825212209391
3,convnext_tiny,logits,rp,euclidean,0.03674464942422927
4,alexnet,conv1,gap,correlation,0.012747578802910395
4,alexnet,conv1,gap,euclidean,0.0149038629198312
4,alexnet,conv1,rp,correlation,0.02990357733550182
4,alexnet,conv1,rp,euclidean,0.0008286633336294855
4,alexnet,conv2,gap,correlation,0.01913517139325486
4,alexnet,conv2,gap,euclidean,0.001213765618311853
4,alexnet,conv2,rp,correlation,0.0340930195457472
4,alexnet,conv2,rp,euclidean,-0.00014686135476205556
