region,model,layer,view,rho_mean,rho_sem,rho_p,rho_partial_cat_low_mean,rho_partial_cat_low_sem,rho_partial_cat_low_p,rho_partial_cat_mean,rho_partial_cat_sem,rho_partial_cat_p,rho_cat_mean,rho_cat_sem,rho_cat_p,rho_cat_partial_model_mean,rho_cat_partial_model_sem,rho_cat_partial_model_p,beta_model_mean,beta_model_sem,beta_model_p,beta_category_mean,beta_category_sem,beta_category_p,beta_lowlevel_mean,beta_lowlevel_sem,beta_lowlevel_p,r2_mean,r2_sem,r2_p,n_sessions
MTL,dinov2_small,norm,gap,0.0490108187802777,0.01751834222138471,0.011895559483720466,0.01991207238960462,0.010542683361406967,0.07515406469136234,0.019523948654951696,0.010797052627209142,0.08730321785659233,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.023250049087198268,0.0105391601322775,0.04061467288933611,0.028720015729021053,0.015281876670392967,0.07648621434860187,0.031015252783310368,0.01472581731502682,0.049487084122423,-0.00246804657843911,0.004387769765194587,0.580725305226619,0.010751324947164331,0.005289992587447618,0.05713801327946025,19
MTL,resnet50,avgpool,gap,0.053710476691865405,0.019757457195655154,0.014086951288133089,0.02866645065903646,0.012996898620088692,0.040649118797312575,0.02788989233158127,0.01335460363647079,0.051239502436400464,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.018512509878030894,0.00946014037359598,0.06605379275446917,0.040716320041719385,0.01778740079450097,0.03438082654398154,0.022937382442561913,0.012313475887052207,0.0788952772459073,-0.0036561002913777798,0.004071289099303147,0.3810300501654833,0.01212454923596018,0.00625190322687167,0.06829809888156865,19
MTL,resnet50,layer2,gap,0.02401382035585589,0.01299139923088083,0.08103570858667777,0.002471168436104122,0.00674779398389195,0.7184708682243472,0.0022645665387701006,0.007505944649761408,0.7663363613254619,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.044772351866614664,0.013969735569885334,0.004908740168409871,0.003099117606701157,0.009040635646883984,0.7357206793425869,0.04941327694642812,0.015257949172789295,0.004559177471908236,-0.0009513592623211516,0.004469011181848278,0.8338135606909509,0.009245096401841147,0.004656025843695052,0.0625242147006064,19
MTL,vgg16,conv3_3,gap,0.03780300711909943,0.01720974724652248,0.0413876161508909,0.012719767515451487,0.009754882577667202,0.20868437588423913,0.011453835611131358,0.010254158002518632,0.2786853464398548,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.03449928468271914,0.01082726473009406,0.005113783509599721,0.01740922258552495,0.012839099090010972,0.19188216229085583,0.04077263535890362,0.012876733939657822,0.005342834875337985,-0.004422316376170196,0.004106530819942669,0.29574774510592855,0.010237888842837184,0.005223679364785437,0.06567649037889167,19
MTL,vgg16,fc7,gap,0.04495609064780938,0.018400621402590214,0.025094224123149586,0.01816929613261997,0.011713268001378034,0.13826468828009825,0.017716472490964186,0.011952716406323569,0.15557952196512584,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.02628084052555986,0.010707598708836932,0.024518984652529798,0.025878490963484567,0.01549238825187584,0.11213672782417103,0.03228464704671124,0.013531281643451652,0.028229885405212173,-0.0005368978708371772,0.004374540431434884,0.9036789623889909,0.011137784561894112,0.005453614981137525,0.056054470656812426,19
MTL,vit_b_16,ln,gap,0.05576700752980355,0.019838436297217443,0.011559401107205814,0.033901234660392604,0.014457111938713242,0.03069462013091032,0.03423932624677917,0.014539618310894346,0.03007853044811824,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.026354438969540567,0.01038096617704499,0.02057882471354347,0.039498336254344624,0.016311430829589278,0.026240539304381645,0.030700115315698724,0.011779514999420022,0.017863812668558954,-0.002109669372501025,0.004445689648038263,0.6408192458035695,0.013064601291912213,0.007460904364742491,0.09695571040114649,19
MTL_concept,alexnet,conv1,gap,0.030790322996258966,0.012374211716233326,0.027183473714587666,0.010164156448452599,0.007727061704042913,0.2111047860468218,0.0070484777181070695,0.007844912634836762,0.3852702527559718,0.07360845304171283,0.024888504882701758,0.011109967007741008,0.06760522265983211,0.02305980136035953,0.011674405335968271,0.01204289353475163,0.009057001699168489,0.20648540889093234,0.07165171689056844,0.024201398557300077,0.011043645815928853,-0.009790327689828291,0.005925156626762988,0.12240123961374237,0.014705342034865352,0.006480780967421478,0.04093890167247231,14
MTL_concept,alexnet,conv4,gap,0.06776006772879263,0.026554897379098646,0.024115027990115064,0.0318210567244393,0.01678129289971203,0.08037494636149259,0.03038567400285114,0.016904452136158182,0.09551263688833404,0.07360845304171283,0.024888504882701758,0.011109967007741008,0.037413415764896686,0.014644299472480152,0.023973382978963776,0.04327724617339918,0.02140798134131317,0.0643066791675495,0.04651470020083265,0.01844410024705062,0.025510943329509816,-0.011080193860640436,0.005075013750681199,0.04794581444868697,0.018235577236407008,0.008937430731189317,0.062167260706015526,14
MTL_concept,alexnet,fc7,gap,0.06312381938776315,0.02316111212819896,0.01733258929242622,0.0237789069028576,0.01136930016504619,0.056679716480677704,0.022969062110650338,0.011660054909491173,0.07053443658959176,0.07360845304171283,0.024888504882701758,0.011109967007741008,0.03979805654372266,0.01578301510376153,0.025527973923769376,0.03397232933619277,0.014877936282172342,0.039866869474500535,0.05072869230339768,0.020084889008258878,0.025329174666660095,-0.00818356253595565,0.0047319993940945285,0.10739184997877024,0.0159687112234217,0.007435447193307074,0.051175778703655736,14
MTL_concept,clip_vitb32,block5,cls,0.037412858653357285,0.017421481292531026,0.0511882352188503,0.015775582944742777,0.011826455164217077,0.2051280272929411,0.01349933678943768,0.0119076076228225,0.27740582411034165,0.07360845304171283,0.024888504882701758,0.011109967007741008,0.06554513344942528,0.021414501664189536,0.009109005420072822,0.016575466467404733,0.012933415306512057,0.22237033635032996,0.07045801481918267,0.022555088687150174,0.00806821660857011,-0.008314453958536444,0.0059106316568968715,0.18297195765920293,0.01580885211229745,0.0072485477433052534,0.04814971735533845,14
