analysis,window,subject,unit,reference,value
similarity tuning,200-500,4,8.0,resnet50 avgpool,0.12264867967030214
similarity tuning,200-500,4,8.0,alexnet conv1,0.1460337636530477
similarity tuning,200-500,4,13.0,clip ln_post,-0.02826434067427142
similarity tuning,200-500,4,13.0,resnet50 avgpool,-0.18689235515746108
similarity tuning,200-500,4,13.0,alexnet conv1,-0.09351203112177404
similarity tuning,200-500,4,15.0,clip ln_post,0.08819652988680854
similarity tuning,200-500,4,15.0,resnet50 avgpool,0.08610656472361403
similarity tuning,200-500,4,15.0,alexnet conv1,0.12704375735768658
similarity tuning,200-500,4,25.0,clip ln_post,0.2501955068906455
similarity tuning,200-500,4,25.0,resnet50 avgpool,0.2677911203727282
similarity tuning,200-500,4,25.0,alexnet conv1,-0.0707353745425845
similarity tuning,200-500,4,33.0,clip ln_post,0.12268171539048643
similarity tuning,200-500,4,33.0,resnet50 avgpool,0.22564357437082683
similarity tuning,200-500,4,33.0,alexnet conv1,0.08309069932408074
similarity tuning,200-500,4,39.0,clip ln_post,0.28102723857001793
similarity tuning,200-500,4,39.0,resnet50 avgpool,0.23080172056562792
similarity tuning,200-500,4,39.0,alexnet conv1,0.22304450468616205
similarity tuning,200-500,4,40.0,clip ln_post,0.51064920055021
similarity tuning,200-500,4,40.0,resnet50 avgpool,0.5598811533029526
similarity tuning,200-500,4,40.0,alexnet conv1,0.10990058881406695
similarity tuning,200-500,4,41.0,clip ln_post,0.6232210372676736
similarity tuning,200-500,4,41.0,resnet50 avgpool,0.7132038756365264
similarity tuning,200-500,4,41.0,alexnet conv1,0.45996573569131943
similarity tuning,200-500,4,43.0,clip ln_post,0.24024763119044276
similarity tuning,200-500,4,43.0,resnet50 avgpool,0.16857464918618686
similarity tuning,200-500,4,43.0,alexnet conv1,0.27460158547493635
similarity tuning,200-500,4,44.0,clip ln_post,0.6598224562492035
similarity tuning,200-500,4,44.0,resnet50 avgpool,0.6977893306885907
similarity tuning,200-500,4,44.0,alexnet conv1,0.10306734129497869
similarity tuning,200-500,4,45.0,clip ln_post,0.10295170334614268
similarity tuning,200-500,4,45.0,resnet50 avgpool,0.04988107485703815
similarity tuning,200-500,4,45.0,alexnet conv1,0.13189394926674505
similarity tuning,200-500,4,46.0,clip ln_post,0.21519856556067551
similarity tuning,200-500,4,46.0,resnet50 avgpool,0.20226460204265917
similarity tuning,200-500,4,46.0,alexnet conv1,0.27892724235422806
RSA MTL,500-1000,4,,clip ln_post,0.0012943793988331304
RSA MTL,500-1000,4,,resnet50 avgpool,-0.005628740191383257
RSA MTL,500-1000,4,,alexnet conv1,-0.021456156219989322
RSA MTL,500-1000,4,,category,0.01996967407237354
similarity tuning,500-1000,4,8.0,clip ln_post,0.14401657563379205
similarity tuning,500-1000,4,8.0,resnet50 avgpool,0.0775336446527486
similarity tuning,500-1000,4,8.0,alexnet conv1,0.14245977763385206
similarity tuning,500-1000,4,13.0,clip ln_post,-0.13433000222058372
similarity tuning,500-1000,4,13.0,resnet50 avgpool,-0.19405208456119297
similarity tuning,500-1000,4,13.0,alexnet conv1,0.07639524171145913
similarity tuning,500-1000,4,15.0,clip ln_post,0.17459118605805454
similarity tuning,500-1000,4,15.0,resnet50 avgpool,0.1107712194957705
similarity tuning,500-1000,4,15.0,alexnet conv1,0.11989566004952917
similarity tuning,500-1000,4,25.0,clip ln_post,0.10039301570679694
similarity tuning,500-1000,4,25.0,resnet50 avgpool,0.14125561833576172
similarity tuning,500-1000,4,25.0,alexnet conv1,0.05292991869510173
similarity tuning,500-1000,4,33.0,clip ln_post,0.10448412655776783
similarity tuning,500-1000,4,33.0,resnet50 avgpool,0.07507826327841535
similarity tuning,500-1000,4,33.0,alexnet conv1,0.03944319911570091
similarity tuning,500-1000,4,39.0,clip ln_post,0.3080368653147657
similarity tuning,500-1000,4,39.0,resnet50 avgpool,0.278145507049365
similarity tuning,500-1000,4,39.0,alexnet conv1,0.20905612529175946
similarity tuning,500-1000,4,40.0,clip ln_post,0.09983536781128653
similarity tuning,500-1000,4,40.0,resnet50 avgpool,0.06722402047431783
similarity tuning,500-1000,4,40.0,alexnet conv1,-0.24564991298515992
similarity tuning,500-1000,4,41.0,clip ln_post,0.21948416467675744
similarity tuning,500-1000,4,41.0,resnet50 avgpool,0.3504360513347698
similarity tuning,500-1000,4,41.0,alexnet conv1,0.2360017582613976
similarity tuning,500-1000,4,43.0,clip ln_post,0.24746910573346984
similarity tuning,500-1000,4,43.0,resnet50 avgpool,0.2474436903996162
similarity tuning,500-1000,4,43.0,alexnet conv1,0.23986992091121376
similarity tuning,500-1000,4,44.0,clip ln_post,0.1723699868536686
similarity tuning,500-1000,4,44.0,resnet50 avgpool,0.35157124987541916
similarity tuning,500-1000,4,44.0,alexnet conv1,-0.10642674531971176
similarity tuning,500-1000,4,45.0,clip ln_post,-0.03555710881176319
similarity tuning,500-1000,4,45.0,resnet50 avgpool,-0.12625269837062875
similarity tuning,500-1000,4,45.0,alexnet conv1,0.05835581664582665
similarity tuning,500-1000,4,46.0,clip ln_post,-0.14513256786205345
similarity tuning,500-1000,4,46.0,resnet50 avgpool,-0.015384621036508428
similarity tuning,500-1000,4,46.0,alexnet conv1,-0.10738206918423444
RSA MTL,100-600,5,,clip ln_post,0.0253602976232038
RSA MTL,100-600,5,,resnet50 avgpool,-0.0007153494385883763
RSA MTL,100-600,5,,alexnet conv1,-0.01142192173406805
RSA MTL,100-600,5,,category,0.010658567813878313
similarity tuning,100-600,5,5.0,clip ln_post,0.301826825917113
similarity tuning,100-600,5,5.0,resnet50 avgpool,0.1974182998859965
similarity tuning,100-600,5,5.0,alexnet conv1,0.06551123201952411
similarity tuning,100-600,5,6.0,clip ln_post,-0.10477041011733791
similarity tuning,100-600,5,6.0,resnet50 avgpool,-0.07084753645612075
similarity tuning,100-600,5,6.0,alexnet conv1,-0.2165538497151467
RSA MTL,200-1000,5,,clip ln_post,0.03121828013178222
RSA MTL,200-1000,5,,resnet50 avgpool,-0.027947194194534536
RSA MTL,200-1000,5,,alexnet conv1,0.0018981740696800507
RSA MTL,200-1000,5,,category,0.0426528798123173
similarity tuning,200-1000,5,5.0,clip ln_post,0.21880731118454516
similarity tuning,200-1000,5,5.0,resnet50 avgpool,0.04297910622229301
similarity tuning,200-1000,5,5.0,alexnet conv1,0.026524392624562514
similarity tuning,200-1000,5,6.0,clip ln_post,0.09809977547616305
similarity tuning,200-1000,5,6.0,resnet50 avgpool,0.047756067246687885
similarity tuning,200-1000,5,6.0,alexnet conv1,-0.08744176905200954
RSA MTL,300-800,5,,clip ln_post,0.021454516300949904
RSA MTL,300-800,5,,resnet50 avgpool,0.0015438887311903223
RSA MTL,300-800,5,,alexnet conv1,-0.020327759825228577
RSA MTL,300-800,5,,category,0.033346533792867006
similarity tuning,300-800,5,5.0,clip ln_post,0.16844780268466078
similarity tuning,300-800,5,5.0,resnet50 avgpool,0.017678180191793486
similarity tuning,300-800,5,5.0,alexnet conv1,0.034522960460259565
similarity tuning,300-800,5,6.0,clip ln_post,0.16386707100561226
similarity tuning,300-800,5,6.0,resnet50 avgpool,0.11416493594947842
similarity tuning,300-800,5,6.0,alexnet conv1,-0.09127406379551525
RSA MTL,200-500,5,,clip ln_post,0.04272725933611387
RSA MTL,200-500,5,,resnet50 avgpool,0.0045144007057953805
RSA MTL,200-500,5,,alexnet conv1,0.008097153417577104
RSA MTL,200-500,5,,category,0.018101990535500413
similarity tuning,200-500,5,5.0,clip ln_post,0.4061305438207044
similarity tuning,200-500,5,5.0,resnet50 avgpool,0.3518552660226863
similarity tuning,200-500,5,5.0,alexnet conv1,0.057203618367585536
similarity tuning,200-500,5,6.0,clip ln_post,-0.05844604153433536
similarity tuning,200-500,5,6.0,resnet50 avgpool,-0.05066476381526705
similarity tuning,200-500,5,6.0,alexnet conv1,-0.17438707954845328
RSA MTL,500-1000,5,,clip ln_post,0.04041418091669323
RSA MTL,500-1000,5,,resnet50 avgpool,0.006688501624853694
RSA MTL,500-1000,5,,alexnet conv1,0.021292554159276722
RSA MTL,500-1000,5,,category,0.05129965587393498
similarity tuning,500-1000,5,5.0,clip ln_post,-0.09129406550319369
similarity tuning,500-1000,5,5.0,resnet50 avgpool,-0.25597247127370937
similarity tuning,500-1000,5,5.0,alexnet conv1,-0.016493136799136127
similarity tuning,500-1000,5,6.0,clip ln_post,0.1987551455725719
similarity tuning,500-1000,5,6.0,resnet50 avgpool,0.08957794850943215
similarity tuning,500-1000,5,6.0,alexnet conv1,0.06533951612253315
RSA MTL,100-600,7,,clip ln_post,0.00023854259650612556
RSA MTL,100-600,7,,resnet50 avgpool,0.030218348111254192
RSA MTL,100-600,7,,alexnet conv1,0.03516587824061209
RSA MTL,100-600,7,,category,0.05464421152025448
similarity tuning,100-600,7,17.0,clip ln_post,0.133823509211319
similarity tuning,100-600,7,17.0,resnet50 avgpool,0.12446720454188356
similarity tuning,100-600,7,17.0,alexnet conv1,0.09259096309233512
similarity tuning,100-600,7,20.0,clip ln_post,-0.0245926204514014
similarity tuning,100-600,7,20.0,resnet50 avgpool,0.0790042996379452
similarity tuning,100-600,7,20.0,alexnet conv1,0.0702530541395882
similarity tuning,100-600,7,21.0,clip ln_post,0.08348264011611636
similarity tuning,100-600,7,21.0,resnet50 avgpool,-0.09087264035985819
similarity tuning,100-600,7,21.0,alexnet conv1,-0.28569253689542545
similarity tuning,100-600,7,23.0,clip ln_post,0.1268974868003115
similarity tuning,100-600,7,23.0,resnet50 avgpool,0.003397577872395436
similarity tuning,100-600,7,23.0,alexnet conv1,0.039256351561773775
similarity tuning,100-600,7,24.0,clip ln_post,0.10759879214763675
similarity tuning,100-600,7,24.0,resnet50 avgpool,0.2506496882515387
similarity tuning,100-600,7,24.0,alexnet conv1,-0.16322049263042204
similarity tuning,100-600,7,25.0,clip ln_post,-0.15245226028863737
similarity tuning,100-600,7,25.0,resnet50 avgpool,0.12150391997260131
similarity tuning,100-600,7,25.0,alexnet conv1,-0.330006609023835
similarity tuning,100-600,7,26.0,clip ln_post,0.18155167066676883
similarity tuning,100-600,7,26.0,resnet50 avgpool,0.20067943596916057
