subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,rho_clip,rho_resnet,rho_conv1,pref_face,ratio
8,1,screening,42,324,54,7.1875,1.513955858516948,0.0179820179820179,img_0221,2.549311898931265,0.0089910089910089,True,0.5306603773584906,0.9138715502410032,15.0,7.040094339622642,7.037037037037037,hippocampus,MTL,R,-0.0689920276346744,0.0081950740841655,0.1239757266624255,0,2.1008125784501552
8,1,screening,45,324,54,10.0,1.8589352415614264,0.0009990009990009,img_0221,2.363041654288944,0.0149850149850149,True,0.4224574321214909,0.9251635930993456,17.083333333333332,9.86635220125786,8.364197530864198,hippocampus,MTL,R,0.1427332640986544,0.1620575245574602,0.0865759142893477,0,1.714100905562743
10,1,screening,64,378,63,1.402116402116402,1.472498551284521,0.0139860139860139,img_0236,3.439412478763085,0.0029970029970029,True,0.6561969439728351,0.7865455627307891,3.9583333333333335,1.3608870967741935,1.3756613756613756,amygdala,MTL,R,-0.1165175306958594,-0.131618365103186,-0.1195884566845762,0,2.7095408961265988
10,1,screening,67,378,63,1.1607142857142858,1.412427191980964,0.0359640359640359,img_0049,1.8831579373303011,0.0329670329670329,True,0.6387096774193549,0.8084214256186147,3.125,1.1290322580645165,1.1375661375661377,amygdala,MTL,R,0.0946204048259075,0.0878272754662631,0.0358229443384989,0,2.54265091863517
10,1,screening,70,378,63,0.5423280423280423,1.5951399744209285,0.0069930069930069,img_0243,3.735448520211422,0.0009990009990009,True,0.7516129032258063,0.5996076333154988,2.0833333333333335,0.5174731182795699,0.3835978835978836,amygdala,MTL,R,0.0298902133376172,0.0800914285404706,-0.0521734058001083,0,3.373966042664345
10,1,screening,71,378,63,9.186507936507937,1.4104819614532638,0.0279720279720279,img_0004,2.010759785485084,0.0199800199800199,True,0.3049155145929341,0.972087001671016,13.125,9.12298387096774,9.21957671957672,amygdala,MTL,R,0.0697737057288276,0.1097308821114968,0.0990352742918934,1,1.4230752415511743
11,1,screening,6,378,63,0.5423280423280423,1.397095769269433,0.0389610389610389,img_0056,1.7922719362331496,0.0159840159840159,True,0.7756598240469208,0.5473341473341478,2.2916666666666665,0.5141129032258064,0.5687830687830688,hippocampus,MTL,L,0.1424219985299536,-0.078106520792075,0.1225557190373845,1,3.7316699496607577
11,1,screening,11,378,63,0.8201058201058201,3.603904923599353,0.0009990009990009,img_0056,3.02018711086129,0.0009990009990009,True,0.8827956989247312,0.4200748572521379,6.25,0.7325268817204302,0.5026455026455027,hippocampus,MTL,L,0.3024420009407718,0.3891080047376906,0.0992645787920161,1,7.50726509525347
11,1,screening,12,378,63,0.2843915343915344,3.226138324704604,0.0009990009990009,img_0237,3.412969445063448,0.0009990009990009,True,0.8900293255131965,0.2755794023399658,2.2916666666666665,0.252016129032258,0.3174603174603174,hippocampus,MTL,L,0.1565877296506286,0.2143049670162443,0.1454820252698852,0,6.51011836578847
11,1,screening,13,378,63,0.367063492063492,1.6087370551124889,0.0069930069930069,img_0241,2.8152023256849157,0.0019980019980019,True,0.8370967741935483,0.4317250078839482,2.0833333333333335,0.3393817204301075,0.3174603174603174,hippocampus,MTL,L,-0.0746650972068636,-0.0358465463196359,-0.2312688817465388,0,4.741511165494035
11,1,screening,17,378,63,0.8994708994708994,3.2344390992532976,0.0009990009990009,img_0022,7.594477115854133,0.0009990009990009,True,0.8790322580645161,0.4576575239084983,6.666666666666667,0.8064516129032259,0.7671957671957672,hippocampus,MTL,L,-0.2335098126898408,-0.1236079117173396,-0.2689423886153863,1,7.354685646500593
11,1,screening,18,378,63,0.1951058201058201,2.363946869070212,0.0009990009990009,img_0113,2.5530184711856236,0.0019980019980019,True,0.880184331797235,0.2183951314386097,1.4583333333333333,0.1747311827956989,0.119047619047619,hippocampus,MTL,L,0.2623542286660743,0.2715351066564745,0.1506028793524602,0,5.308219178082192
11,1,screening,25,378,63,6.8882275132275135,1.386984458286339,0.0299700299700299,img_0062,4.078201883321,0.0019980019980019,True,0.3304805793285056,0.9734040106886486,10.208333333333334,6.834677419354839,6.64021164021164,amygdala,MTL,L,-0.0586938457740193,0.0086195527170286,0.0554836311257418,1,1.4720703957824555
11,1,screening,28,378,63,0.6911375661375662,1.5181435046518466,0.0149850149850149,img_0007,8.416553640329619,0.0009990009990009,True,0.7753456221198156,0.6559595140484448,2.9166666666666665,0.655241935483871,0.8333333333333334,amygdala,MTL,L,0.1243429925063815,0.0385259435798461,0.0859444495336117,1,3.8618971347214806
11,1,screening,31,378,63,0.7738095238095238,1.6420904111104973,0.0069930069930069,img_0235,1.9822115608424535,0.0149850149850149,True,0.7258064516129032,0.6975464343040587,2.7083333333333335,0.7426075268817203,0.7936507936507936,amygdala,MTL,L,-0.0070375048747148,-0.0885042732613597,0.0380943198653043,0,3.214228744616367
11,1,screening,34,378,63,2.6554232804232805,1.466625515344112,0.0229770229770229,img_0235,1.8682366555101055,0.0319680319680319,True,0.4980645161290322,0.8933458577344415,5.208333333333333,2.614247311827957,2.7248677248677247,amygdala,MTL,L,-0.1215559651753067,-0.1462209593564085,-0.0875152406241345,0,1.9188867980588291
