subject,region,n_units,model,layer,view,rho,rho_partial_cat_low,rho_partial_cat,rho_cat,rho_cat_partial_model,beta_category,beta_lowlevel,beta_model,r2
10,hippocampus,12,vit_b_16,ln,gap,0.030633405744941188,0.030755007997691326,0.029654295557956047,0.011180754699434381,-0.008119908537279955,-0.00818964098595318,-0.011679971804064446,0.03802449282812975,0.001131653834557933
10,hippocampus,12,dinov2_small,norm,gap,0.018037430852443193,0.014822339138299601,0.01446800405210477,0.011180754699434381,-0.0029933681728579347,-0.0027783493318269932,-0.00868986694329477,0.021801016921746668,0.00040562009292388623
10,hippocampus,12,clip_vitb32,block5,cls,-0.018753165301493673,-0.02359602622959687,-0.02474024941055292,0.011180754699434381,0.01963331488998872,0.020973634356683597,0.002662190622379227,-0.02780534134904304,0.000742628127816447
10,hippocampus,12,clip_vitb32,ln_post,cls,0.0007359354163926489,-0.006379285908190467,-0.006574658034414618,0.011180754699434381,0.012949459067257403,0.017261028117915817,-0.007860007046525277,-0.00767029992606589,0.0002266469319894826
10,hippocampus,12,clip_vitb32,embed,gap,-0.0009066835290294798,-0.005532240385855788,-0.005427826270696696,0.011180754699434381,0.012395359697246339,0.015262991991805171,-0.008101616547835927,-0.0059545773836827175,0.00021655920323293554
11,MTL,47,alexnet,conv1,gap,0.020490619250698377,-0.004296594282983157,0.003481380570032438,0.04276013243053906,0.037699576064975246,0.040630566525916484,0.018427378092536258,-0.005300255912293884,0.002092516418516488
11,MTL,47,alexnet,conv4,gap,0.05055573183342795,0.026543482939356777,0.02850953573222347,0.04276013243053906,0.00916892947302023,0.01212920064678024,0.012177848857338313,0.03861220898470473,0.00277718915553804
11,MTL,47,alexnet,fc7,gap,0.055270247767860776,0.033695316715592116,0.03524778954654413,0.04276013243053906,0.003715619306244384,0.004002118836479446,0.012178846230688848,0.049384305524754264,0.0032071134807722945
11,MTL,47,vgg16,conv3_3,gap,0.06673773605394163,0.0490038977532006,0.05144312452217959,0.04276013243053906,-0.00401642583436281,-0.005542429068272107,-0.0007744444846383463,0.07082919896576378,0.004470495288411036
11,MTL,47,vgg16,fc7,gap,0.05830468114470964,0.03900616384261921,0.03969722267160877,0.04276013243053906,0.0014099512498655228,-0.0006124051919493204,0.01422381342353387,0.05592417718377132,0.0035924191088616553
11,MTL,47,resnet50,layer2,gap,0.046532348340609424,0.022985041396477623,0.027813408759580695,0.04276013243053906,0.020887446345692482,0.024939855240330464,0.0010281464960989804,0.03242913767954313,0.0026013103443479624
11,MTL,47,resnet50,avgpool,gap,0.05958437215277515,0.03953698979452035,0.04154252180847877,0.04276013243053906,-0.0008717043583199541,-0.00189320284267103,0.00948817352083194,0.05834070680485201,0.0036340253784863386
11,MTL,47,convnext_tiny,logits,gap,0.07349302169020713,0.05946800698216702,0.060457338346230884,0.04276013243053906,-0.008719058905270225,-0.01364634571366761,0.01158832323856218,0.08021284492996819,0.0056032029228603175
11,MTL,47,vit_b_16,ln,gap,0.050944914584639636,0.03051065220609868,0.032106347364286095,0.04276013243053906,0.016206759982744862,0.017977907188684344,0.012491878791186498,0.03768674334100722,0.003003063109519255
11,MTL,47,dinov2_small,norm,gap,0.04724007811607751,0.02273871589532382,0.02339721912030036,0.04276013243053906,0.01198137003859447,0.014773693870201643,0.01509594765464986,0.03341300029148522,0.0025900707772884557
11,MTL,47,clip_vitb32,block5,cls,0.04367691583203487,0.02572592016334888,0.029864778747853496,0.04276013243053906,0.02850579434289147,0.030383258869898507,0.0044713709963162445,0.03028655043554826,0.002734544270570405
11,MTL,47,clip_vitb32,ln_post,cls,0.03782923678335442,0.01657423346116145,0.016963952453627265,0.04276013243053906,0.02618412526796691,0.028072671593109423,0.01568240532151937,0.01990963342981622,0.002348229435748528
11,MTL,47,clip_vitb32,embed,gap,0.019664370689799825,0.004354053286448384,0.004144649057268489,0.04276013243053906,0.038202781439324304,0.03727608137334988,0.01617278910308738,0.004682019017825983,0.0020930124451610244
11,MTL_concept,12,alexnet,conv1,gap,0.05306236097256105,0.04444243940600153,0.04284081759637784,0.03436590661316681,0.014111348321102796,0.01593036732080001,-0.016239474560530306,0.05484694122762813,0.003209887558442648
11,MTL_concept,12,alexnet,conv4,gap,0.04988407383313736,0.03554304905053274,0.03624902692010585,0.03436590661316681,-0.0022466381351394778,-0.003447495860167428,0.002433882778913812,0.05172535150347297,0.0024989461407269875
11,MTL_concept,12,alexnet,fc7,gap,0.045656423764564906,0.02946448816517155,0.03012233851235769,0.03436590661316681,0.0016721278237672762,0.001942721364823545,0.004264004613220305,0.04320165055135323,0.0021042827504508255
11,MTL_concept,12,vgg16,conv3_3,gap,0.06292359527628055,0.05452595400518477,0.054077698465284055,0.03436590661316681,-0.011964413116557505,-0.017028655748223518,-0.011092764333220321,0.07884370213005928,0.004206602134693149
11,MTL_concept,12,vgg16,fc7,gap,0.061783841878348976,0.053010268061218245,0.05330328738010862,0.03436590661316681,-0.014227791156482778,-0.021308237215262572,0.0051369244489436056,0.07603409711316145,0.004043812647204215
11,MTL_concept,12,resnet50,layer2,gap,0.050760449467463845,0.04061171255053702,0.03825845039650039,0.03436590661316681,0.008157458550055743,0.007686666782643947,-0.018958934124488905,0.05732227843331281,0.0028844714381693892
11,MTL_concept,12,resnet50,avgpool,gap,0.04774379745245891,0.03238279991949894,0.03316704784046176,0.03436590661316681,-0.0005476390131850972,-0.0009473899234299865,0.0022772993438973147,0.04780403026776976,0.002284549116285395
11,MTL_concept,12,convnext_tiny,logits,gap,0.049116172882855504,0.034709535249740214,0.03516786338967628,0.03436590661316681,0.001986095467826531,0.001824550353165672,0.005063714441160675,0.046837247538702845,0.0024404620883166084
11,MTL_concept,12,vit_b_16,ln,gap,0.053259165755593384,0.04033777218231178,0.04093100564736802,0.03436590661316681,0.004230387188264181,0.004744588377932228,0.0029160133035190327,0.049846085480745844,0.0028623235418513415
11,MTL_concept,12,dinov2_small,norm,gap,0.05402284447817158,0.04212260414345806,0.042407954484696773,0.03436590661316681,-0.007683144892320782,-0.012359376601730894,0.005820430278600279,0.061922257657540974,0.0030093193684155306
11,MTL_concept,12,clip_vitb32,block5,cls,0.050252016572035936,0.04078071822959037,0.04034153760666721,0.03436590661316681,0.01679226212219937,0.018878587370808986,-0.010756675084842541,0.0480303547434364,0.0028982102025377765
11,MTL_concept,12,clip_vitb32,ln_post,cls,0.04970349587179863,0.03666718989008502,0.03684424167342801,0.03436590661316681,0.008163184276185759,0.008345234945009912,0.00675213690939616,0.0440645632744799,0.0025800201902264064
11,MTL_concept,12,clip_vitb32,embed,gap,0.028252987545868444,0.016838834937387588,0.016737202821312407,0.03436590661316681,0.025751051789898873,0.02582398518445067,0.007935870030053048,0.018114798347380313,0.0015203963292363953
11,MFC,47,alexnet,conv1,gap,-0.021593592067580804,-0.055329850573482546,-0.049860189072031075,0.05908480405107295,0.07419337733075107,0.08022813091732998,0.02787825616540957,-0.06820601990314284,0.0065451226706307875
11,MFC,47,alexnet,conv4,gap,0.0650922689976534,0.03315276572998976,0.032548036375824464,0.05908480405107295,0.01763532518843658,0.025960635578322653,-0.006811492056942257,0.04819225200939743,0.004589693250784288
11,MFC,47,alexnet,fc7,gap,0.06808829315087073,0.03709660159697678,0.036649950204684215,0.05908480405107295,0.013943795665981992,0.020998328180494137,-0.0062281337039382136,0.054330568710152,0.0048657770870706996
11,MFC,47,vgg16,conv3_3,gap,0.05030443920993457,0.014914064008869191,0.01355034912020739,0.05908480405107295,0.03385778069759891,0.04597229233974114,-0.0070355950451046045,0.021541127191178296,0.0037160801637582397
