region,scope,model,layer,n,mean,sem,p
MFC,within face_person,vit_b_16,ln,19.0,0.00580141728681313,0.01653299994564349,0.7297373261075397
MFC,within landmark_place,alexnet,conv1,7.0,-0.01715601657129559,0.03362128757599168,0.6280833903580965
MFC,within landmark_place,alexnet,conv4,7.0,-0.038136997135032526,0.032211396376007125,0.2812027991452311
MFC,within landmark_place,clip_vitb32,ln_post,7.0,-0.07357293059373586,0.0273680759837678,0.03613554981603649
MFC,within landmark_place,dinov2_small,norm,7.0,-0.054461390567022074,0.03156653122845629,0.13523249214734187
MFC,within landmark_place,resnet50,avgpool,7.0,-0.01685949344324526,0.032778710478653515,0.6254012644669263
MFC,within landmark_place,resnet50,layer2,7.0,-0.057652503800410246,0.025298436457305524,0.06289496292340294
MFC,within landmark_place,vit_b_16,ln,7.0,-0.07299264724343406,0.019371098325966025,0.009309247026445984
MFC,within vehicle,alexnet,conv1,6.0,0.02466205618379533,0.058131594475516926,0.6890213650191462
MFC,within vehicle,alexnet,conv4,6.0,0.08710032731771862,0.05049081926314653,0.14511013717820537
MFC,within vehicle,clip_vitb32,ln_post,6.0,-0.0005352614048266292,0.05870981652608669,0.993078314860536
MFC,within vehicle,dinov2_small,norm,6.0,0.09633155176633439,0.05592858596967257,0.14561036610231434
MFC,within vehicle,resnet50,avgpool,6.0,0.11537781429085776,0.056783398999201685,0.09787466409461296
MFC,within vehicle,resnet50,layer2,6.0,0.03220398546485504,0.07897889475919705,0.7003264771223126
MFC,within vehicle,vit_b_16,ln,6.0,0.08219311914964089,0.043073587813317014,0.11465035335174019
MFC,within-category pairs (all cats),alexnet,conv1,19.0,-0.0016759432905072546,0.014164491451883964,0.9071244718535683
MFC,within-category pairs (all cats),alexnet,conv4,19.0,0.011587540741676786,0.011965893868513211,0.34568701935739043
MFC,within-category pairs (all cats),clip_vitb32,ln_post,19.0,0.006234987165946382,0.014647464120445453,0.67539440594595
MFC,within-category pairs (all cats),dinov2_small,norm,19.0,0.012284873346740659,0.01199083515801813,0.3191613156360943
MFC,within-category pairs (all cats),resnet50,avgpool,19.0,0.0165817251681685,0.0119606109480759,0.1825705414665963
MFC,within-category pairs (all cats),resnet50,layer2,19.0,-0.002547461782099733,0.01283102988506083,0.8448484617050314
MFC,within-category pairs (all cats),vit_b_16,ln,19.0,0.007021149715946234,0.013229096501657807,0.6020896751935125
MTL,all,alexnet,conv1,19.0,0.014066363716379876,0.00786520636440878,0.09055174709532068
MTL,all,alexnet,conv4,19.0,0.04645053297612794,0.020372204972156447,0.03500855193859969
MTL,all,clip_vitb32,ln_post,19.0,0.059772264845666175,0.021666299453387793,0.012928157646762287
MTL,all,dinov2_small,norm,19.0,0.0490108187802777,0.01751834222138471,0.011895559483720466
MTL,all,resnet50,avgpool,19.0,0.053710476691865405,0.019757457195655154,0.014086951288133089
MTL,all,resnet50,layer2,19.0,0.02401382035585589,0.01299139923088083,0.08103570858667777
MTL,all,vit_b_16,ln,19.0,0.05576700752980355,0.019838436297217443,0.011559401107205814
MTL,between-category pairs,alexnet,conv1,19.0,-0.002531605727036842,0.0036487924574358267,0.49665214359323984
MTL,between-category pairs,alexnet,conv4,19.0,0.032450931063675914,0.01541992466437552,0.04965248152188265
MTL,between-category pairs,clip_vitb32,ln_post,19.0,0.041273988659505684,0.0166830171083937,0.02354422057554992
MTL,between-category pairs,dinov2_small,norm,19.0,0.030131956912225547,0.012440878224096659,0.0262135796785822
MTL,between-category pairs,resnet50,avgpool,19.0,0.041600476073853115,0.015488553954824973,0.015097209600238406
MTL,between-category pairs,resnet50,layer2,19.0,0.005661226047587963,0.0058160603467229816,0.3432655981755153
